,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_　,得票数_ありが党,得票数_さやま維新の会,得票数_しょぼい政党,得票数_まずは議員と役人の高額給与をカットし、市民サービス向上への財源を確保する会,得票数_みんなの党,得票数_フレッシュ八尾,得票数_介護の党,得票数_令和泉州,得票数_公明党,得票数_公民,得票数_吹田いきいき市民ネットワーク,得票数_吹田・維新の会,得票数_吹田新選会,得票数_四條畷維新の会,得票数_国民新党,得票数_国民民主党,得票数_地域政党ええねん藤井寺議員報酬半減,得票数_大東維新の会,得票数_大阪再生ネットワーク,得票数_大阪狭山維新の会,得票数_大阪維新 ,得票数_大阪維新の会,得票数_大阪維新の会　四条畷,得票数_大阪維新の会　箕面,得票数_大阪維新の会いばらき,得票数_大阪維新の会高槻・島本,得票数_市役所を民・営・化する会,得票数_市民ファーストの会,得票数_幸福実現党,得票数_新社会党,得票数_日本デザイン連,得票数_日本共産党,得票数_日本労働党,得票数_日本第一党,得票数_日本維新の会,得票数_東大阪新風会,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_減税日本,得票数_災害に強い街をつくる会,得票数_無所属,得票数_社会党,得票数_社会民主党,得票数_立憲民主党,得票数_維新の会東大阪,得票数_維新政党・新風,得票数_緑の党 グリーンズジャパン,得票数_緑の党グリーンズジャパン,得票数_自由党,得票数_自由民主党,得票数_西成大阪維新の会,得票数_見張り番、東大阪,得票数_闘う改革の会 大阪,得票数_高槻ご意見番,得票数_高槻維新の会,得票数_高槻繁盛連,得票数_龍馬プロジェクトx吹田新撰会,得票数_sum_v,得票率_NHKから国民を守る党,得票率_　,得票率_ありが党,得票率_さやま維新の会,得票率_しょぼい政党,得票率_まずは議員と役人の高額給与をカットし、市民サービス向上への財源を確保する会,得票率_みんなの党,得票率_フレッシュ八尾,得票率_介護の党,得票率_令和泉州,得票率_公明党,得票率_公民,得票率_吹田いきいき市民ネットワーク,得票率_吹田・維新の会,得票率_吹田新選会,得票率_四條畷維新の会,得票率_国民新党,得票率_国民民主党,得票率_地域政党ええねん藤井寺議員報酬半減,得票率_大東維新の会,得票率_大阪再生ネットワーク,得票率_大阪狭山維新の会,得票率_大阪維新 ,得票率_大阪維新の会,得票率_大阪維新の会　四条畷,得票率_大阪維新の会　箕面,得票率_大阪維新の会いばらき,得票率_大阪維新の会高槻・島本,得票率_市役所を民・営・化する会,得票率_市民ファーストの会,得票率_幸福実現党,得票率_新社会党,得票率_日本デザイン連,得票率_日本共産党,得票率_日本労働党,得票率_日本第一党,得票率_日本維新の会,得票率_東大阪新風会,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_減税日本,得票率_災害に強い街をつくる会,得票率_無所属,得票率_社会党,得票率_社会民主党,得票率_立憲民主党,得票率_維新の会東大阪,得票率_維新政党・新風,得票率_緑の党 グリーンズジャパン,得票率_緑の党グリーンズジャパン,得票率_自由党,得票率_自由民主党,得票率_西成大阪維新の会,得票率_見張り番、東大阪,得票率_闘う改革の会 大阪,得票率_高槻ご意見番,得票率_高槻維新の会,得票率_高槻繁盛連,得票率_龍馬プロジェクトx吹田新撰会,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_　,一人あたり得票率_ありが党,一人あたり得票率_さやま維新の会,一人あたり得票率_しょぼい政党,一人あたり得票率_まずは議員と役人の高額給与をカットし、市民サービス向上への財源を確保する会,一人あたり得票率_みんなの党,一人あたり得票率_フレッシュ八尾,一人あたり得票率_介護の党,一人あたり得票率_令和泉州,一人あたり得票率_公明党,一人あたり得票率_公民,一人あたり得票率_吹田いきいき市民ネットワーク,一人あたり得票率_吹田・維新の会,一人あたり得票率_吹田新選会,一人あたり得票率_四條畷維新の会,一人あたり得票率_国民新党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党ええねん藤井寺議員報酬半減,一人あたり得票率_大東維新の会,一人あたり得票率_大阪再生ネットワーク,一人あたり得票率_大阪狭山維新の会,一人あたり得票率_大阪維新 ,一人あたり得票率_大阪維新の会,一人あたり得票率_大阪維新の会　四条畷,一人あたり得票率_大阪維新の会　箕面,一人あたり得票率_大阪維新の会いばらき,一人あたり得票率_大阪維新の会高槻・島本,一人あたり得票率_市役所を民・営・化する会,一人あたり得票率_市民ファーストの会,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本デザイン連,一人あたり得票率_日本共産党,一人あたり得票率_日本労働党,一人あたり得票率_日本第一党,一人あたり得票率_日本維新の会,一人あたり得票率_東大阪新風会,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_減税日本,一人あたり得票率_災害に強い街をつくる会,一人あたり得票率_無所属,一人あたり得票率_社会党,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の会東大阪,一人あたり得票率_維新政党・新風,一人あたり得票率_緑の党 グリーンズジャパン,一人あたり得票率_緑の党グリーンズジャパン,一人あたり得票率_自由党,一人あたり得票率_自由民主党,一人あたり得票率_西成大阪維新の会,一人あたり得票率_見張り番、東大阪,一人あたり得票率_闘う改革の会 大阪,一人あたり得票率_高槻ご意見番,一人あたり得票率_高槻維新の会,一人あたり得票率_高槻繁盛連,一人あたり得票率_龍馬プロジェクトx吹田新撰会,立候補者数_NHKから国民を守る党,立候補者数_　,立候補者数_ありが党,立候補者数_さやま維新の会,立候補者数_しょぼい政党,立候補者数_まずは議員と役人の高額給与をカットし、市民サービス向上への財源を確保する会,立候補者数_みんなの党,立候補者数_フレッシュ八尾,立候補者数_介護の党,立候補者数_令和泉州,立候補者数_公明党,立候補者数_公民,立候補者数_吹田いきいき市民ネットワーク,立候補者数_吹田・維新の会,立候補者数_吹田新選会,立候補者数_四條畷維新の会,立候補者数_国民新党,立候補者数_国民民主党,立候補者数_地域政党ええねん藤井寺議員報酬半減,立候補者数_大東維新の会,立候補者数_大阪再生ネットワーク,立候補者数_大阪狭山維新の会,立候補者数_大阪維新 ,立候補者数_大阪維新の会,立候補者数_大阪維新の会　四条畷,立候補者数_大阪維新の会　箕面,立候補者数_大阪維新の会いばらき,立候補者数_大阪維新の会高槻・島本,立候補者数_市役所を民・営・化する会,立候補者数_市民ファーストの会,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本デザイン連,立候補者数_日本共産党,立候補者数_日本労働党,立候補者数_日本第一党,立候補者数_日本維新の会,立候補者数_東大阪新風会,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_減税日本,立候補者数_災害に強い街をつくる会,立候補者数_無所属,立候補者数_社会党,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の会東大阪,立候補者数_維新政党・新風,立候補者数_緑の党 グリーンズジャパン,立候補者数_緑の党グリーンズジャパン,立候補者数_自由党,立候補者数_自由民主党,立候補者数_西成大阪維新の会,立候補者数_見張り番、東大阪,立候補者数_闘う改革の会 大阪,立候補者数_高槻ご意見番,立候補者数_高槻維新の会,立候補者数_高槻繁盛連,立候補者数_龍馬プロジェクトx吹田新撰会,当選者数_NHKから国民を守る党,当選者数_　,当選者数_ありが党,当選者数_さやま維新の会,当選者数_しょぼい政党,当選者数_まずは議員と役人の高額給与をカットし、市民サービス向上への財源を確保する会,当選者数_みんなの党,当選者数_フレッシュ八尾,当選者数_介護の党,当選者数_令和泉州,当選者数_公明党,当選者数_公民,当選者数_吹田いきいき市民ネットワーク,当選者数_吹田・維新の会,当選者数_吹田新選会,当選者数_四條畷維新の会,当選者数_国民新党,当選者数_国民民主党,当選者数_地域政党ええねん藤井寺議員報酬半減,当選者数_大東維新の会,当選者数_大阪再生ネットワーク,当選者数_大阪狭山維新の会,当選者数_大阪維新 ,当選者数_大阪維新の会,当選者数_大阪維新の会　四条畷,当選者数_大阪維新の会　箕面,当選者数_大阪維新の会いばらき,当選者数_大阪維新の会高槻・島本,当選者数_市役所を民・営・化する会,当選者数_市民ファーストの会,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本デザイン連,当選者数_日本共産党,当選者数_日本労働党,当選者数_日本第一党,当選者数_日本維新の会,当選者数_東大阪新風会,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_減税日本,当選者数_災害に強い街をつくる会,当選者数_無所属,当選者数_社会党,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の会東大阪,当選者数_維新政党・新風,当選者数_緑の党 グリーンズジャパン,当選者数_緑の党グリーンズジャパン,当選者数_自由党,当選者数_自由民主党,当選者数_西成大阪維新の会,当選者数_見張り番、東大阪,当選者数_闘う改革の会 大阪,当選者数_高槻ご意見番,当選者数_高槻維新の会,当選者数_高槻繁盛連,当選者数_龍馬プロジェクトx吹田新撰会
大東市議会議員選挙（2020年04月19日投票）,大東市議会議員選挙,大阪府,大東市,20200419.0,2020.0,4.0,19.0,20200412.0,38.68,17.0,19.0,1.1176470588235294,,,,,任期満了,43.62,,,,大東市議会議員選挙（2020年04月19日投票）,1.0,19.0,17.0,1.1176470588235294,0.0,0.0,0.0,0.15789473684210525,0.17647058823529413,0.7368421052631579,0.2631578947368421,0.0,0.8235294117647058,0.17647058823529413,0.0,0.7691753341119653,0.23082466588803488,,0.05494109529371181,0.046164933177606976,,37469.998999999996,6.0,49.21052631578947,11.100398036336218,30.0,43.0,47.0,54.0,76.0,49.8235294117647,11.536312460674399,30.0,43.0,49.0,54.0,76.0,,,,,,,,,,,9187.0,,,,,,,,,,,,,12061.661,,,,,,,,,,3686.0,,,,,,,,,424.0,8584.338,,,,,,,,,3527.0,,,,,,,,37469.998999999996,,,,,,,,,,,0.24518281946044357,,,,,,,,,,,,,0.32190182337608286,,,,,,,,,,0.09837203358345434,,,,,,,,,0.011315719544054432,0.22909896528153098,,,,,,,,,0.09412863875443392,,,,,,,,1.0,,,,,,,,,,,0.06129570486511089,,,,,,,,,,,,,0.08047545584402072,,,,,,,,,,0.04918601679172717,,,,,,,,,0.011315719544054432,0.04581979305630619,,,,,,,,,0.03137621291814464,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,,,,,,,1.0,5.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,,,,,,,0.0,5.0,,,,,,,,,2.0,,,,,,,
大阪市議会議員再選挙（中央区選挙区）（2020年03月22日投票）,大阪市議会議員再選挙,大阪府,大阪市,20200322.0,2020.0,3.0,22.0,20200313.0,25.24,1.0,3.0,3.0,,,,,選挙犯罪による当選無効/公職選挙法違反（買収）の罪が確定した不破忠幸氏の当選無効による,,,,,大阪市議会議員再選挙（中央区選挙区）（2020年03月22日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,,0.5049116888271482,0.49508831117285174,,0.5049116888271482,0.24754415558642587,20156.0,3.0,50.666666666666664,8.379870059984356,42.0,45.0,48.0,55.0,62.0,48.0,0.0,48.0,48.0,48.0,48.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,10177.0,,,,,,,,,,3650.0,,,,,,,,,,,,,,,,,,,6329.0,,,,,,,,20156.0,,,,,,,,,,,,,,,,,,,,,,,,0.5049116888271482,,,,,,,,,,0.18108751736455647,,,,,,,,,,,,,,,,,,,0.3140007938082953,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5049116888271482,,,,,,,,,,0.18108751736455647,,,,,,,,,,,,,,,,,,,0.3140007938082953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
大阪市議会議員補欠選挙（2005年11月27日投票）,大阪市議会議員補欠選挙,大阪府,大阪市,20051127.0,2005.0,11.0,27.0,20051118.0,33.62,1.0,3.0,3.0,134311.0,,,,その他,,,,,大阪市議会議員補欠選挙（2005年11月27日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,43011.0,2.0,46.0,6.531972647421808,38.0,42.0,46.0,50.0,54.0,46.0,0.0,46.0,46.0,46.0,46.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15142.0,,,,,,,,,,27869.0,,,,,,,,,,,,,,,,,43011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35204947571551465,,,,,,,,,,0.6479505242844854,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35204947571551465,,,,,,,,,,0.3239752621422427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
大阪市議会議員補欠選挙（2006年10月15日投票）,大阪市議会議員補欠選挙,大阪府,大阪市,20061015.0,2006.0,10.0,15.0,20061006.0,29.82,1.0,4.0,4.0,77547.0,,,-56764.0,その他,33.62,,,,大阪市議会議員補欠選挙（2006年10月15日投票）,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,22684.0,4.0,51.25,10.638961415476606,35.0,45.5,53.5,59.25,63.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5433.0,,,,,,8146.0,,,,935.0,,,,,,,,,8170.0,,,,,,,,22684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23950802327631812,,,,,,0.3591077411391289,,,,0.04121847998589314,,,,,,,,,0.3601657555986599,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23950802327631812,,,,,,0.3591077411391289,,,,0.04121847998589314,,,,,,,,,0.3601657555986599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,1.0,,,,,,,
大阪市議会議員補欠選挙（2007年12月23日投票）,大阪市議会議員補欠選挙,大阪府,大阪市,20071223.0,2007.0,12.0,23.0,20071214.0,41.32,1.0,3.0,3.0,59398.0,,,-18149.0,その他,29.82,,,,大阪市議会議員補欠選挙（2007年12月23日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,,0.5791208338483088,0.4208791661516912,,0.2895604169241544,0.4208791661516912,24273.0,3.0,50.666666666666664,11.785113019775793,34.0,46.5,59.0,59.0,59.0,59.0,0.0,59.0,59.0,59.0,59.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6009.0,,,,,,8048.0,,,,,,,,,,,,,10216.0,,,,,,,,24273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24755901619082932,,,,,,0.3315618176574795,,,,,,,,,,,,,0.4208791661516912,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24755901619082932,,,,,,0.3315618176574795,,,,,,,,,,,,,0.4208791661516912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,
大阪市議会議員補欠選挙（2009年09月27日投票）,大阪市議会議員補欠選挙,大阪府,大阪市,20090927.0,2009.0,9.0,27.0,20090918.0,20.66,1.0,2.0,2.0,84337.0,,,24939.0,その他,41.32,,,,大阪市議会議員補欠選挙（2009年09月27日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,16620.0,2.0,45.0,4.0,41.0,43.0,45.0,47.0,49.0,49.0,0.0,49.0,49.0,49.0,49.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6831.0,,,,,,9789.0,,,,,,,,,,,,,,,,,,,,,16620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41101083032490976,,,,,,0.5889891696750903,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41101083032490976,,,,,,0.5889891696750903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
大阪市議会議員補欠選挙（2012年12月16日投票）,大阪市議会議員補欠選挙,大阪府,大阪市,20121216.0,2012.0,12.0,16.0,20121207.0,57.96,1.0,3.0,3.0,68050.0,,,-16287.0,その他,20.66,,,,大阪市議会議員補欠選挙（2012年12月16日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,37818.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6941.0,,,18383.0,,,,,,,,,,,,,,,,12494.0,,,,,,,,37818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1835369400814427,,,0.48609127928499657,,,,,,,,,,,,,,,,0.33037178063356076,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1835369400814427,,,0.48609127928499657,,,,,,,,,,,,,,,,0.33037178063356076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,
大阪市議会議員補欠選挙（2015年11月22日投票）,大阪市議会議員補欠選挙,大阪府,大阪市,20151122.0,2015.0,11.0,22.0,20151113.0,47.92,1.0,4.0,4.0,,,,,その他,57.96,,,,大阪市議会議員補欠選挙（2015年11月22日投票）,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,41586.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17407.0,,,,,,,,,,,,,,,,,,,,,2775.0,,,,,,,,,16220.0,5184.0,,,,,,,41586.0,,,,,,,,,,,,,,,,,,,,,,,0.41857836771990575,,,,,,,,,,,,,,,,,,,,,0.06672918770740154,,,,,,,,,0.390035107969028,0.1246573366036647,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.41857836771990575,,,,,,,,,,,,,,,,,,,,,0.06672918770740154,,,,,,,,,0.390035107969028,0.1246573366036647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,
大阪市議会議員補欠選挙（2017年10月22日投票）,大阪市議会議員補欠選挙,大阪府,大阪市,20171022.0,2017.0,10.0,22.0,20171013.0,48.76,1.0,2.0,2.0,102576.0,,,,その他,47.92,,,,大阪市議会議員補欠選挙（2017年10月22日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,1.0,0.0,,0.6554806534096913,0.34451934659030875,,0.6554806534096913,0.34451934659030875,47321.0,0.0,41.0,16.0,25.0,33.0,41.0,49.0,57.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪市議会議員補欠選挙（2018年08月05日投票）,大阪市議会議員補欠選挙,大阪府,大阪市,20180805.0,2018.0,8.0,5.0,20180727.0,17.16,1.0,2.0,2.0,,,,,辞職/今井篤氏の辞職による,48.76,,,,大阪市議会議員補欠選挙（2018年08月05日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,,0.41541095890410956,0.5845890410958904,,0.41541095890410956,0.5845890410958904,14600.0,2.0,54.0,6.0,48.0,51.0,54.0,57.0,60.0,48.0,0.0,48.0,48.0,48.0,48.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6065.0,,,,,,,,,,,,,,,,,,,8535.0,,,,,,,,14600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41541095890410956,,,,,,,,,,,,,,,,,,,0.5845890410958904,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41541095890410956,,,,,,,,,,,,,,,,,,,0.5845890410958904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
大阪市議会議員選挙（2003年04月13日投票）,大阪市議会議員選挙,大阪府,大阪市,20030413.0,2003.0,4.0,13.0,20030404.0,47.21,86.0,127.0,1.4767441860465116,2035199.0,,,,任期満了,,,,,大阪市議会議員選挙（2003年04月13日投票）,24.0,127.0,89.0,1.4269662921348314,0.0,0.0,0.0,0.14960629921259844,0.12359550561797752,0.5511811023622047,0.4094488188976378,0.03937007874015748,0.7415730337078652,0.2247191011235955,0.033707865168539325,0.6486975947829395,0.3161503773462584,0.035152027870802086,0.009267108496899136,0.006079814948966507,0.007030405574160417,940913.0,7.0,52.99212598425197,11.441391952507336,26.0,47.0,53.0,60.0,86.0,54.359550561797754,11.67080982816515,29.0,49.0,54.0,62.0,86.0,,,,,,,,,,,235964.0,,,,,,,,,,,,,,,,,,,,,,,167466.0,,,,,,167963.0,,,,73898.0,,2843.0,,,,,,7244.0,285535.0,,,,,,,,940913.0,,,,,,,,,,,0.25078195327304437,,,,,,,,,,,,,,,,,,,,,,,0.17798244896180623,,,,,,0.17851065932769555,,,,0.07853861090238949,,0.003021533340489503,,,,,,0.007698905212277862,0.303465888982297,,,,,,,,1.0,,,,,,,,,,,0.013199050172265492,,,,,,,,,,,,,,,,,,,,,,,0.006591942554140972,,,,,,0.007761333014247633,,,,0.003926930545119474,,0.003021533340489503,,,,,,0.003849452606138931,0.00867045397092277,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,23.0,,,,20.0,,1.0,,,,,,2.0,35.0,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,18.0,,,,7.0,,0.0,,,,,,1.0,31.0,,,,,,,
大阪市議会議員選挙（2007年04月08日投票）,大阪市議会議員選挙,大阪府,大阪市,20070408.0,2007.0,4.0,8.0,20070330.0,46.42,86.0,132.0,1.5348837209302326,2060702.0,,,25503.0,任期満了,47.21,,,,大阪市議会議員選挙（2007年04月08日投票）,24.0,132.0,89.0,1.4831460674157304,0.022727272727272728,0.041666666666666664,0.041666666666666664,0.14393939393939395,0.1348314606741573,0.5681818181818182,0.4090909090909091,0.022727272727272728,0.7528089887640449,0.23595505617977527,0.011235955056179775,0.6999725575330829,0.28148384792963893,0.01854359453727829,0.009721841076848373,0.005212663850548869,0.006181198179092764,915734.0,7.0,52.89393939393939,10.976046630398878,26.0,45.75,55.0,59.0,81.0,52.831460674157306,9.980020439798233,33.0,46.0,55.0,59.0,76.0,,,521.0,,,,,,,,,,,,,,3402.0,,,,,,,,,,,,,,,,,,,,,,,175423.0,,,,88704.33,,,,,,,,,,,,,,,,,268050.33,,,0.00194366483339155,,,,,,,,,,,,,,0.012691646378499141,,,,,,,,,,,,,,,,,,,,,,,0.6544405298810861,,,,0.33092415890702315,,,,,,,,,,,,,,,,,1.0,,,0.00194366483339155,,,,,,,,,,,,,,0.012691646378499141,,,,,,,,,,,,,,,,,,,,,,,0.027268355411711923,,,,0.013236966356280926,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,20.0,,,,,,1.0,,,,,,,,,,,,,,,,,25.0,,,,,,24.0,,,,25.0,,,,,,,,,36.0,,,,,,,,,,0.0,,,,,,,,20.0,,,,,,0.0,,,,,,,,,,,,,,,,,16.0,,,,,,17.0,,,,6.0,,,,,,,,,30.0,,,,,,,
