,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_なら分権の会,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_地域政党 やまとの会,得票数_地域政党やまとの会,得票数_奈良維新の会,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_根っこから真改革,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_減税日本,得票数_無所属,得票数_生駒維新の会,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_なら分権の会,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_地域政党 やまとの会,得票率_地域政党やまとの会,得票率_奈良維新の会,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_根っこから真改革,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_減税日本,得票率_無所属,得票率_生駒維新の会,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_なら分権の会,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党 やまとの会,一人あたり得票率_地域政党やまとの会,一人あたり得票率_奈良維新の会,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_根っこから真改革,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_生駒維新の会,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_なら分権の会,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_地域政党 やまとの会,立候補者数_地域政党やまとの会,立候補者数_奈良維新の会,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_根っこから真改革,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_減税日本,立候補者数_無所属,立候補者数_生駒維新の会,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_なら分権の会,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_地域政党 やまとの会,当選者数_地域政党やまとの会,当選者数_奈良維新の会,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_根っこから真改革,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_減税日本,当選者数_無所属,当選者数_生駒維新の会,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党
三郷町議会議員選挙（2015年04月26日投票）,三郷町議会議員選挙,奈良県,三郷町,20150426.0,2015.0,4.0,26.0,20150421.0,50.83,13.0,15.0,1.1538461538461535,,,,,任期満了,53.6,,,,三郷町議会議員選挙（2015年04月26日投票）,1.0,15.0,13.0,1.1538461538461537,0.0,0.0,0.0,0.2,0.23076923076923078,0.7333333333333333,0.26666666666666666,0.0,0.7692307692307693,0.23076923076923078,0.0,0.7708311106369359,0.22916888936306412,,0.07007555551244872,0.05729222234076603,,9373.0,2.0,61.333333333333336,12.985461956442759,40.0,48.0,65.0,72.5,78.0,60.46153846153846,13.465713638236268,40.0,46.0,65.0,71.0,78.0,,,,,,,,,,2012.0,,,,,,,7361.0,,,,,,9373.0,,,,,,,,,,0.2146591272804865,,,,,,,0.7853408727195135,,,,,,1.0,,,,,,,,,,0.07155304242682883,,,,,,,0.06544507272662613,,,,,,,,,,,,,,,3.0,,,,,,,12.0,,,,,,,,,,,,,,,3.0,,,,,,,10.0,,,,,
三郷町議会議員選挙（2019年04月21日投票）,三郷町議会議員選挙,奈良県,三郷町,20190421.0,2019.0,4.0,21.0,20190416.0,,13.0,15.0,1.1538461538461535,,,,,任期満了,50.83,,,,三郷町議会議員選挙（2019年04月21日投票）,1.0,15.0,13.0,1.1538461538461537,0.0,0.0,0.0,0.3333333333333333,0.38461538461538464,0.6666666666666666,0.3333333333333333,0.0,0.6923076923076923,0.3076923076923077,0.0,0.6696174196174196,0.3303825803825804,,0.06696174196174196,0.06607651607651607,,9828.0,3.0,58.266666666666666,11.624495210067787,43.0,47.5,54.0,68.5,78.0,60.23076923076923,11.267064638233428,43.0,50.0,60.0,69.0,78.0,,,,833.0,,,,,,2026.0,,,,,,,6969.0,,,,,,9828.0,,,,0.08475783475783476,,,,,,0.20614570614570615,,,,,,,0.7090964590964591,,,,,,1.0,,,,0.08475783475783476,,,,,,0.06871523538190205,,,,,,,0.06446331446331446,,,,,,,,,1.0,,,,,,3.0,,,,,,,11.0,,,,,,,,,1.0,,,,,,3.0,,,,,,,9.0,,,,,
上北山村議会議員再選挙（2007年05月27日投票）,上北山村議会議員再選挙,奈良県,上北山村,20070527.0,2007.0,5.0,27.0,20070522.0,無投票,2.0,2.0,1.0,664.0,,,,その他,,,,,上北山村議会議員再選挙（2007年05月27日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,68.5,4.5,64.0,66.25,68.5,70.75,73.0,68.5,4.5,64.0,66.25,68.5,70.75,73.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
上北山村議会議員選挙（2007年04月22日投票）,上北山村議会議員選挙,奈良県,上北山村,20070422.0,2007.0,4.0,22.0,20070417.0,無投票,7.0,5.0,0.7142857142857143,670.0,,,,任期満了,,,,,上北山村議会議員選挙（2007年04月22日投票）,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.8,0.2,0.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
上北山村議会議員選挙（2011年04月24日投票）,上北山村議会議員選挙,奈良県,上北山村,20110424.0,2011.0,4.0,24.0,20110419.0,無投票,7.0,7.0,1.0,622.0,,,-48.0,任期満了,,,,,上北山村議会議員選挙（2011年04月24日投票）,1.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8571428571428571,0.14285714285714285,0.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,
上北山村議会議員選挙（2015年04月26日投票）,上北山村議会議員選挙,奈良県,上北山村,20150426.0,2015.0,4.0,26.0,20150421.0,89.94,6.0,7.0,1.1666666666666667,537.0,,,-85.0,任期満了,,,,,上北山村議会議員選挙（2015年04月26日投票）,1.0,7.0,6.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.8333333333333334,0.16666666666666666,0.0,0.7364016736401674,0.26359832635983266,,0.14728033472803348,0.13179916317991633,,478.0,1.0,66.28571428571429,5.283783431116266,60.0,62.0,64.0,71.0,74.0,67.33333333333333,4.988876515698588,60.0,64.0,67.0,71.5,74.0,,,,,,,,,,,,,,,,,478.0,,,,,,478.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
上北山村議会議員選挙（2019年04月21日投票）,上北山村議会議員選挙,奈良県,上北山村,20190421.0,2019.0,4.0,21.0,20190416.0,無投票,6.0,6.0,1.0,,,,,任期満了,89.94,,,,上北山村議会議員選挙（2019年04月21日投票）,1.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,0.0,1.0,69.66666666666667,5.467073155618908,64.0,65.0,68.0,74.0,78.0,69.66666666666667,5.467073155618908,64.0,65.0,68.0,74.0,78.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
上牧町議会議員選挙（2007年04月22日投票）,上牧町議会議員選挙,奈良県,上牧町,20070422.0,2007.0,4.0,22.0,20070417.0,,12.0,15.0,1.25,19587.0,,,,任期満了,,,,,上牧町議会議員選挙（2007年04月22日投票）,1.0,15.0,12.0,1.25,0.0,0.0,0.0,0.26666666666666666,0.25,0.8,0.2,0.0,0.8333333333333334,0.16666666666666666,0.0,0.7835972750597187,0.21640272494028134,,0.06529977292164323,0.07213424164676045,,11303.0,3.0,58.8,8.565045242145542,49.0,50.5,58.0,65.5,77.0,58.166666666666664,7.4591480002000825,49.0,50.75,57.0,65.25,69.0,,,,2488.0,,,,,,1602.0,,,,,,,7213.0,,,,,,11303.0,,,,0.22011855259665575,,,,,,0.14173228346456693,,,,,,,0.6381491639387773,,,,,,1.0,,,,0.11005927629832787,,,,,,0.07086614173228346,,,,,,,0.05801356035807066,,,,,,,,,2.0,,,,,,2.0,,,,,,,11.0,,,,,,,,,2.0,,,,,,2.0,,,,,,,8.0,,,,,
上牧町議会議員選挙（2011年04月24日投票）,上牧町議会議員選挙,奈良県,上牧町,20110424.0,2011.0,4.0,24.0,20110419.0,49.75,12.0,13.0,1.0833333333333333,19234.0,,,-353.0,任期満了,,,,,上牧町議会議員選挙（2011年04月24日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.23076923076923078,0.25,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.9166666666666666,0.0,0.08333333333333333,0.8749467858663261,0.011600681140911026,0.11345253299276288,0.07954061689693874,0.011600681140911026,0.11345253299276288,9396.0,4.0,,,,,,,,,,,,,,,,,,2516.0,,,,,,1103.0,,,,552.0,,,5225.0,,,,,,9396.0,,,,0.2677735206470839,,,,,,0.11739037888463176,,,,0.05874840357598978,,,0.5560876968922946,,,,,,1.0,,,,0.13388676032354194,,,,,,0.05869518944231588,,,,0.05874840357598978,,,0.06951096211153683,,,,,,,,,2.0,,,,,,2.0,,,,1.0,,,8.0,,,,,,,,,2.0,,,,,,2.0,,,,1.0,,,7.0,,,,,
上牧町議会議員選挙（2015年04月26日投票）,上牧町議会議員選挙,奈良県,上牧町,20150426.0,2015.0,4.0,26.0,20150421.0,52.51,12.0,14.0,1.1666666666666667,,,,,任期満了,49.75,,,,上牧町議会議員選挙（2015年04月26日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.21428571428571427,0.25,0.7857142857142857,0.21428571428571427,0.0,0.75,0.25,0.0,0.7880496054114995,0.21195039458850057,,0.07164087321922723,0.07065013152950018,,9757.0,5.0,61.92857142857143,9.145367958810668,45.0,57.25,59.5,70.5,77.0,60.666666666666664,9.186342519680446,45.0,56.0,58.5,66.0,77.0,,,,2184.0,,,,,,1173.0,,,,487.0,,,5160.0,,,,,753.0,9757.0,,,,0.22383929486522497,,,,,,0.12022137952239417,,,,0.049912883058317106,,,0.528851081274982,,,,,0.07717536127908169,1.0,,,,0.11191964743261248,,,,,,0.060110689761197086,,,,0.049912883058317106,,,0.06610638515937275,,,,,0.07717536127908169,,,,2.0,,,,,,2.0,,,,1.0,,,8.0,,,,,1.0,,,,2.0,,,,,,2.0,,,,0.0,,,7.0,,,,,1.0
上牧町議会議員選挙（2019年04月21日投票）,上牧町議会議員選挙,奈良県,上牧町,20190421.0,2019.0,4.0,21.0,20190416.0,無投票,12.0,12.0,1.0,,,,,任期満了,52.51,,,,上牧町議会議員選挙（2019年04月21日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.25,0.25,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下北山村議会議員選挙（2007年04月22日投票）,下北山村議会議員選挙,奈良県,下北山村,20070422.0,2007.0,4.0,22.0,20070417.0,92.39,8.0,9.0,1.125,1090.0,,,,任期満了,,,,,下北山村議会議員選挙（2007年04月22日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.2222222222222222,0.0,0.75,0.25,0.0,0.7410358565737052,0.2589641434262948,,0.10586226522481502,0.1294820717131474,,1004.0,1.0,57.22222222222222,7.5096645549848,46.0,55.0,58.0,60.0,73.0,56.875,7.896795236043543,46.0,53.0,57.5,58.75,73.0,,,,,,,,,,,,,,,,,1004.0,,,,,,1004.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,
