,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_次世代の党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_維新政党・新風,得票数_自由民主党,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_次世代の党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_維新政党・新風,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_維新政党・新風,一人あたり得票率_自由民主党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_次世代の党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_維新政党・新風,立候補者数_自由民主党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_次世代の党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_維新政党・新風,当選者数_自由民主党
みなべ町議会議員選挙（2008年10月05日投票）,みなべ町議会議員選挙,和歌山県,みなべ町,20081005.0,2008.0,10.0,5.0,20080930.0,77.97,14.0,15.0,1.0714285714285714,11491.0,,,,任期満了,,,,,みなべ町議会議員選挙（2008年10月05日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.6428571428571429,0.2857142857142857,0.07142857142857142,0.6319835363103293,0.31073184483536315,0.05728461885430762,0.06319835363103293,0.07768296120884079,0.05728461885430762,8868.0,2.0,59.0,7.9833159359587755,34.0,56.5,60.0,64.0,69.0,59.357142857142854,8.146928806586677,34.0,58.0,61.0,64.5,69.0,,,,1074.0,,,,7794.0,,,,,,8868.0,,,,0.12110960757780785,,,,0.8788903924221921,,,,,,1.0,,,,0.060554803788903926,,,,0.06760695326324555,,,,,,,,,2.0,,,,13.0,,,,,,,,,2.0,,,,12.0,,,,,
みなべ町議会議員選挙（2012年09月30日投票）,みなべ町議会議員選挙,和歌山県,みなべ町,20120930.0,2012.0,9.0,30.0,20120925.0,73.94,14.0,15.0,1.0714285714285714,11201.0,,,-290.0,任期満了,77.97,,,,みなべ町議会議員選挙（2012年09月30日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.5714285714285714,0.42857142857142855,0.0,0.5659777424483307,0.43402225755166934,,0.0628864158275923,0.07233704292527822,,8177.0,2.0,57.8,8.76508223958376,38.0,53.5,59.0,63.0,69.0,57.5,8.99801565425876,38.0,53.25,59.0,63.5,69.0,,,,900.0,,,,7277.0,,,,,,8177.0,,,,0.1100648159471689,,,,0.8899351840528311,,,,,,1.0,,,,0.05503240797358445,,,,0.06845655261944855,,,,,,,,,2.0,,,,13.0,,,,,,,,,2.0,,,,12.0,,,,,
みなべ町議会議員選挙（2016年10月02日投票）,みなべ町議会議員選挙,和歌山県,みなべ町,20161002.0,2016.0,10.0,2.0,20160927.0,74.65,14.0,17.0,1.2142857142857142,11008.0,,,-193.0,任期満了,73.94,,,,みなべ町議会議員選挙（2016年10月02日投票）,1.0,17.0,14.0,1.2142857142857142,0.0,0.0,0.0,0.11764705882352941,0.07142857142857142,0.5294117647058824,0.4117647058823529,0.058823529411764705,0.5,0.42857142857142855,0.07142857142857142,0.5030720078643401,0.44286065372327355,0.05406733841238633,0.05589688976270446,0.06326580767475336,0.05406733841238633,8138.0,0.0,59.23529411764706,7.376667602210012,42.0,55.0,62.0,63.0,73.0,59.42857142857143,7.01747090903722,42.0,55.5,60.0,62.75,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
みなべ町議会議員選挙（2020年10月04日投票）,みなべ町議会議員選挙,和歌山県,みなべ町,20201004.0,2020.0,10.0,4.0,20200929.0,75.7,14.0,15.0,1.0714285714285714,,,,,任期満了,74.65,,,,みなべ町議会議員選挙（2020年10月04日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.8,0.2,0.0,0.7857142857142857,0.21428571428571427,0.0,0.7233003469991004,0.2766996530008996,,0.0602750289165917,0.09223321766696653,,7781.0,2.0,59.8,10.74678246422311,28.0,58.5,61.0,66.0,77.0,59.857142857142854,11.121774928086811,28.0,58.25,61.0,66.0,77.0,,,,461.0,,,,7320.0,,,,,,7781.0,,,,0.059246883434005915,,,,0.9407531165659941,,,,,,1.0,,,,0.059246883434005915,,,,0.0671966511832853,,,,,,,,,1.0,,,,14.0,,,,,,,,,1.0,,,,13.0,,,,,
上富田町議会議員選挙（2006年04月30日投票）,上富田町議会議員選挙,和歌山県,上富田町,20060430.0,2006.0,4.0,30.0,20060425.0,73.29,12.0,13.0,1.0833333333333333,11898.0,,,,任期満了,,,,,上富田町議会議員選挙（2006年04月30日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.15384615384615385,0.16666666666666666,0.7692307692307693,0.23076923076923078,0.0,0.75,0.25,0.0,0.8103989763871118,0.18960102361288822,,0.08103989763871118,0.06320034120429607,,8597.0,3.0,57.30769230769231,6.156730093465766,42.0,56.0,58.0,60.0,67.0,57.333333333333336,6.407460928913695,42.0,55.75,58.0,60.75,67.0,1340.0,,,720.0,,,,6537.0,,,,,,8597.0,0.15586832616028848,,,0.08375014539955798,,,,0.7603815284401535,,,,,,1.0,0.15586832616028848,,,0.08375014539955798,,,,0.0691255934945594,,,,,,1.0,,,1.0,,,,11.0,,,,,,1.0,,,1.0,,,,10.0,,,,,
上富田町議会議員選挙（2010年04月25日投票）,上富田町議会議員選挙,和歌山県,上富田町,20100425.0,2010.0,4.0,25.0,20100420.0,無投票,12.0,12.0,1.0,12176.0,,,278.0,任期満了,73.29,,,,上富田町議会議員選挙（2010年04月25日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,9.0,,,,,,2.0,,,1.0,,,,9.0,,,,,
上富田町議会議員選挙（2014年04月27日投票）,上富田町議会議員選挙,和歌山県,上富田町,20140427.0,2014.0,4.0,27.0,20140422.0,,12.0,14.0,1.1666666666666667,,,,,任期満了,,,,,上富田町議会議員選挙（2014年04月27日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.2857142857142857,0.25,0.7142857142857143,0.2857142857142857,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6357904946653734,0.3642095053346266,,0.06357904946653734,0.09105237633365665,,8248.0,4.0,63.0,6.740072064048828,49.0,60.75,65.0,66.75,72.0,61.583333333333336,6.237765803733114,49.0,59.0,64.5,66.0,68.0,1051.0,,,700.0,,,,5886.0,,,,,611.0,8248.0,0.12742483026188167,,,0.0848690591658584,,,,0.7136275460717749,,,,,0.07407856450048497,1.0,0.12742483026188167,,,0.0848690591658584,,,,0.06487523146107045,,,,,0.07407856450048497,1.0,,,1.0,,,,11.0,,,,,1.0,1.0,,,1.0,,,,9.0,,,,,1.0
上富田町議会議員選挙（2018年04月29日投票）,上富田町議会議員選挙,和歌山県,上富田町,20180429.0,2018.0,4.0,29.0,20180424.0,63.61,12.0,14.0,1.1666666666666667,,,,,任期満了,,,,,上富田町議会議員選挙（2018年04月29日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.21428571428571427,0.25,0.5714285714285714,0.42857142857142855,0.0,0.5,0.5,0.0,0.48612554561810906,0.5138744543818909,,0.06076569320226363,0.08564574239698182,,7992.999,4.0,58.0,12.62650273941963,30.0,50.75,62.0,68.5,71.0,56.833333333333336,13.126521075881284,30.0,49.75,61.5,67.5,71.0,1121.0,,,1085.0,,,,5123.601000000001,,,,,663.398,7992.999000000001,0.14024773429847795,,,0.1357437927866624,,,,0.6410110898299874,,,,,0.08299738308487214,1.0,0.14024773429847795,,,0.0678718963933312,,,,0.06410110898299874,,,,,0.08299738308487214,1.0,,,2.0,,,,10.0,,,,,1.0,1.0,,,2.0,,,,8.0,,,,,1.0
串本町議会議員補欠選挙（2020年08月09日投票）,串本町議会議員補欠選挙,和歌山県,串本町,20200809.0,2020.0,8.0,9.0,20200804.0,45.07,3.0,4.0,1.3333333333333333,13837.0,,,,辞職/水口崇氏、さとうたけじ氏の和歌山県議選出馬による辞職及び、漆畑繁生氏のＪＡみくまの組合長就任に伴う議員辞職のため,,,,,串本町議会議員補欠選挙（2020年08月09日投票）,1.0,4.0,3.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.3333333333333333,0.3333333333333333,,0.5298739564576854,0.14585038467834344,,0.2649369782288427,0.14585038467834344,6109.0,2.0,61.0,7.3824115301167,49.0,58.0,63.5,66.5,68.0,58.666666666666664,7.1336448530109,49.0,55.0,61.0,63.5,66.0,,,,794.0,,,,5315.0,,,,,,6109.0,,,,0.12997217220494353,,,,0.8700278277950565,,,,,,1.0,,,,0.12997217220494353,,,,0.2900092759316855,,,,,,,,,1.0,,,,3.0,,,,,,,,,0.0,,,,3.0,,,,,
串本町議会議員選挙（2005年01月23日投票）,串本町議会議員選挙,和歌山県,串本町,20050123.0,2005.0,1.0,23.0,20050118.0,72.04,14.0,15.0,1.0714285714285714,12810.0,,,,任期満了,,,,,串本町議会議員選挙（2005年01月23日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.2,0.06666666666666667,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.7226605303528381,0.1915406530791146,0.08579881656804733,0.065696411850258,0.06384688435970487,0.08579881656804733,9126.0,2.0,56.8,7.993330553238326,43.0,53.0,58.0,61.0,74.0,56.714285714285715,8.267220740703022,43.0,52.5,58.0,61.0,74.0,,,,664.0,,,,8462.0,,,,,,9126.0,,,,0.0727591496822266,,,,0.9272408503177734,,,,,,1.0,,,,0.0727591496822266,,,,0.06623148930841238,,,,,,,,,1.0,,,,14.0,,,,,,,,,1.0,,,,13.0,,,,,
串本町議会議員選挙（2005年05月01日投票）,串本町議会議員選挙,和歌山県,串本町,20050501.0,2005.0,5.0,1.0,20050426.0,,0.0,24.0,,17468.0,,,4658.0,その他,72.04,,,,串本町議会議員選挙（2005年05月01日投票）,2.0,24.0,18.0,1.3333333333333333,0.0,0.0,0.0,0.041666666666666664,0.05555555555555555,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.041666666666666664,,14396.0,2.0,55.666666666666664,8.17346655682615,37.0,51.25,56.0,61.25,74.0,54.72222222222222,8.886978961476638,37.0,47.5,55.5,60.75,74.0,,,,1235.0,,,,13161.0,,,,,,14396.0,,,,0.08578771881078077,,,,0.9142122811892193,,,,,,1.0,,,,0.04289385940539039,,,,0.04155510369041906,,,,,,,,,2.0,,,,22.0,,,,,,,,,2.0,,,,16.0,,,,,
串本町議会議員選挙（2009年04月19日投票）,串本町議会議員選挙,和歌山県,串本町,20090419.0,2009.0,4.0,19.0,20090414.0,81.16,18.0,19.0,1.0555555555555556,16541.0,,,-927.0,任期満了,,,,,串本町議会議員選挙（2009年04月19日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.7368421052631579,0.2631578947368421,0.0,0.7222222222222222,0.2777777777777778,0.0,0.7478888804783893,0.25211111952161075,,0.05342063431988495,0.05042222390432215,,13211.0,2.0,57.10526315789474,8.038687617699697,41.0,52.0,56.0,61.0,78.0,57.5,8.077747210701755,41.0,53.25,57.0,61.5,78.0,,,,1240.6399999999999,,,,11970.36,,,,,,13211.0,,,,0.09390962077056997,,,,0.90609037922943,,,,,,1.0,,,,0.046954810385284984,,,,0.053299434072319414,,,,,,,,,2.0,,,,17.0,,,,,,,,,2.0,,,,16.0,,,,,
串本町議会議員選挙（2013年04月14日投票）,串本町議会議員選挙,和歌山県,串本町,20130414.0,2013.0,4.0,14.0,20130409.0,76.03,15.0,22.0,1.4666666666666666,15604.0,,,-937.0,任期満了,81.16,,,,串本町議会議員選挙（2013年04月14日投票）,1.0,22.0,15.0,1.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.6818181818181818,0.2727272727272727,0.0,0.7333333333333333,0.26666666666666666,0.0,0.6533673469387755,0.3222278911564626,,0.0435578231292517,0.0537046485260771,,11760.0,2.0,58.86363636363637,10.283682814605132,26.0,55.25,60.0,63.5,82.0,60.0,8.238122763510304,45.0,55.5,60.0,63.0,82.0,,,,869.23,,,,10890.77,,,,,,11760.0,,,,0.07391411564625851,,,,0.9260858843537415,,,,,,1.0,,,,0.036957057823129254,,,,0.04630429421768707,,,,,,,,,2.0,,,,20.0,,,,,,,,,1.0,,,,14.0,,,,,
串本町議会議員選挙（2017年04月16日投票）,串本町議会議員選挙,和歌山県,串本町,20170416.0,2017.0,4.0,16.0,20170411.0,72.51,15.0,19.0,1.2666666666666666,14728.0,,,-876.0,任期満了,76.03,,,,串本町議会議員選挙（2017年04月16日投票）,1.0,19.0,15.0,1.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.21052631578947367,0.10526315789473684,0.8,0.2,0.0,0.7101591059759447,0.22430438488493226,0.06553650913912303,0.05462762353661113,0.056076096221233065,0.03276825456956151,10559.0,0.0,62.10526315789474,10.77470105504022,29.0,59.5,64.0,67.0,86.0,62.06666666666667,11.879768048614793,29.0,59.5,64.0,67.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
串本町議会議員選挙（2021年04月18日投票）,串本町議会議員選挙,和歌山県,串本町,20210418.0,2021.0,4.0,18.0,20210413.0,70.75,13.0,17.0,1.3076923076923077,13617.0,6318.0,7299.0,-1111.0,任期満了,72.51,,,,串本町議会議員選挙（2021年04月18日投票）,1.0,17.0,13.0,1.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.29411764705882354,0.0,0.8461538461538461,0.15384615384615385,0.0,0.7495544606352867,0.2504455393647133,,0.06246287171960723,0.05008910787294266,,9539.0,2.0,64.76470588235294,9.052327693924955,43.0,63.0,65.0,70.0,80.0,62.76923076923077,9.039688951029285,43.0,62.0,64.0,69.0,77.0,,,,841.0,,,,8698.0,,,,,,9539.0,,,,0.08816437781738128,,,,0.9118356221826187,,,,,,1.0,,,,0.04408218890869064,,,,0.060789041478841246,,,,,,,,,2.0,,,,15.0,,,,,,,,,1.0,,,,12.0,,,,,
九度山町議会議員補欠選挙（2014年04月20日投票）,九度山町議会議員補欠選挙,和歌山県,九度山町,20140420.0,2014.0,4.0,20.0,20140415.0,無投票,2.0,2.0,1.0,,,,,その他,,,,,九度山町議会議員補欠選挙（2014年04月20日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,,,,,,,0.0,2.0,64.5,12.5,52.0,58.25,64.5,70.75,77.0,64.5,12.5,52.0,58.25,64.5,70.75,77.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,
