,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_公民党,得票数_国民新党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_公明党,得票率_公民党,得票率_国民新党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_公民党,一人あたり得票率_国民新党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_公明党,立候補者数_公民党,立候補者数_国民新党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_公明党,当選者数_公民党,当選者数_国民新党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
上小阿仁村議会議員選挙（2015年04月26日投票）,上小阿仁村議会議員選挙,秋田県,上小阿仁村,20150426.0,2015.0,4.0,26.0,20150421.0,88.39,8.0,9.0,1.125,2291.0,,,-199.0,任期満了,90.44,,,,上小阿仁村議会議員選挙（2015年04月26日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.2222222222222222,0.25,0.6666666666666666,0.3333333333333333,0.0,0.625,0.375,0.0,0.6776938775510204,0.3223061224489796,,0.11294897959183674,0.10743537414965987,,1960.0,1.0,62.666666666666664,4.422166387140533,54.0,60.0,65.0,66.0,68.0,62.25,4.520785330006281,54.0,59.25,64.0,65.25,68.0,,,,,,,,1960.0,,,,1960.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.1111111111111111,,,,,,,,,,,9.0,,,,,,,,,,,8.0,,,
上小阿仁村議会議員選挙（2019年04月21日投票）,上小阿仁村議会議員選挙,秋田県,上小阿仁村,20190421.0,2019.0,4.0,21.0,20190416.0,86.26,8.0,11.0,1.375,,,,,任期満了,88.39,,,,上小阿仁村議会議員選挙（2019年04月21日投票）,1.0,11.0,8.0,1.375,0.0,0.0,0.0,0.18181818181818182,0.125,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.75,0.125,0.125,0.6639860218185076,0.20735221559575853,0.1286617625857338,0.08299825272731345,0.10367610779787927,0.1286617625857338,1740.999,1.0,65.81818181818181,4.4069816885602995,58.0,62.0,67.0,69.5,72.0,66.875,3.585997071945263,61.0,63.75,68.0,69.25,72.0,,,,,,,,1740.999,,,,1740.999,,,,,,,,1.0,,,,1.0,,,,,,,,0.09090909090909091,,,,,,,,,,,11.0,,,,,,,,,,,8.0,,,
五城目町議会議員選挙（2008年03月23日投票）,五城目町議会議員選挙,秋田県,五城目町,20080323.0,2008.0,3.0,23.0,20080318.0,78.58,16.0,17.0,1.0625,9983.0,,,,任期満了,,,,,五城目町議会議員選挙（2008年03月23日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.058823529411764705,0.0625,0.8823529411764706,0.11764705882352941,0.0,0.9375,0.0625,0.0,0.896856497056215,0.10314350294378506,,0.059790433137080996,0.05157175147189253,,7790.99,3.0,63.88235294117647,6.542911323051451,55.0,59.0,60.0,70.0,75.0,64.25,6.5717197140474575,55.0,59.75,60.5,70.5,75.0,603.84,,,,,717.0,,6470.15,,,,7790.99,0.07750491272611056,,,,,0.09202938265868651,,0.830465704615203,,,,1.0,0.07750491272611056,,,,,0.09202938265868651,,0.0553643803076802,,,,1.0,,,,,1.0,,15.0,,,,1.0,,,,,1.0,,14.0,,,
五城目町議会議員選挙（2012年03月25日投票）,五城目町議会議員選挙,秋田県,五城目町,20120325.0,2012.0,3.0,25.0,20120320.0,77.27,16.0,18.0,1.125,9399.0,,,-584.0,任期満了,78.58,,,,五城目町議会議員選挙（2012年03月25日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.05555555555555555,0.0625,0.6666666666666666,0.3333333333333333,0.0,0.6875,0.3125,0.0,0.5711906744379683,0.42880932556203166,,0.0475992228698307,0.07146822092700528,,7206.0,3.0,62.94444444444444,9.868424518084728,31.0,59.5,63.5,64.75,78.0,62.3125,10.072975913303873,31.0,59.0,63.5,64.25,78.0,674.0,,,,,506.0,,6026.0,,,,7206.0,0.09353316680543991,,,,,0.07021926172633916,,0.8362475714682209,,,,1.0,0.09353316680543991,,,,,0.07021926172633916,,0.05226547321676381,,,,1.0,,,,,1.0,,16.0,,,,1.0,,,,,1.0,,14.0,,,
五城目町議会議員選挙（2016年03月27日投票）,五城目町議会議員選挙,秋田県,五城目町,20160327.0,2016.0,3.0,27.0,20160322.0,75.01,14.0,15.0,1.0714285714285714,8746.0,,,-653.0,任期満了,77.27,,,,五城目町議会議員選挙（2016年03月27日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.13333333333333333,0.14285714285714285,0.8666666666666667,0.13333333333333333,0.0,0.8571428571428571,0.14285714285714285,0.0,0.7465437788018433,0.2534562211981567,,0.05742644452321872,0.12672811059907835,,6510.0,0.0,63.0,10.887301471592183,35.0,61.5,65.0,68.0,80.0,62.0,10.583005244258363,35.0,60.75,64.0,68.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五城目町議会議員選挙（2020年03月29日投票）,五城目町議会議員選挙,秋田県,五城目町,20200329.0,2020.0,3.0,29.0,20200324.0,70.12,14.0,15.0,1.0714285714285714,,,,,任期満了,75.01,,,,五城目町議会議員選挙（2020年03月29日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.2,0.21428571428571427,0.8,0.2,0.0,0.7857142857142857,0.21428571428571427,0.0,0.8136855167523489,0.18631448324765112,,0.06780712639602908,0.062104827749217044,,5641.0,3.0,63.8,11.53082824431966,38.0,59.0,67.0,71.5,84.0,62.357142857142854,10.546544070771937,38.0,57.0,67.0,70.5,72.0,535.0,,,,,474.0,,4632.0,,,,5641.0,0.09484134018790995,,,,,0.0840276546711576,,0.8211310051409325,,,,1.0,0.09484134018790995,,,,,0.0840276546711576,,0.06316392347237942,,,,1.0,,,,,1.0,,13.0,,,,1.0,,,,,1.0,,12.0,,,
井川町議会議員補欠選挙（2011年02月20日投票）,井川町議会議員補欠選挙,秋田県,井川町,20110220.0,2011.0,2.0,20.0,20110215.0,68.23,1.0,2.0,2.0,4661.0,,,,その他,,,,,井川町議会議員補欠選挙（2011年02月20日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,3133.0,1.0,,,,,,,,,,,,,,,,,,,,,,3133.0,,,,3133.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.5,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,
井川町議会議員補欠選挙（2015年02月15日投票）,井川町議会議員補欠選挙,秋田県,井川町,20150215.0,2015.0,2.0,15.0,20150210.0,無投票,2.0,2.0,1.0,,,,,その他,68.23,,,,井川町議会議員補欠選挙（2015年02月15日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,72.0,7.0,65.0,68.5,72.0,75.5,79.0,72.0,7.0,65.0,68.5,72.0,75.5,79.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,
井川町議会議員補欠選挙（2019年02月03日投票）,井川町議会議員補欠選挙,秋田県,井川町,20190203.0,2019.0,2.0,3.0,20190129.0,無投票,1.0,1.0,1.0,,,,,その他/伊藤譲氏の死去による,,,,,井川町議会議員補欠選挙（2019年02月03日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,
井川町議会議員選挙（2008年01月20日投票）,井川町議会議員選挙,秋田県,井川町,20080120.0,2008.0,1.0,20.0,20080115.0,83.54,12.0,13.0,1.0833333333333333,4813.0,,,,任期満了,,,,,井川町議会議員選挙（2008年01月20日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.15384615384615385,0.0,0.9166666666666666,0.08333333333333333,0.0,0.8504766683391871,0.14952333166081286,,0.07731606075810792,0.07476166583040643,,3986.0,2.0,60.76923076923077,6.918802099005802,50.0,54.0,64.0,67.0,71.0,60.25,6.953716032932799,50.0,53.75,62.0,66.25,71.0,,,,,,264.0,,3722.0,,,,3986.0,,,,,,0.06623181133968892,,0.9337681886603111,,,,1.0,,,,,,0.06623181133968892,,0.0778140157216926,,,,,,,,,1.0,,12.0,,,,,,,,,1.0,,11.0,,,
井川町議会議員選挙（2012年01月22日投票）,井川町議会議員選挙,秋田県,井川町,20120122.0,2012.0,1.0,22.0,20120117.0,無投票,12.0,12.0,1.0,,,,,任期満了,83.54,,,,井川町議会議員選挙（2012年01月22日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,,,,,,,0.0,3.0,59.75,10.166325130875299,41.0,55.5,59.0,68.5,75.0,59.75,10.166325130875299,41.0,55.5,59.0,68.5,75.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,10.0,,,,,,,,,1.0,1.0,10.0,,,
井川町議会議員選挙（2016年01月17日投票）,井川町議会議員選挙,秋田県,井川町,20160117.0,2016.0,1.0,17.0,20160112.0,無投票,12.0,12.0,1.0,4384.0,,,,任期満了,,,,,井川町議会議員選挙（2016年01月17日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.16666666666666666,0.08333333333333333,0.75,0.16666666666666666,0.08333333333333333,,,,,,,0.0,2.0,62.75,9.373055353867631,45.0,59.5,63.5,68.0,79.0,62.75,9.373055353867631,45.0,59.5,63.5,68.0,79.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,11.0,,,,,,,,,1.0,,11.0,,,
井川町議会議員選挙（2020年01月19日投票）,井川町議会議員選挙,秋田県,井川町,20200119.0,2020.0,1.0,19.0,20200114.0,無投票,12.0,12.0,1.0,,,,,任期満了,,,,,井川町議会議員選挙（2020年01月19日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,,,,,,,0.0,2.0,63.0,10.677078252031311,42.0,59.25,64.5,68.5,83.0,63.0,10.677078252031311,42.0,59.25,64.5,68.5,83.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,11.0,,,,,,,,,1.0,,11.0,,,
仙北市議会議員補欠選挙（2009年10月25日投票）,仙北市議会議員補欠選挙,秋田県,仙北市,20091025.0,2009.0,10.0,25.0,20091018.0,無投票,1.0,1.0,1.0,26110.0,,,,その他,,,,,仙北市議会議員補欠選挙（2009年10月25日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,0.0,1.0,69.0,0.0,69.0,69.0,69.0,69.0,69.0,69.0,0.0,69.0,69.0,69.0,69.0,69.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,
仙北市議会議員補欠選挙（2013年10月06日投票）,仙北市議会議員補欠選挙,秋田県,仙北市,20131006.0,2013.0,10.0,6.0,20130929.0,無投票,1.0,1.0,1.0,,,,,その他,,,,,仙北市議会議員補欠選挙（2013年10月06日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,0.0,1.0,51.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,0.0,51.0,51.0,51.0,51.0,51.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,
仙北市議会議員選挙（2006年04月16日投票）,仙北市議会議員選挙,秋田県,仙北市,20060416.0,2006.0,4.0,16.0,20060409.0,85.96,24.0,39.0,1.625,26995.0,,,,任期満了,,,,,仙北市議会議員選挙（2006年04月16日投票）,1.0,39.0,24.0,1.625,0.0,0.0,0.0,0.02564102564102564,0.0,0.8717948717948718,0.1282051282051282,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8677125652474004,0.1322874347525996,,0.02552095780139413,0.026457486950519922,,23021.99,3.0,59.41025641025641,7.423862940538088,30.0,56.0,59.0,64.5,70.0,57.958333333333336,8.238523161883377,30.0,55.0,59.0,63.25,70.0,897.0,,,,,2125.0,,19999.989999999998,,,,23021.989999999998,0.03896274822463219,,,,,0.0923030546012747,,0.8687341971740931,,,,1.0,0.03896274822463219,,,,,0.03076768486709157,,0.024820977062116945,,,,1.0,,,,,3.0,,35.0,,,,1.0,,,,,3.0,,20.0,,,
仙北市議会議員選挙（2010年04月11日投票）,仙北市議会議員選挙,秋田県,仙北市,20100411.0,2010.0,4.0,11.0,20100404.0,83.04,22.0,27.0,1.2272727272727273,25713.0,,,-1282.0,任期満了,85.96,,,,仙北市議会議員選挙（2010年04月11日投票）,1.0,27.0,22.0,1.2272727272727273,0.0,0.0,0.0,0.037037037037037035,0.045454545454545456,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.037037037037037035,,,21213.010000000002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仙北市議会議員選挙（2014年04月13日投票）,仙北市議会議員選挙,秋田県,仙北市,20140413.0,2014.0,4.0,13.0,20140406.0,,19.0,21.0,1.1052631578947372,,,,,任期満了,83.04,,,,仙北市議会議員選挙（2014年04月13日投票）,1.0,21.0,19.0,1.105263157894737,0.0,0.0,0.0,0.047619047619047616,0.05263157894736842,0.8571428571428571,0.09523809523809523,0.047619047619047616,0.8947368421052632,0.05263157894736842,0.05263157894736842,0.898084332772562,0.060780376621262275,0.04113529060617572,0.049893574042920115,0.030390188310631137,0.04113529060617572,18427.0,3.0,60.0,11.657819774930555,27.0,61.0,64.0,67.0,73.0,59.36842105263158,11.868625275404808,27.0,61.0,64.0,66.5,71.0,1046.0,,,,,651.0,,16730.0,,,,18427.0,0.05676453030878602,,,,,0.0353285939111087,,0.9079068757801053,,,,1.0,0.05676453030878602,,,,,0.0353285939111087,,0.047784572409479226,,,,1.0,,,,,1.0,,19.0,,,,1.0,,,,,1.0,,17.0,,,
