,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_とうごうの未来を創る会,得票数_みんなの党,得票数_公明党,得票数_公民,得票数_国民新党,得票数_国民民主党,得票数_女性党,得票数_女性党（光岡）,得票数_幸福実現党,得票数_改革尾張旭,得票数_新風をおこす会,得票数_日本一愛知の会,得票数_日本共産党,得票数_日本労働党,得票数_日本維新の会,得票数_次世代の党,得票数_民主党,得票数_減税尾張旭,得票数_減税日本,得票数_減税日本一,得票数_減税瀬戸,得票数_無所属,得票数_無所属の会,得票数_生活なごや,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_維新政党・新風,得票数_緑の党グリーンズジャパン,得票数_自由党,得票数_自由民主党,得票数_良識の風,得票数_sum_v,得票率_NHKから国民を守る党,得票率_とうごうの未来を創る会,得票率_みんなの党,得票率_公明党,得票率_公民,得票率_国民新党,得票率_国民民主党,得票率_女性党,得票率_女性党（光岡）,得票率_幸福実現党,得票率_改革尾張旭,得票率_新風をおこす会,得票率_日本一愛知の会,得票率_日本共産党,得票率_日本労働党,得票率_日本維新の会,得票率_次世代の党,得票率_民主党,得票率_減税尾張旭,得票率_減税日本,得票率_減税日本一,得票率_減税瀬戸,得票率_無所属,得票率_無所属の会,得票率_生活なごや,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_維新政党・新風,得票率_緑の党グリーンズジャパン,得票率_自由党,得票率_自由民主党,得票率_良識の風,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_とうごうの未来を創る会,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_公民,一人あたり得票率_国民新党,一人あたり得票率_国民民主党,一人あたり得票率_女性党,一人あたり得票率_女性党（光岡）,一人あたり得票率_幸福実現党,一人あたり得票率_改革尾張旭,一人あたり得票率_新風をおこす会,一人あたり得票率_日本一愛知の会,一人あたり得票率_日本共産党,一人あたり得票率_日本労働党,一人あたり得票率_日本維新の会,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_減税尾張旭,一人あたり得票率_減税日本,一人あたり得票率_減税日本一,一人あたり得票率_減税瀬戸,一人あたり得票率_無所属,一人あたり得票率_無所属の会,一人あたり得票率_生活なごや,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_維新政党・新風,一人あたり得票率_緑の党グリーンズジャパン,一人あたり得票率_自由党,一人あたり得票率_自由民主党,一人あたり得票率_良識の風,立候補者数_NHKから国民を守る党,立候補者数_とうごうの未来を創る会,立候補者数_みんなの党,立候補者数_公明党,立候補者数_公民,立候補者数_国民新党,立候補者数_国民民主党,立候補者数_女性党,立候補者数_女性党（光岡）,立候補者数_幸福実現党,立候補者数_改革尾張旭,立候補者数_新風をおこす会,立候補者数_日本一愛知の会,立候補者数_日本共産党,立候補者数_日本労働党,立候補者数_日本維新の会,立候補者数_次世代の党,立候補者数_民主党,立候補者数_減税尾張旭,立候補者数_減税日本,立候補者数_減税日本一,立候補者数_減税瀬戸,立候補者数_無所属,立候補者数_無所属の会,立候補者数_生活なごや,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_維新政党・新風,立候補者数_緑の党グリーンズジャパン,立候補者数_自由党,立候補者数_自由民主党,立候補者数_良識の風,当選者数_NHKから国民を守る党,当選者数_とうごうの未来を創る会,当選者数_みんなの党,当選者数_公明党,当選者数_公民,当選者数_国民新党,当選者数_国民民主党,当選者数_女性党,当選者数_女性党（光岡）,当選者数_幸福実現党,当選者数_改革尾張旭,当選者数_新風をおこす会,当選者数_日本一愛知の会,当選者数_日本共産党,当選者数_日本労働党,当選者数_日本維新の会,当選者数_次世代の党,当選者数_民主党,当選者数_減税尾張旭,当選者数_減税日本,当選者数_減税日本一,当選者数_減税瀬戸,当選者数_無所属,当選者数_無所属の会,当選者数_生活なごや,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_維新政党・新風,当選者数_緑の党グリーンズジャパン,当選者数_自由党,当選者数_自由民主党,当選者数_良識の風
名古屋市議会議員選挙（1999年04月11日投票）,名古屋市議会議員選挙,愛知県,名古屋市,19990411.0,1999.0,4.0,11.0,19990402.0,46.02,0.0,106.0,,1654032.0,,,,任期満了,,,,,名古屋市議会議員選挙（1999年04月11日投票）,16.0,106.0,78.0,1.358974358974359,0.0,0.0,0.0,0.16037735849056603,0.16666666666666666,0.6226415094339622,0.3584905660377358,0.018867924528301886,0.7948717948717948,0.20512820512820512,0.0,0.7178167446614367,0.26723919919610106,0.014944056142462149,0.01087601128274904,0.007032610505160554,0.007472028071231074,749328.02,6.0,50.716981132075475,11.004934328094908,25.0,43.25,52.0,58.0,75.0,52.38461538461539,10.137807846324277,29.0,46.25,53.0,59.5,75.0,,,,124302.0,,,,,,,,,,117117.0,,,,179735.2,,,,,112266.82,,,,,,,,27138.0,188769.0,,749328.02,,,,0.16588462820328004,,,,,,,,,,0.15629603708133055,,,,0.23986184314847855,,,,,0.14982333104265874,,,,,,,,0.03621644897250739,0.2519177115517447,,1.0,,,,0.012760356015636926,,,,,,,,,,0.00868311317118503,,,,0.00999424346451994,,,,,0.006810151411029943,,,,,,,,0.0072432897945014785,0.010496571314656028,,,,,13.0,,,,,,,,,,18.0,,,,24.0,,,,,22.0,,,,,,,,5.0,24.0,,,,,13.0,,,,,,,,,,10.0,,,,21.0,,,,,11.0,,,,,,,,1.0,22.0,
名古屋市議会議員選挙（2003年04月13日投票）,名古屋市議会議員選挙,愛知県,名古屋市,20030413.0,2003.0,4.0,13.0,20030404.0,38.18,0.0,107.0,,1690910.0,,,36878.0,任期満了,46.02,,,,名古屋市議会議員選挙（2003年04月13日投票）,16.0,107.0,75.0,1.4266666666666667,0.056074766355140186,0.0625,0.0625,0.205607476635514,0.2,0.6074766355140186,0.3925233644859813,0.0,0.8,0.2,0.0,0.6712760149289135,0.3287239850710865,,0.01137755957506633,0.007826761549311584,,635697.97,6.0,50.1588785046729,10.523804376523369,26.0,42.0,51.0,57.0,75.0,51.93333333333333,10.314175789767315,26.0,44.0,53.0,59.5,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34597.51,,,34597.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,14.0,,,,,,,,,,16.0,,,,24.0,,,,,18.0,,,,,,,,7.0,28.0,,,,,14.0,,,,,,,,,,9.0,,,,21.0,,,,,7.0,,,,,,,,1.0,23.0,
名古屋市議会議員選挙（2007年04月08日投票）,名古屋市議会議員選挙,愛知県,名古屋市,20070408.0,2007.0,4.0,8.0,20070330.0,39.97,,95.0,,1735614.0,,,907928.0,任期満了,39.97,,,,名古屋市議会議員選挙（2007年04月08日投票）,16.0,95.0,72.0,1.3194444444444444,0.10526315789473684,0.125,0.0,0.17894736842105263,0.19444444444444445,0.6736842105263158,0.30526315789473685,0.021052631578947368,0.7916666666666666,0.19444444444444445,0.013888888888888888,0.7613387683502427,0.2252916308076416,0.01336960084211568,0.013126530488797288,0.009011665232305665,0.00668480042105784,663220.997,6.0,,,,,,,,50.916666666666664,11.649690029257334,26.0,42.75,50.5,59.25,74.0,,,,114824.55200000001,,,,,,,,,,77880.305,,,,249148.0,,,,,22902.908,,,6588.0,,,,,,191877.232,,663220.997,,,,0.17313165976257536,,,,,,,,,,0.11742738144944466,,,,0.3756636191058348,,,,,0.03453284516563639,,,0.009933340515152598,,,,,,0.2893111540013562,,1.0,,,,0.01236654712589824,,,,,,,,,,0.007828492096629645,,,,0.013913467374290178,,,,,0.0038369827961818215,,,0.009933340515152598,,,,,,0.009976246689701939,,,,,14.0,,,,,,,,,,15.0,,,,27.0,,,,,9.0,,,1.0,,,,,,29.0,,,,,13.0,,,,,,,,,,7.0,,,,27.0,,,,,1.0,,,1.0,,,,,,23.0,
名古屋市議会議員選挙（2011年03月13日投票）,名古屋市議会議員選挙,愛知県,名古屋市,20110313.0,2011.0,3.0,13.0,20110304.0,43.96,75.0,138.0,1.84,1667763.0,,,840077.0,解散,39.97,,,,名古屋市議会議員選挙（2011年03月13日投票）,16.0,138.0,75.0,1.84,0.0,0.0,0.0,0.2028985507246377,0.17333333333333334,0.391304347826087,0.5942028985507246,0.014492753623188406,0.4666666666666667,0.52,0.013333333333333334,0.4487190439946774,0.5387458125579252,0.012535143447397444,0.008309611925827359,0.0065700708848527465,0.006267571723698722,772548.0,7.0,,,,,,,,,,,,,,,,,19190.0,108283.0,,,,,,,,,,62916.0,,,,140596.0,,266325.0,,,15524.0,,,,,,,,,159714.0,,772548.0,,,0.02483988049933467,0.14016345909898156,,,,,,,,,,0.08143959986952266,,,,0.18198998638272315,,0.34473586107271004,,,0.02009454428721581,,,,,,,,,0.2067366687895121,,1.0,,,0.0031049850624168336,0.011680288258248463,,,,,,,,,,0.0050899749918451665,,,,0.006740369866026784,,0.008408191733480733,,,0.0020094544287215807,,,,,,,,,0.008614027866229671,,,,8.0,12.0,,,,,,,,,,16.0,,,,27.0,,41.0,,,10.0,,,,,,,,,24.0,,,,0.0,12.0,,,,,,,,,,5.0,,,,11.0,,28.0,,,0.0,,,,,,,,,19.0,
名古屋市議会議員選挙（2015年04月12日投票）,名古屋市議会議員選挙,愛知県,名古屋市,20150412.0,2015.0,4.0,12.0,20150403.0,36.57,75.0,136.0,1.8133333333333328,1785709.0,,,117946.0,任期満了,43.96,,,,名古屋市議会議員選挙（2015年04月12日投票）,16.0,136.0,75.0,1.8133333333333332,0.0,0.0,0.0,0.21323529411764705,0.21333333333333335,0.47058823529411764,0.4485294117647059,0.08088235294117647,0.64,0.25333333333333335,0.10666666666666667,0.6262766916358438,0.27866067820843565,0.09506263015572064,0.009785573306810059,0.0045682078394825515,0.008642057286883694,643460.0,11.0,49.654411764705884,11.170719785955255,25.0,41.0,50.5,57.0,78.0,50.45333333333333,10.360557685547413,25.0,44.0,50.0,57.0,78.0,,,,90841.0,,,,,,,,,,78498.0,,,3646.0,140904.0,,83211.0,,,16467.0,2152.0,2827.0,442.0,,36979.0,,,,187493.0,,643460.0,,,,0.14117583066546482,,,,,,,,,,0.12199359711559382,,,0.005666241879837131,0.21897864669132502,,0.1293180617287788,,,0.025591334348677462,0.003344419233518789,0.00439343548938551,0.000686911385323097,,0.05746899574177105,,,,0.29138252572032447,,1.0,,,,0.011764652555455403,,,,,,,,,,0.007176093947976107,,,0.0014165604699592827,0.011525191931122369,,0.007184336762709933,,,0.0015994583967923414,0.0011148064111729296,0.000878687097877102,0.000686911385323097,,0.0038312663827847365,,,,0.01120702022001248,,,,,12.0,,,,,,,,,,17.0,,,4.0,19.0,,18.0,,,16.0,3.0,5.0,1.0,,15.0,,,,26.0,,,,,12.0,,,,,,,,,,12.0,,,0.0,16.0,,12.0,,,0.0,0.0,0.0,0.0,,1.0,,,,22.0,
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市,20190407.0,2019.0,4.0,7.0,20190329.0,32.87,68.0,99.0,1.4558823529411764,1711629.0,,,-74080.0,任期満了,36.57,,,,名古屋市議会議員選挙（2019年04月07日投票）,16.0,99.0,68.0,1.4558823529411764,0.050505050505050504,0.0625,0.0,0.2828282828282828,0.2647058823529412,0.6565656565656566,0.30303030303030304,0.04040404040404041,0.8088235294117647,0.16176470588235295,0.029411764705882353,0.750986738573999,0.21507634035802647,0.03393692106797457,0.012516445642899983,0.007169211345267549,0.008484230266993643,554351.9979999999,8.0,52.75757575757576,11.23225056295074,28.0,44.0,54.0,61.0,81.0,52.838235294117645,10.299357909908819,33.0,44.0,54.0,59.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大口町議会議員補欠選挙（2017年10月22日投票）,大口町議会議員補欠選挙,愛知県,大口町,20171022.0,2017.0,10.0,22.0,20171017.0,,1.0,2.0,2.0,18836.0,,,,任期満了,,,,,大口町議会議員補欠選挙（2017年10月22日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,,0.7816572651235169,0.21834273487648317,,0.7816572651235169,0.21834273487648317,10282.0,0.0,52.0,10.0,42.0,47.0,52.0,57.0,62.0,42.0,0.0,42.0,42.0,42.0,42.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大口町議会議員選挙（2003年04月27日投票）,大口町議会議員選挙,愛知県,大口町,20030427.0,2003.0,4.0,27.0,20030422.0,70.38,18.0,23.0,1.2777777777777777,16213.0,,,,任期満了,,,,,大口町議会議員選挙（2003年04月27日投票）,1.0,23.0,18.0,1.2777777777777777,0.0,0.0,0.0,0.13043478260869565,0.05555555555555555,0.5652173913043478,0.43478260869565216,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6181460975174138,0.3818539024825862,,0.04754969980903183,0.03818539024825862,,11253.989999999998,3.0,59.30434782608695,9.261583969178677,41.0,52.5,61.0,66.5,73.0,61.05555555555556,9.168013369089428,41.0,55.0,63.5,67.75,73.0,,,,914.0,,,,,,,,,,1111.96,,,,,,,,,9228.029999999999,,,,,,,,,,,11253.989999999998,,,,0.08121563996413718,,,,,,,,,,0.09880584574892996,,,,,,,,,0.8199785142869329,,,,,,,,,,,1.0,,,,0.08121563996413718,,,,,,,,,,0.03293528191630999,,,,,,,,,0.04315676390983857,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,19.0,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,15.0,,,,,,,,,,
大口町議会議員選挙（2007年04月22日投票）,大口町議会議員選挙,愛知県,大口町,20070422.0,2007.0,4.0,22.0,20070417.0,71.08,15.0,18.0,1.2,16581.0,,,368.0,任期満了,70.38,,,,大口町議会議員選挙（2007年04月22日投票）,1.0,18.0,15.0,1.2,0.0,0.0,0.0,0.05555555555555555,0.06666666666666667,0.6111111111111112,0.3888888888888889,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6618838954541534,0.3381161045458467,,0.06017126322310485,0.04830230064940667,,11593.0,3.0,61.111111111111114,7.992280225935308,45.0,56.5,62.5,65.75,75.0,60.4,8.561931246317426,45.0,54.5,62.0,65.5,75.0,,,,1000.0,,,,,,,,,,1383.08,,,,,,,,,9209.92,,,,,,,,,,,11593.0,,,,0.08625894936599672,,,,,,,,,,0.11930302768912274,,,,,,,,,0.7944380229448805,,,,,,,,,,,1.0,,,,0.08625894936599672,,,,,,,,,,0.05965151384456137,,,,,,,,,0.05296253486299204,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,15.0,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,12.0,,,,,,,,,,
大口町議会議員選挙（2011年04月24日投票）,大口町議会議員選挙,愛知県,大口町,20110424.0,2011.0,4.0,24.0,20110419.0,63.22,15.0,17.0,1.1333333333333333,17049.0,,,468.0,任期満了,71.08,,,,大口町議会議員選挙（2011年04月24日投票）,1.0,17.0,15.0,1.1333333333333333,0.0,0.0,0.0,0.11764705882352941,0.06666666666666667,0.5882352941176471,0.4117647058823529,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6982116342449018,0.3017883657550982,,0.06982116342449018,0.043112623679299744,,10641.0,3.0,62.0,6.315247654777798,49.0,57.0,64.0,66.0,70.0,62.2,6.263119563497624,49.0,58.5,64.0,66.0,70.0,,,,1059.0,,,,,,,,,,860.0,,,,,,,,,8722.0,,,,,,,,,,,10641.0,,,,0.09952072173667888,,,,,,,,,,0.08081947185414905,,,,,,,,,0.819659806409172,,,,,,,,,,,1.0,,,,0.09952072173667888,,,,,,,,,,0.040409735927074523,,,,,,,,,0.058547129029226576,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,14.0,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,12.0,,,,,,,,,,
大口町議会議員選挙（2015年04月26日投票）,大口町議会議員選挙,愛知県,大口町,20150426.0,2015.0,4.0,26.0,20150421.0,56.96,15.0,16.0,1.0666666666666669,,,,,任期満了,63.22,,,,大口町議会議員選挙（2015年04月26日投票）,1.0,16.0,15.0,1.0666666666666667,0.0,0.0,0.0,0.0625,0.06666666666666667,0.6875,0.3125,0.0,0.7333333333333333,0.26666666666666666,0.0,0.7481384584423425,0.2518615415576575,,0.06801258713112204,0.0503723083115315,,9938.0,3.0,65.4375,5.841326369070641,53.0,61.75,67.5,70.0,73.0,65.06666666666666,5.847696602556904,53.0,61.5,67.0,70.0,73.0,,,,985.0,,,,,,,,,,1027.0,,,,,,,,,7926.0,,,,,,,,,,,9938.0,,,,0.09911450996176294,,,,,,,,,,0.10334071241698531,,,,,,,,,0.7975447776212518,,,,,,,,,,,1.0,,,,0.09911450996176294,,,,,,,,,,0.051670356208492654,,,,,,,,,0.06134959827855783,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,13.0,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,12.0,,,,,,,,,,
大口町議会議員選挙（2019年04月21日投票）,大口町議会議員選挙,愛知県,大口町,20190421.0,2019.0,4.0,21.0,20190416.0,,15.0,16.0,1.0666666666666669,,,,,任期満了,56.96,,,,大口町議会議員選挙（2019年04月21日投票）,1.0,16.0,15.0,1.0666666666666667,0.0,0.0,0.0,0.0625,0.06666666666666667,0.75,0.1875,0.0625,0.8,0.13333333333333333,0.06666666666666667,0.7604112864176131,0.2038046482061335,0.03578406537625351,0.06336760720146777,0.06793488273537783,0.03578406537625351,9724.999,3.0,64.875,10.246188315661586,43.0,58.5,68.0,73.25,77.0,66.2,9.159330397650985,43.0,60.5,70.0,73.5,77.0,,,,1040.0,,,,,,,,,,869.0,,,,,,,,,7815.999000000001,,,,,,,,,,,9724.999,,,,0.10694088503248175,,,,,,,,,,0.08935733566656408,,,,,,,,,0.8037017793009542,,,,,,,,,,,1.0,,,,0.10694088503248175,,,,,,,,,,0.04467866783328204,,,,,,,,,0.06182321379238109,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,13.0,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,12.0,,,,,,,,,,
大府市議会議員選挙（2007年04月22日投票）,大府市議会議員選挙,愛知県,大府市,20070422.0,2007.0,4.0,22.0,20070415.0,55.16,21.0,23.0,1.0952380952380951,63275.0,,,,任期満了,,,,,大府市議会議員選挙（2007年04月22日投票）,1.0,23.0,21.0,1.0952380952380953,0.0,0.0,0.0,0.13043478260869565,0.14285714285714285,0.6956521739130435,0.30434782608695654,0.0,0.7142857142857143,0.2857142857142857,0.0,0.7359252054237682,0.26407479457623184,,0.04599532533898551,0.03772497065374741,,34441.0,5.0,55.30434782608695,9.238081781920519,38.0,48.0,57.0,63.0,70.0,55.95238095238095,9.3119288088231,38.0,48.0,58.0,63.0,70.0,,,,3643.0,,,,,,,,,,3987.0,,,,1923.0,,,,,23633.0,,,1255.0,,,,,,,,34441.0,,,,0.1057750936383961,,,,,,,,,,0.11576318922214802,,,,0.05583461571963648,,,,,0.6861879736360733,,,0.03643912778374612,,,,,,,,1.0,,,,0.05288754681919805,,,,,,,,,,0.03858772974071601,,,,0.05583461571963648,,,,,0.04288674835225458,,,0.03643912778374612,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,1.0,,,,,16.0,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,1.0,,,,,15.0,,,1.0,,,,,,,
大府市議会議員選挙（2011年04月24日投票）,大府市議会議員選挙,愛知県,大府市,20110424.0,2011.0,4.0,24.0,20110417.0,51.25,21.0,22.0,1.0476190476190477,65069.0,,,1794.0,任期満了,55.16,,,,大府市議会議員選挙（2011年04月24日投票）,1.0,22.0,21.0,1.0476190476190477,0.0,0.0,0.0,0.13636363636363635,0.14285714285714285,0.7727272727272727,0.18181818181818182,0.045454545454545456,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.8159934348500045,0.15494969757758123,0.029056867572414213,0.047999613814706146,0.03873742439439531,0.029056867572414213,32901.0,5.0,,,,,,,,,,,,,,,,,,3493.0,,,,,,,,,,3471.0,,,,1439.0,,,,,23483.0,,,1015.0,,,,,,,,32901.0,,,,0.10616698580590256,,,,,,,,,,0.10549831312118173,,,,0.0437372724233306,,,,,0.7137473025136014,,,0.03085012613598371,,,,,,,,1.0,,,,0.05308349290295128,,,,,,,,,,0.03516610437372724,,,,0.0437372724233306,,,,,0.047583153500906764,,,0.03085012613598371,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,1.0,,,,,15.0,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,1.0,,,,,14.0,,,1.0,,,,,,,
大府市議会議員選挙（2015年04月26日投票）,大府市議会議員選挙,愛知県,大府市,20150426.0,2015.0,4.0,26.0,20150419.0,48.53,19.0,23.0,1.2105263157894737,67555.0,,,2486.0,任期満了,51.25,,,,大府市議会議員選挙（2015年04月26日投票）,1.0,23.0,19.0,1.2105263157894737,0.0,0.0,0.0,0.21739130434782608,0.2631578947368421,0.6521739130434783,0.34782608695652173,0.0,0.7368421052631579,0.2631578947368421,0.0,0.7010572564118487,0.29894274358815126,,0.04673715042745658,0.03736784294851891,,32206.0,5.0,52.91304347826087,9.779806361905663,34.0,46.0,54.0,59.0,71.0,54.473684210526315,8.833956144527486,37.0,47.0,55.0,59.5,71.0,,,,3038.0,,,,,,410.0,,,,3176.0,,,,2322.0,,,,,23260.0,,,,,,,,,,,32206.0,,,,0.09433024902192139,,,,,,0.012730547103024282,,,,0.09861516487611004,,,,0.07209836676395702,,,,,0.7222256722349872,,,,,,,,,,,1.0,,,,0.04716512451096069,,,,,,0.012730547103024282,,,,0.03287172162537001,,,,0.07209836676395702,,,,,0.0451391045146867,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,3.0,,,,1.0,,,,,16.0,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,2.0,,,,1.0,,,,,14.0,,,,,,,,,,
大府市議会議員選挙（2019年04月21日投票）,大府市議会議員選挙,愛知県,大府市,20190421.0,2019.0,4.0,21.0,20190414.0,45.34,19.0,22.0,1.1578947368421053,71464.0,,,3909.0,任期満了,48.53,,,,大府市議会議員選挙（2019年04月21日投票）,1.0,22.0,19.0,1.1578947368421053,0.0,0.0,0.0,0.4090909090909091,0.42105263157894735,0.5909090909090909,0.4090909090909091,0.0,0.6842105263157895,0.3157894736842105,0.0,0.6396285224695248,0.3603714775304752,,0.049202194036117294,0.04004127528116391,,31776.996000000003,5.0,54.68181818181818,7.671590824928292,41.0,50.0,56.0,60.0,68.0,53.63157894736842,7.740600590840817,41.0,49.0,53.0,59.0,68.0,,,,3041.0,,,1446.0,,,496.0,,,,2475.287,,,,,,,,,24318.709000000003,,,,,,,,,,,31776.996000000003,,,,0.09569815850434697,,,0.04550461598069244,,,0.015608775606101973,,,,0.07789556319294623,,,,,,,,,0.7652928867159123,,,,,,,,,,,1.0,,,,0.047849079252173486,,,0.04550461598069244,,,0.015608775606101973,,,,0.038947781596473115,,,,,,,,,0.04783080541974452,,,,,,,,,,,,,,2.0,,,1.0,,,1.0,,,,2.0,,,,,,,,,16.0,,,,,,,,,,,,,,2.0,,,1.0,,,0.0,,,,1.0,,,,,,,,,15.0,,,,,,,,,,
大治町議会議員補欠選挙（2006年06月11日投票）,大治町議会議員補欠選挙,愛知県,大治町,20060611.0,2006.0,6.0,11.0,20060606.0,無投票,2.0,2.0,1.0,21858.0,,,,その他,,,,,大治町議会議員補欠選挙（2006年06月11日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,2.0,46.5,10.5,36.0,41.25,46.5,51.75,57.0,46.5,10.5,36.0,41.25,46.5,51.75,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
大治町議会議員補欠選挙（2010年05月30日投票）,大治町議会議員補欠選挙,愛知県,大治町,20100530.0,2010.0,5.0,30.0,20100525.0,無投票,1.0,1.0,1.0,,,,,任期満了,,,,,大治町議会議員補欠選挙（2010年05月30日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,1.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
大治町議会議員補欠選挙（2013年08月04日投票）,大治町議会議員補欠選挙,愛知県,大治町,20130804.0,2013.0,8.0,4.0,20130730.0,43.55,2.0,5.0,2.5,23145.0,,,,その他,,,,,大治町議会議員補欠選挙（2013年08月04日投票）,1.0,5.0,2.0,2.5,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.2,0.0,1.0,0.0,,0.8596358118361154,0.14036418816388468,,0.21490895295902884,0.14036418816388468,9226.0,2.0,57.8,7.626270385975047,43.0,59.0,60.0,63.0,64.0,53.0,10.0,43.0,48.0,53.0,58.0,63.0,,,,,,,,,,,,,,1546.0,,,,,,,,,7680.0,,,,,,,,,,,9226.0,,,,,,,,,,,,,,0.1675699111207457,,,,,,,,,0.8324300888792543,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.1675699111207457,,,,,,,,,0.20810752221981357,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,
