,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_　,得票数_あたりまえの会,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_民進党,得票数_無所属,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_　,得票率_あたりまえの会,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_民進党,得票率_無所属,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_　,一人あたり得票率_あたりまえの会,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_　,立候補者数_あたりまえの会,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_維新の党,立候補者数_自由民主党,当選者数_　,当選者数_あたりまえの会,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_維新の党,当選者数_自由民主党
大津市議会議員選挙（2015年04月26日投票）,大津市議会議員選挙,滋賀県,大津市,20150426.0,2015.0,4.0,26.0,20150419.0,45.7,38.0,50.0,1.3157894736842106,,,,,任期満了,46.23,,,,大津市議会議員選挙（2015年04月26日投票）,1.0,50.0,38.0,1.3157894736842106,0.0,0.0,0.0,0.12,0.10526315789473684,0.6,0.4,0.0,0.7631578947368421,0.23684210526315788,0.0,0.6539186458266395,0.34608135417336056,,0.021797288194221318,0.017304067708668026,,121535.98999999999,6.0,53.24,10.512012176553071,31.0,46.0,55.0,60.0,71.0,54.10526315789474,10.379102166028295,33.0,47.0,56.5,62.5,71.0,,,,13364.98,,,15102.02,,8088.0,,62805.61,4801.0,17374.38,121535.99,,,,0.10996726154943896,,,0.12425965345738328,,0.06654818872993917,,0.5167655276432931,0.03950270203912438,0.14295666658082104,1.0,,,,0.021993452309887793,,,0.020709942242897215,,0.022182729576646392,,0.017819500953217004,0.03950270203912438,0.023826111096803507,,,,5.0,,,6.0,,3.0,,29.0,1.0,6.0,,,,5.0,,,5.0,,3.0,,18.0,1.0,6.0
大津市議会議員選挙（2019年04月21日投票）,大津市議会議員選挙,滋賀県,大津市,20190421.0,2019.0,4.0,21.0,20190414.0,42.17,38.0,49.0,1.2894736842105263,278012.0,,,,任期満了,45.7,,,,大津市議会議員選挙（2019年04月21日投票）,1.0,49.0,38.0,1.2894736842105263,0.0,0.0,0.0,,0.21052631578947367,,,,,,,,,,,,,115654.998,6.0,,,,,,,,57.5,9.68653433217583,35.0,51.75,59.0,63.0,75.0,,,,12478.339,,658.0,14199.0,4774.66,,,66110.11600000001,,17434.883,115654.998,,,,0.10789277779417712,,0.00568933475750006,0.12277031036739113,0.04128364603836662,,,0.5716148644090592,,0.15074906663350598,1.0,,,,0.021578555558835425,,0.00568933475750006,0.020461718394565186,0.04128364603836662,,,0.019053828813635307,,0.025124844438917663,,,,5.0,,1.0,6.0,1.0,,,30.0,,6.0,,,,5.0,,0.0,6.0,1.0,,,20.0,,6.0
守山市議会議員補欠選挙（2015年02月01日投票）,守山市議会議員補欠選挙,滋賀県,守山市,20150201.0,2015.0,2.0,1.0,20150125.0,無投票,1.0,1.0,1.0,,,,,その他,,,,,守山市議会議員補欠選挙（2015年02月01日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,41.0,0.0,41.0,41.0,41.0,41.0,41.0,41.0,0.0,41.0,41.0,41.0,41.0,41.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,
守山市議会議員補欠選挙（2019年01月27日投票）,守山市議会議員補欠選挙,滋賀県,守山市,20190127.0,2019.0,1.0,27.0,20190120.0,22.67,1.0,3.0,3.0,,,,,死亡/永尾健治氏の死去による,,,,,守山市議会議員補欠選挙（2019年01月27日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,14308.0,2.0,56.333333333333336,4.642796092394707,50.0,54.0,58.0,59.5,61.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,,,,,,,4804.0,,,,9504.0,,,14308.0,,,,,,,0.3357562202963377,,,,0.6642437797036623,,,1.0,,,,,,,0.3357562202963377,,,,0.33212188985183116,,,,,,,,,1.0,,,,2.0,,,,,,,,,0.0,,,,1.0,,
守山市議会議員選挙（2007年10月07日投票）,守山市議会議員選挙,滋賀県,守山市,20071007.0,2007.0,10.0,7.0,20070930.0,58.03,22.0,26.0,1.181818181818182,56677.0,,,,任期満了,,,,,守山市議会議員選挙（2007年10月07日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.23076923076923078,0.22727272727272727,0.6153846153846154,0.34615384615384615,0.038461538461538464,0.7272727272727273,0.22727272727272727,0.045454545454545456,0.633253559155621,0.32412862052037306,0.04261782032400589,0.03957834744722631,0.03601429116893034,0.04261782032400589,32592.0,5.0,57.84615384615385,8.951546096334024,34.0,53.5,57.5,63.0,81.0,57.04545454545455,8.281838139882149,34.0,53.5,57.5,63.0,70.0,,,,2795.0,,,2605.0,,3225.0,,22643.0,,1324.0,32592.0,,,,0.0857572410407462,,,0.07992758959253804,,0.09895066273932253,,0.6947410407461954,,0.04062346588119784,1.0,,,,0.0428786205203731,,,0.03996379479626902,,0.049475331369661264,,0.03656531793401028,,0.04062346588119784,,,,2.0,,,2.0,,2.0,,19.0,,1.0,,,,2.0,,,1.0,,2.0,,16.0,,1.0
守山市議会議員選挙（2011年10月02日投票）,守山市議会議員選挙,滋賀県,守山市,20111002.0,2011.0,10.0,2.0,20110925.0,53.07,22.0,24.0,1.0909090909090908,59365.0,,,2688.0,任期満了,58.03,,,,守山市議会議員選挙（2011年10月02日投票）,1.0,24.0,22.0,1.0909090909090908,0.0,0.0,0.0,0.20833333333333334,0.22727272727272727,0.5833333333333334,0.375,0.041666666666666664,0.5909090909090909,0.36363636363636365,0.045454545454545456,0.574939063502245,0.3786209108402822,0.04644002565747274,0.04106707596444607,0.04206899009336469,0.04644002565747274,31180.0,4.0,,,,,,,,,,,,,,,,,,2582.0,,,2813.0,,,,24268.0,,1517.0,31180.0,,,,0.08280949326491341,,,0.09021808851828095,,,,0.7783194355355998,,0.0486529826812059,1.0,,,,0.041404746632456704,,,0.045109044259140474,,,,0.04096418081766315,,0.0486529826812059,,,,2.0,,,2.0,,,,19.0,,1.0,,,,2.0,,,2.0,,,,17.0,,1.0
守山市議会議員選挙（2015年10月04日投票）,守山市議会議員選挙,滋賀県,守山市,20151004.0,2015.0,10.0,4.0,20150927.0,55.55,22.0,27.0,1.2272727272727273,,,,,任期満了,53.07,,,,守山市議会議員選挙（2015年10月04日投票）,1.0,27.0,22.0,1.2272727272727273,0.0,0.0,0.0,0.18518518518518517,0.18181818181818182,0.5555555555555556,0.4444444444444444,0.0,0.5909090909090909,0.4090909090909091,0.0,0.5529353426452631,0.4470646573547369,,0.03686235617635088,0.03725538811289474,,33577.0,4.0,58.55555555555556,9.109755996786504,39.0,53.5,60.0,65.0,74.0,57.81818181818182,9.693654736411872,39.0,51.5,59.5,64.75,74.0,,,,2564.0,,,3479.0,,,,25726.0,,1808.0,33577.0,,,,0.07636179527652857,,,0.10361259195282485,,,,0.7661792298299431,,0.05384638294070346,1.0,,,,0.03818089763826429,,,0.03453753065094162,,,,0.036484725229997295,,0.05384638294070346,,,,2.0,,,3.0,,,,21.0,,1.0,,,,2.0,,,1.0,,,,18.0,,1.0
守山市議会議員選挙（2019年10月06日投票）,守山市議会議員選挙,滋賀県,守山市,20191006.0,2019.0,10.0,6.0,20190929.0,45.94,20.0,23.0,1.15,,,,,任期満了,55.55,,,,守山市議会議員選挙（2019年10月06日投票）,1.0,23.0,20.0,1.15,0.0,0.0,0.0,0.13043478260869565,0.15,0.6956521739130435,0.2608695652173913,0.043478260869565216,0.8,0.15,0.05,0.6894584008643976,0.24729875742841706,0.0632428417071853,0.04309115005402485,0.041216459571402846,0.0632428417071853,29616.0,4.0,57.608695652173914,11.7574735915161,33.0,50.5,59.0,66.5,78.0,56.5,12.031209415515965,33.0,49.0,57.5,65.25,78.0,,,,1860.0,,,3838.0,,,,20679.0,,3239.0,29616.0,,,,0.06280388978930308,,,0.12959211237169097,,,,0.6982374392220422,,0.1093665586169638,1.0,,,,0.06280388978930308,,,0.043197370790563655,,,,0.04107279054247307,,0.0546832793084819,,,,1.0,,,3.0,,,,17.0,,2.0,,,,1.0,,,2.0,,,,15.0,,2.0
彦根市議会議員選挙（2007年04月22日投票）,彦根市議会議員選挙,滋賀県,彦根市,20070422.0,2007.0,4.0,22.0,20070415.0,52.21,28.0,29.0,1.0357142857142858,84606.0,,,,任期満了,,,,,彦根市議会議員選挙（2007年04月22日投票）,1.0,29.0,28.0,1.0357142857142858,0.0,0.0,0.0,0.20689655172413793,0.21428571428571427,0.7586206896551724,0.20689655172413793,0.034482758620689655,0.7857142857142857,0.17857142857142858,0.03571428571428571,0.7967565715851738,0.16693128097380502,0.036312147441021306,0.03621620779932608,0.027821880162300836,0.036312147441021306,43787.0,3.0,59.48275862068966,9.64408230079434,34.0,57.0,62.0,67.0,76.0,60.07142857142857,9.288735772154249,34.0,57.0,62.0,67.0,76.0,,,,4134.0,,,4527.58,,,,35125.42,,,43787.0,,,,0.0944115833466554,,,0.10340009591888003,,,,0.8021883207344646,,,1.0,,,,0.0472057916733277,,,0.034466698639626675,,,,0.03342451336393602,,,,,,2.0,,,3.0,,,,24.0,,,,,,2.0,,,3.0,,,,23.0,,
彦根市議会議員選挙（2011年04月24日投票）,彦根市議会議員選挙,滋賀県,彦根市,20110424.0,2011.0,4.0,24.0,20110417.0,45.65,24.0,25.0,1.0416666666666667,86074.0,,,1468.0,任期満了,52.21,,,,彦根市議会議員選挙（2011年04月24日投票）,1.0,25.0,24.0,1.0416666666666667,0.0,0.0,0.0,0.24,0.25,0.72,0.24,0.04,0.7083333333333334,0.25,0.041666666666666664,0.6739896586319554,0.2701875337637949,0.055822807604249736,0.03744386992399752,0.04503125562729915,0.055822807604249736,38873.0,4.0,59.04,12.216316957250251,27.0,52.0,62.0,67.0,80.0,58.458333333333336,12.124284056755222,27.0,50.75,61.5,67.0,80.0,,,,4322.0,,,3165.0,,4944.0,,26442.0,,,38873.0,,,,0.11118256887814164,,,0.08141897975458544,,0.12718339207161783,,0.6802150592956551,,,1.0,,,,0.05559128443907082,,,0.04070948987729272,,0.04239446402387261,,0.03778972551642528,,,,,,2.0,,,2.0,,3.0,,18.0,,,,,,2.0,,,2.0,,3.0,,17.0,,
彦根市議会議員選挙（2015年04月26日投票）,彦根市議会議員選挙,滋賀県,彦根市,20150426.0,2015.0,4.0,26.0,20150419.0,50.05,24.0,32.0,1.3333333333333333,87532.0,,,1458.0,任期満了,45.65,,,,彦根市議会議員選挙（2015年04月26日投票）,1.0,32.0,24.0,1.3333333333333333,0.0,0.0,0.0,0.1875,0.16666666666666666,0.5625,0.34375,0.09375,0.625,0.2916666666666667,0.08333333333333333,0.6047021364957778,0.3095727008444465,0.08572516265977574,0.03359456313865432,0.02814297280404059,0.028575054219925247,43342.0,5.0,58.125,11.013486051201046,31.0,49.75,57.0,68.0,77.0,56.291666666666664,11.062244975089317,31.0,47.75,56.0,65.0,77.0,,,,3868.0,,,3370.0,,2206.0,,32077.0,,1821.0,43342.0,,,,0.08924368972359374,,,0.07775368003322412,,0.05089751280513128,,0.7400904434497716,,0.042014673988279266,1.0,,,,0.04462184486179687,,,0.03887684001661206,,0.02544875640256564,,0.029603617737990865,,0.042014673988279266,,,,2.0,,,2.0,,2.0,,25.0,,1.0,,,,2.0,,,2.0,,2.0,,17.0,,1.0
彦根市議会議員選挙（2019年04月21日投票）,彦根市議会議員選挙,滋賀県,彦根市,20190421.0,2019.0,4.0,21.0,20190414.0,43.39,24.0,26.0,1.0833333333333333,90414.0,,,2882.0,任期満了,50.05,,,,彦根市議会議員選挙（2019年04月21日投票）,1.0,26.0,24.0,1.0833333333333333,0.0,0.0,0.0,0.19230769230769232,0.20833333333333334,,,,,,,,,,,,,38794.998999999996,4.0,54.96153846153846,10.92097758807745,30.0,49.5,56.5,61.0,78.0,54.75,11.184997392340629,30.0,48.25,56.5,61.0,78.0,,,,3730.0,,,2919.0,,,,30288.999,,1857.0,38794.998999999996,,,,0.09614641309824497,,,0.07524165679189733,,,,0.7807449357067905,,0.04786699440306726,1.0,,,,0.048073206549122484,,,0.037620828395948665,,,,0.03717833027175193,,0.04786699440306726,,,,2.0,,,2.0,,,,21.0,,1.0,,,,2.0,,,2.0,,,,19.0,,1.0
愛荘町議会議員選挙（2006年03月05日投票）,愛荘町議会議員選挙,滋賀県,愛荘町,20060305.0,2006.0,3.0,5.0,20060228.0,76.7,16.0,21.0,1.3125,14464.0,,,,その他,,,,,愛荘町議会議員選挙（2006年03月05日投票）,1.0,21.0,16.0,1.3125,0.0,0.0,0.0,0.19047619047619047,0.1875,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.047619047619047616,,10973.990000000002,2.0,60.904761904761905,7.6339140675625705,39.0,57.0,63.0,65.0,70.0,60.75,8.302860952707807,39.0,56.5,63.0,66.0,70.0,,,,,,,1384.0,,,,9589.99,,,10973.99,,,,,,,0.12611638975431907,,,,0.873883610245681,,,1.0,,,,,,,0.06305819487715954,,,,0.04599387422345689,,,,,,,,,2.0,,,,19.0,,,,,,,,,2.0,,,,14.0,,
愛荘町議会議員選挙（2010年02月21日投票）,愛荘町議会議員選挙,滋賀県,愛荘町,20100221.0,2010.0,2.0,21.0,20100216.0,63.68,16.0,17.0,1.0625,15122.0,,,658.0,任期満了,76.7,,,,愛荘町議会議員選挙（2010年02月21日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.29411764705882354,0.25,0.5294117647058824,0.47058823529411764,0.0,0.5625,0.4375,0.0,0.5382185723310171,0.46178142766898295,,0.05980206359233523,0.05772267845862287,,9498.0,3.0,60.76470588235294,7.855529425860082,43.0,61.0,62.0,66.0,73.0,60.375,7.936269589674988,43.0,60.25,61.5,64.5,73.0,,,,,,,1182.0,,485.0,,7831.0,,,9498.0,,,,,,,0.1244472520530638,,0.05106338176458202,,0.8244893661823541,,,1.0,,,,,,,0.0622236260265319,,0.05106338176458202,,0.058892097584453865,,,,,,,,,2.0,,1.0,,14.0,,,,,,,,,2.0,,1.0,,13.0,,
