,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから自国民を守る党,得票数_あたらしい党,得票数_たちあがれ日本,得票数_たんぽぽ党,得票数_公明党,得票数_国民民主党,得票数_市民の党「自由と責任」,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_権力者から住民を守る党,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_減税日本,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_NHKから自国民を守る党,得票率_あたらしい党,得票率_たちあがれ日本,得票率_たんぽぽ党,得票率_公明党,得票率_国民民主党,得票率_市民の党「自由と責任」,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_権力者から住民を守る党,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_減税日本,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから自国民を守る党,一人あたり得票率_あたらしい党,一人あたり得票率_たちあがれ日本,一人あたり得票率_たんぽぽ党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_市民の党「自由と責任」,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_権力者から住民を守る党,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_NHKから自国民を守る党,立候補者数_あたらしい党,立候補者数_たちあがれ日本,立候補者数_たんぽぽ党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_市民の党「自由と責任」,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_権力者から住民を守る党,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_減税日本,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_NHKから自国民を守る党,当選者数_あたらしい党,当選者数_たちあがれ日本,当選者数_たんぽぽ党,当選者数_公明党,当選者数_国民民主党,当選者数_市民の党「自由と責任」,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_権力者から住民を守る党,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_減税日本,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
倉敷市議会議員増員選挙（2005年09月04日投票）,倉敷市議会議員増員選挙,岡山県,倉敷市,20050904.0,2005.0,9.0,4.0,20050828.0,,0.0,12.0,,24871.0,,,,その他,,,,,倉敷市議会議員増員選挙（2005年09月04日投票）,2.0,12.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.08333333333333333,,16737.0,3.0,57.5,4.663689526544408,50.0,55.5,57.5,59.25,66.0,55.333333333333336,3.7712361663282534,50.0,54.0,58.0,58.0,58.0,,,,,,,,,2662.0,,,,698.0,,,13377.0,,,,16737.0,,,,,,,,,0.1590488140048993,,,,0.04170400908167533,,,0.7992471769134254,,,,1.0,,,,,,,,,0.07952440700244966,,,,0.04170400908167533,,,0.08880524187926948,,,,,,,,,,,,2.0,,,,1.0,,,9.0,,,,,,,,,,,,1.0,,,,0.0,,,2.0,,,
倉敷市議会議員補欠選挙（2008年04月27日投票）,倉敷市議会議員補欠選挙,岡山県,倉敷市,20080427.0,2008.0,4.0,27.0,20080420.0,46.32,1.0,3.0,3.0,348640.0,,,,その他,,,,,倉敷市議会議員補欠選挙（2008年04月27日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,149136.0,2.0,35.333333333333336,3.299831645537222,33.0,33.0,33.0,36.5,40.0,33.0,0.0,33.0,33.0,33.0,33.0,33.0,,,,,,,,,,,,,83089.0,,,66047.0,,,,149136.0,,,,,,,,,,,,,0.5571357686943461,,,0.4428642313056539,,,,1.0,,,,,,,,,,,,,0.5571357686943461,,,0.22143211565282694,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,0.0,,,
倉敷市議会議員補欠選挙（2012年04月22日投票）,倉敷市議会議員補欠選挙,岡山県,倉敷市,20120422.0,2012.0,4.0,22.0,20120415.0,33.68,1.0,3.0,3.0,377023.0,,,28383.0,任期満了,46.32,,,,倉敷市議会議員補欠選挙（2012年04月22日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,112624.0,2.0,40.666666666666664,12.364824660660938,30.0,32.0,34.0,46.0,58.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,21665.0,,,,,,,90959.0,,,,112624.0,,,,,,,,,0.19236574797556472,,,,,,,0.8076342520244353,,,,1.0,,,,,,,,,0.19236574797556472,,,,,,,0.40381712601221764,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,1.0,,,
倉敷市議会議員補欠選挙（2020年04月26日投票）,倉敷市議会議員補欠選挙,岡山県,倉敷市,20200426.0,2020.0,4.0,26.0,20200419.0,25.63,3.0,8.0,2.6666666666666665,390619.0,,,13596.0,その他,33.68,,,,倉敷市議会議員補欠選挙（2020年04月26日投票）,1.0,8.0,3.0,2.6666666666666665,0.0,0.0,0.0,0.125,0.3333333333333333,0.0,0.875,0.125,0.0,0.6666666666666666,0.3333333333333333,,0.8301379458384645,0.1698620541615356,,0.11859113511978063,0.1698620541615356,88513.0,2.0,50.25,8.714212528966687,35.0,45.0,50.5,56.5,62.0,56.333333333333336,7.3181661333667165,46.0,53.5,61.0,61.5,62.0,,,,,,,,,13548.0,,,,,,,74965.0,,,,88513.0,,,,,,,,,0.1530622620406042,,,,,,,0.8469377379593958,,,,1.0,,,,,,,,,0.1530622620406042,,,,,,,0.12099110542277082,,,,,,,,,,,,1.0,,,,,,,7.0,,,,,,,,,,,,1.0,,,,,,,2.0,,,
倉敷市議会議員選挙（2009年01月25日投票）,倉敷市議会議員選挙,岡山県,倉敷市,20090125.0,2009.0,1.0,25.0,20090118.0,53.43,43.0,53.0,1.2325581395348837,376612.0,,,,任期満了,,,,,倉敷市議会議員選挙（2009年01月25日投票）,1.0,53.0,43.0,1.2325581395348837,0.0,0.0,0.0,0.09433962264150944,0.09302325581395349,0.6981132075471698,0.3018867924528302,0.0,0.813953488372093,0.18604651162790697,0.0,0.7596471372505776,0.2403528627494223,,0.02053100370947507,0.015022053921838894,,199510.99999999997,4.0,52.660377358490564,10.778986188590602,31.0,45.0,53.0,62.0,70.0,53.395348837209305,9.963046920901258,32.0,46.5,55.0,62.0,70.0,,,,,30134.0,,,,17149.0,,,,10546.0,,,141681.99999999997,,,,199510.99999999997,,,,,0.151039291066658,,,,0.08595516036709756,,,,0.05285924084386325,,,0.7101463077223812,,,,1.0,,,,,0.021577041580951143,,,,0.017191032073419512,,,,0.026429620421931626,,,0.01820887968518926,,,,,,,,7.0,,,,5.0,,,,2.0,,,39.0,,,,,,,,7.0,,,,4.0,,,,2.0,,,30.0,,,
倉敷市議会議員選挙（2013年01月27日投票）,倉敷市議会議員選挙,岡山県,倉敷市,20130127.0,2013.0,1.0,27.0,20130120.0,45.69,43.0,47.0,1.0930232558139534,379959.0,,,3347.0,任期満了,53.43,,,,倉敷市議会議員選挙（2013年01月27日投票）,1.0,47.0,43.0,1.0930232558139534,0.0,0.0,0.0,0.10638297872340426,0.09302325581395349,0.7021276595744681,0.23404255319148937,0.06382978723404255,0.7674418604651163,0.16279069767441862,0.06976744186046512,0.7385518272289984,0.18653847272388863,0.07490970004711302,0.02238035840087874,0.016958042974898967,0.02496990001570434,171927.0,5.0,52.02127659574468,10.480964227410604,31.0,44.5,53.0,59.0,71.0,52.74418604651163,10.143374566350868,31.0,45.5,53.0,59.5,71.0,,,,,27449.0,,,,13932.0,4926.0,,,6556.0,,,119064.0,,,,171927.0,,,,,0.15965496984185149,,,,0.08103439250379521,0.028651695196217,,,0.03813246319658925,,,0.6925264792615471,,,,1.0,,,,,0.022807852834550214,,,,0.020258598125948803,0.028651695196217,,,0.019066231598294625,,,0.020985650886713548,,,,,,,,7.0,,,,4.0,1.0,,,2.0,,,33.0,,,,,,,,7.0,,,,4.0,1.0,,,2.0,,,29.0,,,
倉敷市議会議員選挙（2017年01月22日投票）,倉敷市議会議員選挙,岡山県,倉敷市,20170122.0,2017.0,1.0,22.0,20170115.0,42.73,43.0,51.0,1.186046511627907,393114.0,,,13155.0,任期満了,45.69,,,,倉敷市議会議員選挙（2017年01月22日投票）,1.0,51.0,43.0,1.186046511627907,0.0,0.0,0.0,0.1568627450980392,0.16279069767441862,0.7450980392156863,0.2549019607843137,0.0,0.8604651162790697,0.13953488372093023,0.0,0.8163128674300069,0.18368713256999317,,0.021481917563947548,0.014129779428461013,,166239.995,5.0,53.98039215686274,10.600573784097508,35.0,45.0,56.0,61.0,75.0,54.53488372093023,10.285118708451757,35.0,46.5,56.0,61.0,75.0,,,,,27176.369,,,,11586.999,5682.0,,,,6895.0,,114899.62700000001,,,,166239.99500000002,,,,,0.1634767193057242,,,,0.0697004291897386,0.03417950054678478,,,,0.041476180265765765,,0.6911671706919865,,,,1.0,,,,,0.023353817043674886,,,,0.01742510729743465,0.01708975027339239,,,,0.020738090132882882,,0.019199088074777403,,,,,,,,7.0,,,,4.0,2.0,,,,2.0,,36.0,,,,,,,,7.0,,,,4.0,1.0,,,,2.0,,29.0,,,
倉敷市議会議員選挙（2021年01月24日投票）,倉敷市議会議員選挙,岡山県,倉敷市,20210124.0,2021.0,1.0,24.0,20210117.0,35.38,43.0,51.0,1.186046511627907,,,,,任期満了,42.73,,,,倉敷市議会議員選挙（2021年01月24日投票）,1.0,51.0,43.0,1.186046511627907,0.0,0.0,0.0,0.1568627450980392,0.18604651162790697,0.7254901960784313,0.27450980392156865,0.0,0.8604651162790697,0.13953488372093023,0.0,0.7967029828307163,0.2032970171692838,,0.02153251304947882,0.014521215512091701,,137715.99500000002,5.0,54.84313725490196,9.062684857386268,32.0,49.0,54.0,62.0,75.0,55.95348837209303,8.095228248134802,39.0,49.0,55.0,62.5,75.0,736.0,,,,23365.663,,,,10354.0,3085.0,,,,,,100175.332,,,,137715.995,0.0053443320073314655,,,,0.16966557152638662,,,,0.07518371413574727,0.022401174242686915,,,,,,0.7274052080878477,,,,1.0,0.0053443320073314655,,,,0.024237938789483802,,,,0.01879592853393682,0.022401174242686915,,,,,,0.019142242318101254,,,,1.0,,,,7.0,,,,4.0,1.0,,,,,,38.0,,,,0.0,,,,7.0,,,,4.0,1.0,,,,,,31.0,,,
備前市議会議員補欠選挙（2009年04月12日投票）,備前市議会議員補欠選挙,岡山県,備前市,20090412.0,2009.0,4.0,12.0,20090405.0,67.64,2.0,4.0,2.0,32627.0,,,,その他,,,,,備前市議会議員補欠選挙（2009年04月12日投票）,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,1.0,,0.18351446578333583,0.8164855342166641,,0.18351446578333583,0.27216184473888805,20151.0,1.0,62.5,3.278719262151,57.0,61.5,64.0,65.0,65.0,60.0,3.0,57.0,58.5,60.0,61.5,63.0,,,,,,,,,,,,,,,,20151.0,,,,20151.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,2.0,,,
備前市議会議員補欠選挙（2021年04月11日投票）,備前市議会議員補欠選挙,岡山県,備前市,20210411.0,2021.0,4.0,11.0,20210404.0,59.95,1.0,3.0,3.0,28627.0,13520.0,15107.0,-4000.0,その他,67.64,,,,備前市議会議員補欠選挙（2021年04月11日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,,0.3263284109554462,0.6736715890445538,,0.3263284109554462,0.3368357945222769,15846.0,1.0,66.0,7.788880963698615,56.0,61.5,67.0,71.0,75.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,,,,15846.0,,,,15846.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,
備前市議会議員選挙（2006年05月21日投票）,備前市議会議員選挙,岡山県,備前市,20060521.0,2006.0,5.0,21.0,20060514.0,79.96,26.0,34.0,1.3076923076923077,33714.0,,,,その他,,,,,備前市議会議員選挙（2006年05月21日投票）,1.0,34.0,26.0,1.3076923076923077,0.0,0.0,0.0,0.11764705882352941,0.07692307692307693,0.8529411764705882,0.08823529411764706,0.058823529411764705,0.8846153846153846,0.07692307692307693,0.038461538461538464,0.8534709445815571,0.09722533841896643,0.04930371699947648,0.029430032571777832,0.032408446139655475,0.02465185849973824,26742.0,3.0,57.94117647058823,6.859691197262403,28.0,55.0,59.5,61.75,69.0,58.80769230769231,4.616185827892236,52.0,55.0,58.5,61.0,69.0,,,,,2047.0,,,,1569.0,,,,,,,23126.0,,,,26742.0,,,,,0.07654625682447087,,,,0.058671752299753195,,,,,,,0.8647819908757759,,,,1.0,,,,,0.03827312841223544,,,,0.029335876149876598,,,,,,,0.028826066362525864,,,,,,,,2.0,,,,2.0,,,,,,,30.0,,,,,,,,2.0,,,,2.0,,,,,,,22.0,,,
