,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_HAGE党,得票数_NHKから国民を守る党,得票数_いちはら市民ネット ワーク,得票数_いちはら市民ネットワーク,得票数_さくら・市民ネットワーク,得票数_たちあがれ日本,得票数_みどりの未来・のだ,得票数_みんなの党,得票数_コロナワクチン拒絶党,得票数_デモクラティア,得票数_ホリエモン新党,得票数_不登校を考える党,得票数_九十九里ネット・ニューウェーヴ,得票数_佐倉市民オンブズマン,得票数_公明党,得票数_公民党,得票数_動物愛護推進党,得票数_千葉の風21,得票数_千葉を元気にする会,得票数_国民主権党,得票数_国民会議,得票数_国民民主党,得票数_地球環境を育てる会,得票数_子供の未来を守る党,得票数_市民オンブズマン,得票数_市民オンブズマン館山行政監視局,得票数_市民ネットワ ーク・かしわ,得票数_市民ネットワーク,得票数_市民ネットワークちば,得票数_市民ネットワーク・かしわ,得票数_市民ネットワーク・のだ,得票数_市民ネットワーク・ふなばし,得票数_市民ネットワーク千葉県,得票数_市民ネットワーク四街道,得票数_希望の党,得票数_幸福実現党,得票数_新社会党,得票数_日本を元気にする会,得票数_日本共産党,得票数_日本維新の会,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_無所属,得票数_環境と行政を考える会,得票数_社,得票数_社会民主党,得票数_社民党,得票数_立憲民主党,得票数_維新の党,得票数_習志野みんなの改革,得票数_自由党,得票数_自由民主党,得票数_茂原市民に５万円支給する党,得票数_虐待から子供を守る党,得票数_諸,得票数_議席を減らします党,得票数_闘う改革の会千葉,得票数_青年自由,得票数_sum_v,得票率_HAGE党,得票率_NHKから国民を守る党,得票率_いちはら市民ネット ワーク,得票率_いちはら市民ネットワーク,得票率_さくら・市民ネットワーク,得票率_たちあがれ日本,得票率_みどりの未来・のだ,得票率_みんなの党,得票率_コロナワクチン拒絶党,得票率_デモクラティア,得票率_ホリエモン新党,得票率_不登校を考える党,得票率_九十九里ネット・ニューウェーヴ,得票率_佐倉市民オンブズマン,得票率_公明党,得票率_公民党,得票率_動物愛護推進党,得票率_千葉の風21,得票率_千葉を元気にする会,得票率_国民主権党,得票率_国民会議,得票率_国民民主党,得票率_地球環境を育てる会,得票率_子供の未来を守る党,得票率_市民オンブズマン,得票率_市民オンブズマン館山行政監視局,得票率_市民ネットワ ーク・かしわ,得票率_市民ネットワーク,得票率_市民ネットワークちば,得票率_市民ネットワーク・かしわ,得票率_市民ネットワーク・のだ,得票率_市民ネットワーク・ふなばし,得票率_市民ネットワーク千葉県,得票率_市民ネットワーク四街道,得票率_希望の党,得票率_幸福実現党,得票率_新社会党,得票率_日本を元気にする会,得票率_日本共産党,得票率_日本維新の会,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_無所属,得票率_環境と行政を考える会,得票率_社,得票率_社会民主党,得票率_社民党,得票率_立憲民主党,得票率_維新の党,得票率_習志野みんなの改革,得票率_自由党,得票率_自由民主党,得票率_茂原市民に５万円支給する党,得票率_虐待から子供を守る党,得票率_諸,得票率_議席を減らします党,得票率_闘う改革の会千葉,得票率_青年自由,得票率_sum_v,一人あたり得票率_HAGE党,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_いちはら市民ネット ワーク,一人あたり得票率_いちはら市民ネットワーク,一人あたり得票率_さくら・市民ネットワーク,一人あたり得票率_たちあがれ日本,一人あたり得票率_みどりの未来・のだ,一人あたり得票率_みんなの党,一人あたり得票率_コロナワクチン拒絶党,一人あたり得票率_デモクラティア,一人あたり得票率_ホリエモン新党,一人あたり得票率_不登校を考える党,一人あたり得票率_九十九里ネット・ニューウェーヴ,一人あたり得票率_佐倉市民オンブズマン,一人あたり得票率_公明党,一人あたり得票率_公民党,一人あたり得票率_動物愛護推進党,一人あたり得票率_千葉の風21,一人あたり得票率_千葉を元気にする会,一人あたり得票率_国民主権党,一人あたり得票率_国民会議,一人あたり得票率_国民民主党,一人あたり得票率_地球環境を育てる会,一人あたり得票率_子供の未来を守る党,一人あたり得票率_市民オンブズマン,一人あたり得票率_市民オンブズマン館山行政監視局,一人あたり得票率_市民ネットワ ーク・かしわ,一人あたり得票率_市民ネットワーク,一人あたり得票率_市民ネットワークちば,一人あたり得票率_市民ネットワーク・かしわ,一人あたり得票率_市民ネットワーク・のだ,一人あたり得票率_市民ネットワーク・ふなばし,一人あたり得票率_市民ネットワーク千葉県,一人あたり得票率_市民ネットワーク四街道,一人あたり得票率_希望の党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本を元気にする会,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_環境と行政を考える会,一人あたり得票率_社,一人あたり得票率_社会民主党,一人あたり得票率_社民党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_習志野みんなの改革,一人あたり得票率_自由党,一人あたり得票率_自由民主党,一人あたり得票率_茂原市民に５万円支給する党,一人あたり得票率_虐待から子供を守る党,一人あたり得票率_諸,一人あたり得票率_議席を減らします党,一人あたり得票率_闘う改革の会千葉,一人あたり得票率_青年自由,立候補者数_HAGE党,立候補者数_NHKから国民を守る党,立候補者数_いちはら市民ネット ワーク,立候補者数_いちはら市民ネットワーク,立候補者数_さくら・市民ネットワーク,立候補者数_たちあがれ日本,立候補者数_みどりの未来・のだ,立候補者数_みんなの党,立候補者数_コロナワクチン拒絶党,立候補者数_デモクラティア,立候補者数_ホリエモン新党,立候補者数_不登校を考える党,立候補者数_九十九里ネット・ニューウェーヴ,立候補者数_佐倉市民オンブズマン,立候補者数_公明党,立候補者数_公民党,立候補者数_動物愛護推進党,立候補者数_千葉の風21,立候補者数_千葉を元気にする会,立候補者数_国民主権党,立候補者数_国民会議,立候補者数_国民民主党,立候補者数_地球環境を育てる会,立候補者数_子供の未来を守る党,立候補者数_市民オンブズマン,立候補者数_市民オンブズマン館山行政監視局,立候補者数_市民ネットワ ーク・かしわ,立候補者数_市民ネットワーク,立候補者数_市民ネットワークちば,立候補者数_市民ネットワーク・かしわ,立候補者数_市民ネットワーク・のだ,立候補者数_市民ネットワーク・ふなばし,立候補者数_市民ネットワーク千葉県,立候補者数_市民ネットワーク四街道,立候補者数_希望の党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本を元気にする会,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_環境と行政を考える会,立候補者数_社,立候補者数_社会民主党,立候補者数_社民党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_習志野みんなの改革,立候補者数_自由党,立候補者数_自由民主党,立候補者数_茂原市民に５万円支給する党,立候補者数_虐待から子供を守る党,立候補者数_諸,立候補者数_議席を減らします党,立候補者数_闘う改革の会千葉,立候補者数_青年自由,当選者数_HAGE党,当選者数_NHKから国民を守る党,当選者数_いちはら市民ネット ワーク,当選者数_いちはら市民ネットワーク,当選者数_さくら・市民ネットワーク,当選者数_たちあがれ日本,当選者数_みどりの未来・のだ,当選者数_みんなの党,当選者数_コロナワクチン拒絶党,当選者数_デモクラティア,当選者数_ホリエモン新党,当選者数_不登校を考える党,当選者数_九十九里ネット・ニューウェーヴ,当選者数_佐倉市民オンブズマン,当選者数_公明党,当選者数_公民党,当選者数_動物愛護推進党,当選者数_千葉の風21,当選者数_千葉を元気にする会,当選者数_国民主権党,当選者数_国民会議,当選者数_国民民主党,当選者数_地球環境を育てる会,当選者数_子供の未来を守る党,当選者数_市民オンブズマン,当選者数_市民オンブズマン館山行政監視局,当選者数_市民ネットワ ーク・かしわ,当選者数_市民ネットワーク,当選者数_市民ネットワークちば,当選者数_市民ネットワーク・かしわ,当選者数_市民ネットワーク・のだ,当選者数_市民ネットワーク・ふなばし,当選者数_市民ネットワーク千葉県,当選者数_市民ネットワーク四街道,当選者数_希望の党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本を元気にする会,当選者数_日本共産党,当選者数_日本維新の会,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_環境と行政を考える会,当選者数_社,当選者数_社会民主党,当選者数_社民党,当選者数_立憲民主党,当選者数_維新の党,当選者数_習志野みんなの改革,当選者数_自由党,当選者数_自由民主党,当選者数_茂原市民に５万円支給する党,当選者数_虐待から子供を守る党,当選者数_諸,当選者数_議席を減らします党,当選者数_闘う改革の会千葉,当選者数_青年自由
大多喜町議会議員選挙（2009年01月18日投票）,大多喜町議会議員選挙,千葉県,大多喜町,20090118.0,2009.0,1.0,18.0,20090113.0,77.27,12.0,13.0,1.0833333333333333,9223.0,,,-373.0,任期満了,79.94,,,,大多喜町議会議員選挙（2009年01月18日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.15384615384615385,0.16666666666666666,0.7692307692307693,0.23076923076923078,0.0,0.8333333333333334,0.16666666666666666,0.0,0.7840295538505258,0.21597044614947428,,0.07840295538505257,0.07199014871649143,,7038.0,3.0,63.46153846153846,4.877189995122264,56.0,59.0,62.0,67.0,73.0,63.833333333333336,4.896143607189461,56.0,60.5,63.0,67.25,73.0,,,,,,,,,,,,,,,756.0,,,,,,,,,,,,,,,,,,,,,,,,674.0,,,,,5608.0,,,,,,,,,,,,,,,,7038.0,,,,,,,,,,,,,,,0.10741687979539642,,,,,,,,,,,,,,,,,,,,,,,,0.09576584256891162,,,,,0.796817277635692,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.10741687979539642,,,,,,,,,,,,,,,,,,,,,,,,0.09576584256891162,,,,,0.07243793433051746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,10.0,,,,,,,,,,,,,,,
大多喜町議会議員選挙（2013年01月20日投票）,大多喜町議会議員選挙,千葉県,大多喜町,20130120.0,2013.0,1.0,20.0,20130115.0,74.4,12.0,13.0,1.0833333333333333,8820.0,,,-403.0,任期満了,77.27,,,,大多喜町議会議員選挙（2013年01月20日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.15384615384615385,0.16666666666666666,0.6153846153846154,0.38461538461538464,0.0,0.5833333333333334,0.4166666666666667,0.0,0.5862018859174525,0.4137981140825476,,0.07327523573968156,0.08275962281650952,,6469.0,3.0,64.3076923076923,5.282549142581352,50.0,63.0,65.0,67.0,72.0,63.666666666666664,4.988876515698588,50.0,62.25,65.0,66.25,70.0,,,,,,,,,,,,,,,710.0,,,,,,,,,,,,,,,,,,,,,,,,413.0,,,,,5346.000000000001,,,,,,,,,,,,,,,,6469.000000000001,,,,,,,,,,,,,,,0.10975421239758848,,,,,,,,,,,,,,,,,,,,,,,,0.06384294326789301,,,,,0.8264028443345185,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.10975421239758848,,,,,,,,,,,,,,,,,,,,,,,,0.06384294326789301,,,,,0.07512753130313804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,10.0,,,,,,,,,,,,,,,
大多喜町議会議員選挙（2017年01月15日投票）,大多喜町議会議員選挙,千葉県,大多喜町,20170115.0,2017.0,1.0,15.0,20170110.0,67.5,12.0,13.0,1.0833333333333333,8391.0,,,-429.0,任期満了,74.4,,,,大多喜町議会議員選挙（2017年01月15日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.23076923076923078,0.16666666666666666,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.75,0.16666666666666666,0.08333333333333333,0.6839534500288533,0.2910652042030679,0.02498134576807875,0.07599482778098371,0.09702173473435598,0.02498134576807875,5676.996,3.0,66.0,5.3923022056375025,54.0,61.0,68.0,70.0,74.0,65.91666666666667,5.6044377257867914,54.0,61.0,68.5,70.0,74.0,,,,,,,,,,,,,,,720.0,,,,,,,,,,,,,,,,,,,,,,,,350.0,,,,,4606.996,,,,,,,,,,,,,,,,5676.996,,,,,,,,,,,,,,,0.12682763912463563,,,,,,,,,,,,,,,,,,,,,,,,0.061652324574475656,,,,,0.8115200363008888,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.12682763912463563,,,,,,,,,,,,,,,,,,,,,,,,0.061652324574475656,,,,,0.07377454875462625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,10.0,,,,,,,,,,,,,,,
大多喜町議会議員選挙（2021年01月17日投票）,大多喜町議会議員選挙,千葉県,大多喜町,20210117.0,2021.0,1.0,17.0,20210112.0,73.85,12.0,18.0,1.5,7686.0,,,-705.0,任期満了/森ひさし氏、山中きしち氏は221票と同票のため、くじ引きが行われた結果、森ひさし氏が当選人となりました。,67.5,,,,大多喜町議会議員選挙（2021年01月17日投票）,1.0,18.0,12.0,1.5,0.0,0.0,0.0,0.05555555555555555,0.08333333333333333,0.5555555555555556,0.4444444444444444,0.0,0.75,0.25,0.0,0.628786016868841,0.37121398313115916,,0.0628786016868841,0.046401747891394896,,5618.999,3.0,66.88888888888889,6.765015306617232,54.0,64.0,66.5,72.75,80.0,68.66666666666667,4.921607686744467,58.0,64.75,69.0,73.0,75.0,,,,,,,,,,,,,,,555.0,,,,,,,,,,,,,,,,,,,,,,,,221.0,,,,,4842.999,,,,,,,,,,,,,,,,5618.999,,,,,,,,,,,,,,,0.09877204106994858,,,,,,,,,,,,,,,,,,,,,,,,0.03933084878641196,,,,,0.8618971101436395,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.09877204106994858,,,,,,,,,,,,,,,,,,,,,,,,0.03933084878641196,,,,,0.053868569383977466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,11.0,,,,,,,,,,,,,,,
大網白里市議会議員選挙（2015年11月08日投票）,大網白里市議会議員選挙,千葉県,大網白里市,20151108.0,2015.0,11.0,8.0,20151101.0,53.66,18.0,25.0,1.3888888888888888,,,,,任期満了,,,,,大網白里市議会議員選挙（2015年11月08日投票）,1.0,25.0,18.0,1.3888888888888888,0.0,0.0,0.0,0.16,0.16666666666666666,0.64,0.28,0.08,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.7243083166149917,0.20264772934524897,0.07304395403975926,0.04526926978843698,0.028949675620749852,0.03652197701987963,21932.0,5.0,59.52,9.423884549377714,29.0,54.0,61.0,67.0,74.0,60.666666666666664,7.06320670013903,48.0,55.0,61.0,66.75,74.0,,,,,,,,,,512.0,,,,,3205.0,,,,,,,,,,,,,,,,,,,,,,,,1561.0,,,,,15629.0,,,,,,,,,1025.0,,,,,,,21932.0,,,,,,,,,,0.0233448841874886,,,,,0.1461335035564472,,,,,,,,,,,,,,,,,,,,,,,,0.07117453948568302,,,,,0.7126117089184753,,,,,,,,,0.04673536385190589,,,,,,,1.0,,,,,,,,,,0.0233448841874886,,,,,0.048711167852149066,,,,,,,,,,,,,,,,,,,,,,,,0.03558726974284151,,,,,0.03958953938435974,,,,,,,,,0.04673536385190589,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,18.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,12.0,,,,,,,,,1.0,,,,,,
大網白里市議会議員選挙（2019年11月10日投票）,大網白里市議会議員選挙,千葉県,大網白里市,20191110.0,2019.0,11.0,10.0,20191103.0,52.88,18.0,25.0,1.3888888888888888,,,,,任期満了,53.66,,,,大網白里市議会議員選挙（2019年11月10日投票）,1.0,25.0,18.0,1.3888888888888888,0.0,0.0,0.0,0.2,0.16666666666666666,0.6,0.4,0.0,0.6666666666666666,0.3333333333333333,0.0,0.647848600100811,0.3521513998991889,,0.0431899066733874,0.03521513998991889,,21823.0,3.0,61.8,9.037698822156003,42.0,56.0,62.0,69.0,78.0,62.05555555555556,6.931988829751709,51.0,56.5,63.0,65.0,75.0,,,,,,,,,,,,,,,3212.0,,,,,,,,,,,,,,,,,,,,,,,,1471.0,,,,,17140.0,,,,,,,,,,,,,,,,21823.0,,,,,,,,,,,,,,,0.14718416349722768,,,,,,,,,,,,,,,,,,,,,,,,0.06740594785318242,,,,,0.7854098886495898,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.04906138783240923,,,,,,,,,,,,,,,,,,,,,,,,0.03370297392659121,,,,,0.03927049443247949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,14.0,,,,,,,,,,,,,,,
大網白里町議会議員補欠選挙（2006年12月17日投票）,大網白里町議会議員補欠選挙,千葉県,大網白里町,20061217.0,2006.0,12.0,17.0,20061212.0,49.53,1.0,3.0,3.0,39968.0,,,,その他,,,,,大網白里町議会議員補欠選挙（2006年12月17日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,,0.7747722881589842,0.22522771184101573,,0.3873861440794921,0.22522771184101573,18115.0,2.0,50.0,15.556349186104045,28.0,44.5,61.0,61.0,61.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4080.0,,,,,14035.0,,,,,,,,,,,,,,,,18115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22522771184101573,,,,,0.7747722881589842,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22522771184101573,,,,,0.3873861440794921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,
大網白里町議会議員補欠選挙（2011年04月24日投票）,大網白里町議会議員補欠選挙,千葉県,大網白里町,20110424.0,2011.0,4.0,24.0,20110419.0,27.07,4.0,5.0,1.25,41159.0,,,1191.0,その他,49.53,,,,大網白里町議会議員補欠選挙（2011年04月24日投票）,1.0,5.0,4.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.5,0.5,,0.39649910233393176,0.6035008976660682,,0.1321663674446439,0.3017504488330341,11140.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474.0,,,,,9666.0,,,,,,,,,,,,,,,,11140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13231597845601437,,,,,0.8676840215439856,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13231597845601437,,,,,0.2169210053859964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,
大網白里町議会議員選挙（1999年11月21日投票）,大網白里町議会議員選挙,千葉県,大網白里町,19991121.0,1999.0,11.0,21.0,19991116.0,66.08,22.0,25.0,1.1363636363636365,36215.0,,,,任期満了,,,,,大網白里町議会議員選挙（1999年11月21日投票）,1.0,25.0,22.0,1.1363636363636365,0.0,0.0,0.0,0.12,0.13636363636363635,0.56,0.36,0.08,0.5909090909090909,0.3181818181818182,0.09090909090909091,0.5459315589353613,0.3982594000844951,0.055809040980143644,0.038995111352525806,0.044251044453832794,0.027904520490071822,23670.0,4.0,58.28,7.784702948732212,42.0,52.0,59.0,64.0,71.0,58.45454545454545,7.107788767051592,49.0,52.0,58.0,63.75,71.0,,,,,,,,,,,,,,,2761.0,,,,,,,,,,,,,,,,,,,,,,,,3126.85,,,,,17140.15,,,,,,,,642.0,,,,,,,,23670.0,,,,,,,,,,,,,,,0.11664554288128433,,,,,,,,,,,,,,,,,,,,,,,,0.13210181664554288,,,,,0.7241297000422476,,,,,,,,0.02712294043092522,,,,,,,,1.0,,,,,,,,,,,,,,,0.058322771440642164,,,,,,,,,,,,,,,,,,,,,,,,0.044033938881847624,,,,,0.03811208947590777,,,,,,,,0.02712294043092522,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,19.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,16.0,,,,,,,,1.0,,,,,,,
大網白里町議会議員選挙（2003年11月09日投票）,大網白里町議会議員選挙,千葉県,大網白里町,20031109.0,2003.0,11.0,9.0,20031104.0,70.25,22.0,28.0,1.2727272727272727,38580.0,,,2365.0,任期満了,66.08,,,,大網白里町議会議員選挙（2003年11月09日投票）,1.0,28.0,22.0,1.2727272727272727,0.0,0.0,0.0,0.14285714285714285,0.18181818181818182,0.6071428571428571,0.35714285714285715,0.03571428571428571,0.6363636363636364,0.3181818181818182,0.045454545454545456,0.6195905464398616,0.3040418485623965,0.07636760499774198,0.036446502731756564,0.030404184856239653,0.07636760499774198,26572.0,4.0,59.214285714285715,7.598670667844958,36.0,56.0,58.0,65.0,72.0,59.18181818181818,8.03196094949514,36.0,56.0,59.5,65.0,72.0,,,,,,,,,,,,,,,3370.0,,,,,,,,,,,,,,,,,,,,,,,,2282.07,,,2719.24,,18200.690000000002,,,,,,,,,,,,,,,,26572.0,,,,,,,,,,,,,,,0.1268252295649556,,,,,,,,,,,,,,,,,,,,,,,,0.08588250790305585,,,0.10233478849917205,,0.6849574740328166,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.04227507652165186,,,,,,,,,,,,,,,,,,,,,,,,0.02862750263435195,,,0.05116739424958602,,0.03424787370164083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,16.0,,,,,,,,,,,,,,,
大網白里町議会議員選挙（2007年11月11日投票）,大網白里町議会議員選挙,千葉県,大網白里町,20071111.0,2007.0,11.0,11.0,20071106.0,55.78,20.0,26.0,1.3,40282.0,,,1702.0,任期満了,70.25,,,,大網白里町議会議員選挙（2007年11月11日投票）,1.0,26.0,20.0,1.3,0.0,0.0,0.0,0.15384615384615385,0.2,0.6538461538461539,0.19230769230769232,0.15384615384615385,0.8,0.15,0.05,0.6926009838877105,0.15828135577921199,0.14911766033307758,0.04074123434633591,0.031656271155842394,0.037279415083269395,22157.0,3.0,61.0,8.426149773176359,40.0,57.0,60.0,67.5,77.0,60.55,8.639878471367522,40.0,56.0,60.0,66.75,77.0,,,,,,,,,,,,,,,3548.0,,,,,,,,,,,,,,,,,,,,,,,,2009.07,,,,,16599.93,,,,,,,,,,,,,,,,22157.0,,,,,,,,,,,,,,,0.16012998149568985,,,,,,,,,,,,,,,,,,,,,,,,0.09067427900889109,,,,,0.7491957394954191,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.05337666049856329,,,,,,,,,,,,,,,,,,,,,,,,0.045337139504445546,,,,,0.035675987595019956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,15.0,,,,,,,,,,,,,,,
大網白里町議会議員選挙（2011年11月06日投票）,大網白里町議会議員選挙,千葉県,大網白里町,20111106.0,2011.0,11.0,6.0,20111101.0,56.87,20.0,27.0,1.35,41383.0,,,1101.0,任期満了,55.78,,,,大網白里町議会議員選挙（2011年11月06日投票）,1.0,27.0,20.0,1.35,0.0,0.0,0.0,0.14814814814814814,0.2,0.48148148148148145,0.48148148148148145,0.037037037037037035,0.5,0.45,0.05,0.4958820748635524,0.4445536980532038,0.0595642270832438,0.038144774989504034,0.03419643831178491,0.0595642270832438,23269.0,3.0,58.48148148148148,7.304845527154081,43.0,54.0,57.0,64.0,70.0,58.0,6.928203230275509,44.0,54.0,57.0,63.25,70.0,,,,,,,,,,,,,,,3339.0,,,,,,,,,,,,,,,,,,,,,,,,1321.0,,,,,18609.0,,,,,,,,,,,,,,,,23269.0,,,,,,,,,,,,,,,0.14349563797326917,,,,,,,,,,,,,,,,,,,,,,,,0.05677081095019124,,,,,0.7997335510765397,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.04783187932442306,,,,,,,,,,,,,,,,,,,,,,,,0.02838540547509562,,,,,0.036351525048933624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,15.0,,,,,,,,,,,,,,,
