,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_　,得票数_ふくしま県民党,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_社民党,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_草民党,得票数_sum_v,得票率_　,得票率_ふくしま県民党,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_社民党,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_草民党,得票率_sum_v,一人あたり得票率_　,一人あたり得票率_ふくしま県民党,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_社民党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,一人あたり得票率_草民党,立候補者数_　,立候補者数_ふくしま県民党,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_社民党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,立候補者数_草民党,当選者数_　,当選者数_ふくしま県民党,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_社民党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党,当選者数_草民党
三島町議会議員選挙（2016年04月17日投票）,三島町議会議員選挙,福島県,三島町,20160417.0,2016.0,4.0,17.0,20160412.0,84.89,8.0,9.0,1.125,1562.0,,,-174.0,任期満了,88.82,,,,三島町議会議員選挙（2016年04月17日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,0.625,0.375,0.0,0.5325172149961744,0.46748278500382556,,0.10650344299923489,0.11687069625095639,,1307.0,0.0,61.77777777777778,8.58652403838296,47.0,54.0,64.0,69.0,72.0,60.875,8.695365144719341,47.0,53.25,62.5,68.5,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三島町議会議員選挙（2020年04月19日投票）,三島町議会議員選挙,福島県,三島町,20200419.0,2020.0,4.0,19.0,20200414.0,無投票,8.0,8.0,1.0,,,,,任期満了,84.89,,,,三島町議会議員選挙（2020年04月19日投票）,1.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.75,0.25,0.0,,,,,,,0.0,1.0,62.125,10.01795263514457,43.0,56.25,65.5,69.0,74.0,62.125,10.01795263514457,43.0,56.25,65.5,69.0,74.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,8.0,,,,,,
三春町議会議員選挙（2007年09月16日投票）,三春町議会議員選挙,福島県,三春町,20070916.0,2007.0,9.0,16.0,20070911.0,無投票,16.0,16.0,1.0,15920.0,,,,任期満了,,,,,三春町議会議員選挙（2007年09月16日投票）,1.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0625,0.0625,0.75,0.1875,0.0625,0.75,0.1875,0.0625,,,,,,,0.0,3.0,60.25,4.892596447695231,46.0,58.5,60.5,63.25,67.0,60.25,4.892596447695231,46.0,58.5,60.5,63.25,67.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,14.0,1.0,,,,,,,,,1.0,,,,,,14.0,1.0,,,,,
三春町議会議員選挙（2011年09月18日投票）,三春町議会議員選挙,福島県,三春町,20110918.0,2011.0,9.0,18.0,20110913.0,66.96,16.0,19.0,1.1875,15317.0,,,-603.0,任期満了,,,,,三春町議会議員選挙（2011年09月18日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.05263157894736842,0.0625,0.631578947368421,0.3684210526315789,0.0,0.6875,0.3125,0.0,0.6583206784340796,0.34167932156592057,,0.0548600565361733,0.048811331652274366,,10141.0,3.0,62.526315789473685,4.209868369646572,54.0,61.0,62.0,64.5,71.0,63.1875,4.141538814257329,54.0,61.0,63.5,65.25,71.0,,,,553.93,,,,,,9209.07,378.0,,,,,,10141.0,,,,0.05462281826249876,,,,,,0.9081027512079676,0.037274430529533574,,,,,,1.0,,,,0.05462281826249876,,,,,,0.053417808894586326,0.037274430529533574,,,,,,,,,1.0,,,,,,17.0,1.0,,,,,,,,,1.0,,,,,,14.0,1.0,,,,,
三春町議会議員選挙（2015年09月13日投票）,三春町議会議員選挙,福島県,三春町,20150913.0,2015.0,9.0,13.0,20150908.0,67.6,16.0,17.0,1.0625,,,,,任期満了,66.96,,,,三春町議会議員選挙（2015年09月13日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.17647058823529413,0.1875,0.7058823529411765,0.29411764705882354,0.0,0.75,0.25,0.0,0.732418055348567,0.267581944651433,,0.06103483794571391,0.053516388930286596,,9863.67,4.0,63.64705882352941,6.009220136057475,51.0,61.0,65.0,68.0,75.0,64.4375,5.267456098535611,55.0,61.0,65.0,68.0,75.0,,,,696.0,,,576.0,,,8198.44,393.23,,,,,,9863.67,,,,0.07056197135548939,,,0.058396114225232595,,,0.8311754144248541,0.03986649999442398,,,,,,1.0,,,,0.07056197135548939,,,0.058396114225232595,,,0.05936967245891815,0.03986649999442398,,,,,,,,,1.0,,,1.0,,,14.0,1.0,,,,,,,,,1.0,,,1.0,,,13.0,1.0,,,,,
三春町議会議員選挙（2019年09月08日投票）,三春町議会議員選挙,福島県,三春町,20190908.0,2019.0,9.0,8.0,20190903.0,無投票,16.0,16.0,1.0,,,,,任期満了,67.6,,,,三春町議会議員選挙（2019年09月08日投票）,1.0,16.0,16.0,1.0,1.0,1.0,0.0,0.125,0.125,0.8125,0.1875,0.0,0.8125,0.1875,0.0,,,,,,,0.0,3.0,65.8125,5.581428468591173,55.0,61.25,66.0,70.25,74.0,65.8125,5.581428468591173,55.0,61.25,66.0,70.25,74.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,14.0,1.0,,,,,,,,,1.0,,,,,,14.0,1.0,,,,,
下郷町議会議員選挙（2008年03月23日投票）,下郷町議会議員選挙,福島県,下郷町,20080323.0,2008.0,3.0,23.0,20080318.0,88.81,12.0,17.0,1.4166666666666667,5789.0,,,,任期満了,,,,,下郷町議会議員選挙（2008年03月23日投票）,1.0,17.0,11.0,1.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,0.11764705882352941,0.11764705882352941,0.9090909090909091,0.09090909090909091,0.0,0.7937719732828757,0.10435754945791775,0.10187047725920664,0.06105938256022121,0.05217877472895888,0.05093523862960332,5025.99,1.0,65.0,7.467576975321577,48.0,61.0,66.0,72.0,75.0,66.72727272727273,6.268114245795709,55.0,62.5,66.0,72.5,75.0,,,,,,,,,,5025.99,,,,,,,5025.99,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,11.0,,,,,,
下郷町議会議員選挙（2012年03月25日投票）,下郷町議会議員選挙,福島県,下郷町,20120325.0,2012.0,3.0,25.0,20120320.0,86.96,12.0,15.0,1.25,5407.0,,,-382.0,任期満了,88.81,,,,下郷町議会議員選挙（2012年03月25日投票）,1.0,15.0,12.0,1.25,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.2,0.0,0.8333333333333334,0.08333333333333333,0.0,0.7819956616052061,0.14859002169197397,,0.07109051469138238,0.04953000723065799,,4610.0,1.0,68.0,7.536577472566709,52.0,64.5,70.0,73.0,79.0,67.33333333333333,7.982620009885364,52.0,62.75,69.0,72.0,79.0,,,,,,,,,,4610.0,,,,,,,4610.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,0.06666666666666667,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,12.0,,,,,,
下郷町議会議員選挙（2016年03月27日投票）,下郷町議会議員選挙,福島県,下郷町,20160327.0,2016.0,3.0,27.0,20160322.0,86.12,12.0,16.0,1.3333333333333333,5138.0,,,-269.0,任期満了,86.96,,,,下郷町議会議員選挙（2016年03月27日投票）,1.0,16.0,12.0,1.3333333333333333,0.0,0.0,0.0,0.0625,0.08333333333333333,0.4375,0.4375,0.125,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.4775293846508412,0.41474533302604283,0.10772528232311593,0.06821848352154875,0.05924933328943469,0.053862641161557964,4339.0,0.0,64.6875,8.65822405288752,42.0,60.75,63.5,69.75,80.0,63.666666666666664,8.682677518420736,42.0,60.5,63.5,69.75,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下郷町議会議員選挙（2020年03月22日投票）,下郷町議会議員選挙,福島県,下郷町,20200322.0,2020.0,3.0,22.0,20200317.0,83.62,12.0,14.0,1.1666666666666667,4816.0,,,-322.0,任期満了,86.12,,,,下郷町議会議員選挙（2020年03月22日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.07142857142857142,0.08333333333333333,0.7142857142857143,0.2857142857142857,0.0,0.75,0.25,0.0,0.7175035993160727,0.2824964006839273,,0.07175035993160726,0.07062410017098182,,3931.9970000000003,1.0,64.35714285714286,10.853617848817198,37.0,63.25,65.0,71.75,78.0,64.75,11.648497757221744,37.0,63.75,66.0,73.0,78.0,,,,,,,,,,3931.9970000000003,,,,,,,3931.9970000000003,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,0.07142857142857142,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,12.0,,,,,,
中島村議会議員補欠選挙（2010年10月31日投票）,中島村議会議員補欠選挙,福島県,中島村,20101031.0,2010.0,10.0,31.0,20101026.0,無投票,2.0,2.0,1.0,,,,,その他,,,,,中島村議会議員補欠選挙（2010年10月31日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,57.5,0.5,57.0,57.25,57.5,57.75,58.0,57.5,0.5,57.0,57.25,57.5,57.75,58.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,
中島村議会議員選挙（2007年09月16日投票）,中島村議会議員選挙,福島県,中島村,20070916.0,2007.0,9.0,16.0,20070911.0,85.63,8.0,9.0,1.125,4120.0,,,,任期満了,,,,,中島村議会議員選挙（2007年09月16日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,0.625,0.375,0.0,0.6422263397947549,0.35777366020524515,,0.12844526795895098,0.08944341505131129,,3508.0,1.0,57.888888888888886,4.3574825669172395,48.0,56.0,58.0,62.0,63.0,59.125,2.7585095613392387,55.0,57.5,58.5,62.0,63.0,,,,,,,,,,3508.0,,,,,,,3508.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,8.0,,,,,,
中島村議会議員選挙（2011年09月11日投票）,中島村議会議員選挙,福島県,中島村,20110911.0,2011.0,9.0,11.0,20110906.0,無投票,8.0,8.0,1.0,4119.0,,,-1.0,任期満了,85.63,,,,中島村議会議員選挙（2011年09月11日投票）,1.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.875,0.0,0.125,0.875,0.0,0.125,,,,,,,0.0,1.0,62.375,3.42554740151118,57.0,59.75,62.0,66.0,67.0,62.375,3.42554740151118,57.0,59.75,62.0,66.0,67.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,8.0,,,,,,
中島村議会議員選挙（2015年09月13日投票）,中島村議会議員選挙,福島県,中島村,20150913.0,2015.0,9.0,13.0,20150908.0,83.16,8.0,9.0,1.125,,,,,任期満了,,,,,中島村議会議員選挙（2015年09月13日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,0.5,0.5,0.0,0.5484131928349361,0.451586807165064,,0.1096826385669872,0.112896701791266,,3386.99,1.0,63.22222222222222,3.3259176771323924,59.0,61.0,63.0,65.0,70.0,62.875,3.370367190678191,59.0,60.5,62.5,64.25,70.0,,,,,,,,,,3386.99,,,,,,,3386.99,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,8.0,,,,,,
中島村議会議員選挙（2019年09月08日投票）,中島村議会議員選挙,福島県,中島村,20190908.0,2019.0,9.0,8.0,20190903.0,無投票,8.0,8.0,1.0,,,,,任期満了,83.16,,,,中島村議会議員選挙（2019年09月08日投票）,1.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.875,0.125,0.0,0.875,0.125,0.0,,,,,,,0.0,1.0,66.0,2.0615528128088303,63.0,64.5,66.5,67.25,69.0,66.0,2.0615528128088303,63.0,64.5,66.5,67.25,69.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,8.0,,,,,,
