,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
むつ市議会議員選挙（2007年09月30日投票）,むつ市議会議員選挙,青森県,むつ市,20070930.0,2007.0,9.0,30.0,20070923.0,70.56,0.0,44.0,,53021.0,,,13483.0,任期満了,71.65,,,,むつ市議会議員選挙（2007年09月30日投票）,4.0,44.0,30.0,1.4666666666666666,0.0,0.0,0.0,0.045454545454545456,0.03333333333333333,0.8181818181818182,0.13636363636363635,0.045454545454545456,0.8333333333333334,0.1,0.06666666666666667,0.8172271780429973,0.11272631938669796,0.07004650257030476,0.022700754945638814,0.01878771989778299,0.03502325128515238,37075.369999999995,5.0,58.5,7.738628020286518,38.0,55.0,59.0,64.25,76.0,58.4,8.081254028099023,38.0,55.0,59.5,64.0,76.0,1756.0,,,1945.0,2214.37,30315.0,845.0,,,37075.369999999995,0.04736297978954762,,,0.05246070369628139,0.05972617400716433,0.8176587313895992,0.0227914111174076,,,1.0,0.04736297978954762,,,0.026230351848140696,0.019908724669054776,0.02209888463215133,0.0227914111174076,,,1.0,,,2.0,3.0,37.0,1.0,,,1.0,,,2.0,1.0,26.0,0.0,,
むつ市議会議員選挙（2011年10月02日投票）,むつ市議会議員選挙,青森県,むつ市,20111002.0,2011.0,10.0,2.0,20110925.0,64.6,26.0,30.0,1.1538461538461535,51926.0,,,-1095.0,任期満了,70.56,,,,むつ市議会議員選挙（2011年10月02日投票）,1.0,30.0,26.0,1.1538461538461537,0.0,0.0,0.0,0.06666666666666667,0.07692307692307693,0.7333333333333333,0.06666666666666667,0.2,0.7307692307692307,0.07692307692307693,0.19230769230769232,0.7352678473321234,0.06713711455750332,0.19759503811037332,0.03342126578782379,0.03356855727875166,0.03293250635172889,33217.990000000005,5.0,,,,,,,,,,,,,,,2452.16,,,1975.0,,21704.83,1501.0,,5585.0,33217.990000000005,0.07382024017708474,,,0.059455734678708724,,0.6534058803678368,0.045186358355818634,,0.16813178642055102,1.0,0.03691012008854237,,,0.029727867339354362,,0.03111456573180175,0.045186358355818634,,0.042032946605137754,2.0,,,2.0,,21.0,1.0,,4.0,2.0,,,2.0,,17.0,1.0,,4.0
むつ市議会議員選挙（2015年10月04日投票）,むつ市議会議員選挙,青森県,むつ市,20151004.0,2015.0,10.0,4.0,20150927.0,62.6,26.0,30.0,1.1538461538461535,,,,,任期満了,64.6,,,,むつ市議会議員選挙（2015年10月04日投票）,1.0,30.0,26.0,1.1538461538461537,0.0,0.0,0.0,0.1,0.11538461538461539,0.7666666666666667,0.13333333333333333,0.1,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.8067947851279575,0.10796523418638339,0.0852399806856591,0.03507803413599815,0.026991308546595847,0.028413326895219703,31064.999999999996,5.0,61.13333333333333,9.580303868991955,32.0,56.5,63.5,68.0,75.0,61.88461538461539,8.340480170077479,40.0,56.5,63.5,68.0,75.0,2346.02,,,2284.0,,19074.389999999996,1249.0,,6111.59,31064.999999999996,0.07551971672300017,,,0.07352325768549815,,0.6140154514727184,0.040206019636246586,,0.19673555448253666,1.0,0.03775985836150009,,,0.036761628842749076,,0.03070077257363592,0.040206019636246586,,0.03934711089650733,2.0,,,2.0,,20.0,1.0,,5.0,2.0,,,2.0,,16.0,1.0,,5.0
むつ市議会議員選挙（2019年10月06日投票）,むつ市議会議員選挙,青森県,むつ市,20191006.0,2019.0,10.0,6.0,20190929.0,57.37,22.0,25.0,1.1363636363636365,,,,,任期満了,62.6,,,,むつ市議会議員選挙（2019年10月06日投票）,1.0,25.0,22.0,1.1363636363636365,0.0,0.0,0.0,0.12,0.13636363636363635,0.68,0.28,0.04,0.6818181818181818,0.3181818181818182,0.0,0.6802772803269403,0.30107020700325865,0.018652512669801044,0.040016310607467076,0.04301002957189409,0.018652512669801044,27502.997,4.0,61.76,11.772102615930597,31.0,53.0,67.0,70.0,76.0,60.77272727272727,12.206301718902928,31.0,53.0,66.5,69.5,76.0,2479.0,,,2019.346,,15407.986,,,7596.665,27502.997000000003,0.09013563140046155,,,0.0734227618902769,,0.5602293451873627,,,0.2762122615218988,1.0,0.04506781570023077,,,0.03671138094513845,,0.037348623012490846,,,0.04603537692031647,2.0,,,2.0,,15.0,,,6.0,2.0,,,2.0,,13.0,,,5.0
七戸町議会議員補欠選挙（2009年04月19日投票）,七戸町議会議員補欠選挙,青森県,七戸町,20090419.0,2009.0,4.0,19.0,20090414.0,80.89,1.0,3.0,3.0,6856.0,,,,その他,,,,,七戸町議会議員補欠選挙（2009年04月19日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,,0.17832038475767664,0.8216796152423234,,0.17832038475767664,0.4108398076211617,5406.0,1.0,52.666666666666664,9.285592184789412,40.0,48.0,56.0,59.0,62.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,,,,,,5406.0,,,,5406.0,,,,,,1.0,,,,1.0,,,,,,0.3333333333333333,,,,,,,,,3.0,,,,,,,,,1.0,,,
七戸町議会議員選挙（2003年04月27日投票）,七戸町議会議員選挙,青森県,七戸町,20030427.0,2003.0,4.0,27.0,20030422.0,84.31,18.0,21.0,1.1666666666666667,8631.0,,,,任期満了,,,,,七戸町議会議員選挙（2003年04月27日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.047619047619047616,0.05555555555555555,0.7142857142857143,0.19047619047619047,0.09523809523809523,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.7278122843340235,0.14879227053140096,0.12339544513457557,0.04852081895560156,0.03719806763285024,0.06169772256728778,7245.0,0.0,61.38095238095238,8.0974786815238,49.0,54.0,61.0,68.0,76.0,61.55555555555556,7.868518300602318,49.0,54.25,62.0,67.75,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
七戸町議会議員選挙（2007年04月22日投票）,七戸町議会議員選挙,青森県,七戸町,20070422.0,2007.0,4.0,22.0,20070417.0,79.33,18.0,26.0,1.4444444444444444,15373.0,,,6742.0,任期満了,84.31,,,,七戸町議会議員選挙（2007年04月22日投票）,2.0,26.0,18.0,1.4444444444444444,0.0,0.0,0.0,0.07692307692307693,0.05555555555555555,0.7307692307692307,0.19230769230769232,0.07692307692307693,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.7448334941268417,0.15371226682534195,0.10145423904781632,0.039201762848781144,0.030742453365068388,0.05072711952390816,12116.989999999998,3.0,61.11538461538461,9.53667787293201,38.0,55.75,62.5,68.0,75.0,61.666666666666664,8.445906306213285,39.0,58.0,62.5,67.75,75.0,,,,478.0,,11222.989999999998,416.0,,,12116.989999999998,,,,0.039448740982702804,,0.9262193003377901,0.034331958679507044,,,1.0,,,,0.039448740982702804,,0.03859247084740792,0.034331958679507044,,,,,,1.0,,24.0,1.0,,,,,,1.0,,16.0,1.0,,
七戸町議会議員選挙（2011年04月24日投票）,七戸町議会議員選挙,青森県,七戸町,20110424.0,2011.0,4.0,24.0,20110419.0,76.14,16.0,21.0,1.3125,14738.0,,,-635.0,任期満了,79.33,,,,七戸町議会議員選挙（2011年04月24日投票）,1.0,21.0,16.0,1.3125,0.0,0.0,0.0,0.047619047619047616,0.0625,0.7619047619047619,0.14285714285714285,0.09523809523809523,0.875,0.125,0.0,0.8130286995515695,0.14591928251121075,0.041052017937219736,0.050814293721973096,0.04863976083707025,0.020526008968609868,11150.0,2.0,,,,,,,,,,,,,,,,,,736.0,,10414.0,,,,11150.0,,,,0.06600896860986546,,0.9339910313901345,,,,1.0,,,,0.06600896860986546,,0.046699551569506725,,,,,,,1.0,,20.0,,,,,,,1.0,,15.0,,,
七戸町議会議員選挙（2015年04月26日投票）,七戸町議会議員選挙,青森県,七戸町,20150426.0,2015.0,4.0,26.0,20150421.0,70.3,16.0,17.0,1.0625,,,,,任期満了,76.14,,,,七戸町議会議員選挙（2015年04月26日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.058823529411764705,0.0625,0.7647058823529411,0.17647058823529413,0.058823529411764705,0.8125,0.1875,0.0,0.7837917089693803,0.17834924517899697,0.03785904585162267,0.06029166992072156,0.05944974839299899,0.03785904585162267,9957.99,2.0,63.35294117647059,9.498861705616212,45.0,59.0,66.0,70.0,76.0,62.5625,9.232881118589148,45.0,58.75,66.0,67.75,75.0,,,,705.0,,9252.99,,,,9957.99,,,,0.07079741996125724,,0.9292025800387428,,,,1.0,,,,0.07079741996125724,,0.058075161252421424,,,,,,,1.0,,16.0,,,,,,,1.0,,15.0,,,
七戸町議会議員選挙（2019年04月21日投票）,七戸町議会議員選挙,青森県,七戸町,20190421.0,2019.0,4.0,21.0,20190416.0,65.27,16.0,18.0,1.125,,,,,任期満了,70.3,,,,七戸町議会議員選挙（2019年04月21日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.05555555555555555,0.0625,0.7222222222222222,0.2777777777777778,0.0,0.8125,0.1875,0.0,0.8164929561047752,0.18350704389522474,,0.06280715046959809,0.036701408779044944,,8827.999,2.0,65.33333333333333,9.01233722306385,49.0,61.25,67.5,70.75,79.0,64.6875,9.074130467984247,49.0,59.5,67.5,70.25,79.0,,,,550.0,,8277.999,,,,8827.999,,,,0.06230177416195901,,0.937698225838041,,,,1.0,,,,0.06230177416195901,,0.055158719166943586,,,,,,,1.0,,17.0,,,,,,,1.0,,15.0,,,
三戸町議会議員補欠選挙（2019年07月21日投票）,三戸町議会議員補欠選挙,青森県,三戸町,20190721.0,2019.0,7.0,21.0,20190716.0,59.21,10.0,15.0,1.5,8727.0,,,,辞職/元町議で県議に出馬し、公選法違反で逮捕された沢田恵陣営の選挙違反事件に関連した、全9名の町議辞職による,,,,,三戸町議会議員補欠選挙（2019年07月21日投票）,1.0,15.0,10.0,1.5,0.0,0.0,0.0,0.13333333333333333,0.2,0.0,0.9333333333333333,0.06666666666666667,0.0,0.9,0.1,,0.769842757049038,0.23015724295096202,,0.054988768360645576,0.23015724295096202,5026.998,1.0,57.86666666666667,13.220522766601258,32.0,50.5,62.0,68.0,73.0,58.2,10.656453443805777,34.0,54.0,62.0,66.0,71.0,,,,,,5026.998,,,,5026.998,,,,,,1.0,,,,1.0,,,,,,0.06666666666666667,,,,,,,,,15.0,,,,,,,,,10.0,,,
三戸町議会議員選挙（2000年03月05日投票）,三戸町議会議員選挙,青森県,三戸町,20000305.0,2000.0,3.0,5.0,20000219.0,83.73,18.0,22.0,1.2222222222222223,11261.0,,,,任期満了,,,,,三戸町議会議員選挙（2000年03月05日投票）,1.0,22.0,18.0,1.2222222222222223,0.0,0.0,0.0,0.045454545454545456,0.0,0.6818181818181818,0.2727272727272727,0.045454545454545456,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.7252074666666667,0.20492586666666668,0.06986666666666666,0.048347164444444445,0.03415431111111111,0.06986666666666666,9375.0,2.0,60.22727272727273,11.606940784727266,36.0,52.75,59.5,68.25,81.0,61.27777777777778,11.817151168043635,36.0,55.0,60.5,69.75,81.0,,,,337.0,,9038.0,,,,9375.0,,,,0.03594666666666667,,0.9640533333333333,,,,1.0,,,,0.03594666666666667,,0.04590730158730159,,,,,,,1.0,,21.0,,,,,,,0.0,,18.0,,,
三戸町議会議員選挙（2004年03月07日投票）,三戸町議会議員選挙,青森県,三戸町,20040307.0,2004.0,3.0,7.0,20040302.0,75.45,18.0,21.0,1.1666666666666667,10929.0,,,-332.0,任期満了,83.73,,,,三戸町議会議員選挙（2004年03月07日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.09523809523809523,0.05555555555555555,0.6190476190476191,0.3333333333333333,0.047619047619047616,0.7222222222222222,0.2777777777777778,0.0,0.7144952334392569,0.2674162796382303,0.018088486922512834,0.054961171803019765,0.03820232566260433,0.018088486922512834,8182.0,2.0,60.523809523809526,9.276796694770225,40.0,55.0,59.0,67.0,76.0,59.611111111111114,9.51103971935823,40.0,55.0,59.0,66.5,76.0,,,,425.0,,7757.0,,,,8182.0,,,,0.0519432901491078,,0.9480567098508922,,,,1.0,,,,0.0519432901491078,,0.04740283549254461,,,,,,,1.0,,20.0,,,,,,,1.0,,17.0,,,
三戸町議会議員選挙（2008年03月02日投票）,三戸町議会議員選挙,青森県,三戸町,20080302.0,2008.0,3.0,2.0,20080226.0,69.94,16.0,18.0,1.125,10464.0,,,-465.0,任期満了,75.45,,,,三戸町議会議員選挙（2008年03月02日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.0625,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.875,0.0625,0.0625,0.8268726720927024,0.07173403228031452,0.10139329562698303,0.059062333720907315,0.03586701614015726,0.050696647813491515,7249.0,2.0,63.27777777777778,10.08191756207097,44.0,57.5,60.5,73.25,80.0,62.6875,10.054344521151043,44.0,57.0,60.5,71.75,80.0,,,,541.0,,6708.0,,,,7249.0,,,,0.07463098358394261,,0.9253690164160574,,,,1.0,,,,0.07463098358394261,,0.054433471553885726,,,,,,,1.0,,17.0,,,,,,,1.0,,15.0,,,
三戸町議会議員選挙（2012年03月11日投票）,三戸町議会議員選挙,青森県,三戸町,20120311.0,2012.0,3.0,11.0,20120306.0,67.01,14.0,16.0,1.1428571428571428,9916.0,,,-548.0,任期満了,69.94,,,,三戸町議会議員選挙（2012年03月11日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.0625,0.07142857142857142,0.875,0.0625,0.0625,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.8717401250571908,0.04819277108433735,0.08006710385847186,0.062267151789799344,0.04819277108433735,0.08006710385847186,6557.0,2.0,62.5625,8.26111940054131,48.0,57.5,62.0,65.5,84.0,61.785714285714285,8.13439409832956,48.0,56.5,62.0,64.75,84.0,,,,446.0,,6111.0,,,,6557.0,,,,0.06801891108738753,,0.9319810889126124,,,,1.0,,,,0.06801891108738753,,0.062132072594174165,,,,,,,1.0,,15.0,,,,,,,1.0,,13.0,,,
三戸町議会議員選挙（2016年03月06日投票）,三戸町議会議員選挙,青森県,三戸町,20160306.0,2016.0,3.0,6.0,20160301.0,68.85,14.0,16.0,1.1428571428571428,9253.0,,,-663.0,任期満了,67.01,,,,三戸町議会議員選挙（2016年03月06日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.0625,0.0,0.5625,0.375,0.0625,0.5714285714285714,0.42857142857142855,0.0,0.5546108592542539,0.40501675216641403,0.04037238857933206,0.06162342880602821,0.06750279202773567,0.04037238857933206,6316.198,0.0,61.0,5.545268253204709,49.0,58.0,61.0,65.0,69.0,60.142857142857146,5.3566666455007645,49.0,58.0,60.0,64.75,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
