,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_たちあがれ日本,得票数_公明党,得票数_公民党,得票数_国民民主党,得票数_地域政党日本新生,得票数_妙高はね馬クラブ,得票数_幸福実現党,得票数_日本共産党,得票数_次世代の党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_緑の党グリーンズジャパン,得票数_緑・にいがた,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_たちあがれ日本,得票率_公明党,得票率_公民党,得票率_国民民主党,得票率_地域政党日本新生,得票率_妙高はね馬クラブ,得票率_幸福実現党,得票率_日本共産党,得票率_次世代の党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_緑の党グリーンズジャパン,得票率_緑・にいがた,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_たちあがれ日本,一人あたり得票率_公明党,一人あたり得票率_公民党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党日本新生,一人あたり得票率_妙高はね馬クラブ,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_緑の党グリーンズジャパン,一人あたり得票率_緑・にいがた,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_たちあがれ日本,立候補者数_公明党,立候補者数_公民党,立候補者数_国民民主党,立候補者数_地域政党日本新生,立候補者数_妙高はね馬クラブ,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_次世代の党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_緑の党グリーンズジャパン,立候補者数_緑・にいがた,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_たちあがれ日本,当選者数_公明党,当選者数_公民党,当選者数_国民民主党,当選者数_地域政党日本新生,当選者数_妙高はね馬クラブ,当選者数_幸福実現党,当選者数_日本共産党,当選者数_次世代の党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_緑の党グリーンズジャパン,当選者数_緑・にいがた,当選者数_自由民主党
上越市議会議員選挙（2020年04月26日投票）,上越市議会議員選挙,新潟県,上越市,20200426.0,2020.0,4.0,26.0,20200419.0,47.65,32.0,36.0,1.125,,,,,任期満了,54.55,,,,上越市議会議員選挙（2020年04月26日投票）,1.0,36.0,32.0,1.125,0.0,0.0,0.0,0.19444444444444445,0.21875,0.6666666666666666,0.3055555555555556,0.027777777777777776,0.6875,0.28125,0.03125,0.6249566017188805,0.33698351638534,0.03805988189577954,0.02603985840495335,0.030634865125940002,0.03805988189577954,74881.99799999999,3.0,58.55555555555556,11.743661279469599,29.0,53.75,62.0,68.25,78.0,59.21875,11.20751526599451,29.0,54.0,62.5,68.25,78.0,,,4416.0,,,,,,8289.535,,,62176.463,,,,,,,74881.998,,,0.05897278542167104,,,,,,0.11070130634067749,,,0.8303259082376514,,,,,,,1.0,,,0.02948639271083552,,,,,,0.02767532658516937,,,0.02767753027458838,,,,,,,,,2.0,,,,,,4.0,,,30.0,,,,,,,,,2.0,,,,,,3.0,,,27.0,,,,,,
五泉市議会議員補欠選挙（2010年01月24日投票）,五泉市議会議員補欠選挙,新潟県,五泉市,20100124.0,2010.0,1.0,24.0,20100117.0,無投票,1.0,1.0,1.0,46872.0,,,,その他,,,,,五泉市議会議員補欠選挙（2010年01月24日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,49.0,0.0,49.0,49.0,49.0,49.0,49.0,49.0,0.0,49.0,49.0,49.0,49.0,49.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
五泉市議会議員補欠選挙（2018年01月21日投票）,五泉市議会議員補欠選挙,新潟県,五泉市,20180121.0,2018.0,1.0,21.0,20180114.0,無投票,1.0,1.0,1.0,,,,,その他/猪熊豊議員の、原水爆禁止日本協議会（原水協）系の「原水爆禁止五泉協議会」の事務局員として補助金を申請する際、領収書などを改竄（かいざん）して水増し請求していたとして辞職し（2016/12/19）、それに伴う選挙,,,,,五泉市議会議員補欠選挙（2018年01月21日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,0.0,42.0,0.0,42.0,42.0,42.0,42.0,42.0,42.0,0.0,42.0,42.0,42.0,42.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五泉市議会議員選挙（2007年10月21日投票）,五泉市議会議員選挙,新潟県,五泉市,20071021.0,2007.0,10.0,21.0,20071014.0,69.97,25.0,30.0,1.2,47189.0,,,,任期満了,,,,,五泉市議会議員選挙（2007年10月21日投票）,1.0,30.0,25.0,1.2,0.0,0.0,0.0,0.06666666666666667,0.04,0.9333333333333333,0.06666666666666667,0.0,0.92,0.08,0.0,0.919724324571003,0.08027567542899708,,0.03284729730610725,0.04013783771449854,,32649.99,4.0,58.4,7.596490417730195,43.0,53.5,59.5,64.75,71.0,56.92,7.450744929200033,43.0,51.0,57.0,63.0,71.0,,,1296.0,,,,,,2367.0,,,27816.989999999998,1170.0,,,,,,32649.989999999998,,,0.03969373344371622,,,,,,0.07249619372012059,,,0.8519754523661416,0.03583462047002159,,,,,,1.0,,,0.03969373344371622,,,,,,0.036248096860060294,,,0.032768286629466986,0.03583462047002159,,,,,,,,1.0,,,,,,2.0,,,26.0,1.0,,,,,,,,1.0,,,,,,2.0,,,21.0,1.0,,,,,
五泉市議会議員選挙（2011年10月23日投票）,五泉市議会議員選挙,新潟県,五泉市,20111023.0,2011.0,10.0,23.0,20111016.0,67.83,20.0,26.0,1.3,46030.0,,,-1159.0,任期満了,69.97,,,,五泉市議会議員選挙（2011年10月23日投票）,1.0,26.0,20.0,1.3,0.0,0.0,0.0,0.038461538461538464,0.05,0.6153846153846154,0.2692307692307692,0.11538461538461539,0.55,0.3,0.15,0.5550780745192144,0.2823651116972022,0.16255681378358344,0.0346923796574509,0.04033787309960031,0.054185604594527814,30874.989999999998,3.0,57.03846153846154,8.159377659293767,33.0,52.0,59.0,62.0,73.0,56.9,8.94930164873215,33.0,50.0,59.0,62.25,73.0,,,1217.0,,,,,,2546.31,,,27111.68,,,,,,,30874.99,,,0.03941701681522811,,,,,,0.08247160565881964,,,0.8781113775259523,,,,,,,1.0,,,0.03941701681522811,,,,,,0.04123580282940982,,,0.03817875554460662,,,,,,,,,1.0,,,,,,2.0,,,23.0,,,,,,,,,1.0,,,,,,1.0,,,18.0,,,,,,
五泉市議会議員選挙（2015年10月25日投票）,五泉市議会議員選挙,新潟県,五泉市,20151025.0,2015.0,10.0,25.0,20151018.0,63.82,20.0,24.0,1.2,,,,,任期満了,67.83,,,,五泉市議会議員選挙（2015年10月25日投票）,1.0,24.0,20.0,1.2,0.0,0.0,0.0,0.041666666666666664,0.05,0.75,0.20833333333333334,0.041666666666666664,0.75,0.2,0.05,0.7617241143709943,0.1930961162926547,0.04517976933635103,0.04231800635394413,0.03861922325853094,0.04517976933635103,27954.989999999998,5.0,57.25,9.674924633642718,32.0,52.5,60.0,64.25,71.0,56.75,9.98436277385793,32.0,52.5,58.5,64.25,71.0,,,1200.0,,,,,,2501.0,,,22448.710000000006,791.0,,,,,1014.28,27954.990000000005,,,0.04292614663786321,,,,,,0.08946524395107991,,,0.8030305144090555,0.028295484992124836,,,,,0.036282610009876586,1.0,,,0.04292614663786321,,,,,,0.044732621975539955,,,0.04226476391626608,0.028295484992124836,,,,,0.036282610009876586,,,1.0,,,,,,2.0,,,19.0,1.0,,,,,1.0,,,1.0,,,,,,2.0,,,16.0,0.0,,,,,1.0
五泉市議会議員選挙（2019年10月20日投票）,五泉市議会議員選挙,新潟県,五泉市,20191020.0,2019.0,10.0,20.0,20191013.0,56.89,20.0,21.0,1.05,,,,,任期満了,63.82,,,,五泉市議会議員選挙（2019年10月20日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.047619047619047616,0.05,0.7619047619047619,0.19047619047619047,0.047619047619047616,0.8,0.15,0.05,0.7216896790919877,0.14070551758743757,0.13760480332057487,0.04510560494324923,0.03517637939685939,0.13760480332057487,24097.996,4.0,57.80952380952381,10.418020320209125,36.0,55.0,58.0,65.0,75.0,58.65,9.95627942556857,36.0,55.0,59.5,65.5,75.0,,,1547.0,,,,,,1375.0,,,20344.481,,,,,,831.515,24097.996,,,0.06419620951053358,,,,,,0.0570586865397438,,,0.8442395375947445,,,,,,0.03450556635497823,1.0,,,0.06419620951053358,,,,,,0.0285293432698719,,,0.049661149270279085,,,,,,0.03450556635497823,,,1.0,,,,,,2.0,,,17.0,,,,,,1.0,,,1.0,,,,,,2.0,,,16.0,,,,,,1.0
佐渡市議会議員補欠選挙（2019年04月21日投票）,佐渡市議会議員補欠選挙,新潟県,佐渡市,20190421.0,2019.0,4.0,21.0,20190414.0,39.34,4.0,5.0,1.25,,,,,その他,,,,,佐渡市議会議員補欠選挙（2019年04月21日投票）,1.0,5.0,4.0,1.25,0.0,0.0,0.0,0.2,0.25,0.0,0.8,0.2,0.0,0.75,0.25,,0.8169861165757968,0.18301388342420324,,0.2042465291439492,0.18301388342420324,17791.0,1.0,50.6,6.974238309665077,39.0,47.0,53.0,55.0,59.0,50.0,7.681145747868608,39.0,45.0,51.0,56.0,59.0,,,,,,,,,,,,17791.0,,,,,,,17791.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,4.0,,,,,,
佐渡市議会議員選挙（2008年04月13日投票）,佐渡市議会議員選挙,新潟県,佐渡市,20080413.0,2008.0,4.0,13.0,20080406.0,81.68,28.0,35.0,1.25,55074.0,,,,任期満了,,,,,佐渡市議会議員選挙（2008年04月13日投票）,1.0,35.0,28.0,1.25,0.0,0.0,0.0,0.05714285714285714,0.03571428571428571,0.9142857142857143,0.08571428571428572,0.0,0.9285714285714286,0.07142857142857142,0.0,0.9295083972517223,0.0704916027482778,,0.029047137414116322,0.0234972009160926,,44226.97,6.0,58.885714285714286,9.079872335702362,37.0,53.5,60.0,65.0,78.0,58.67857142857143,8.75480917401798,37.0,53.75,60.5,65.0,73.0,,,2021.2,,,,,,2537.4700000000003,,1538.0,33794.3,1588.0,,,,,2748.0,44226.97,,,0.04570062113683122,,,,,,0.05737381511778899,,0.034775160948172575,0.7641106772632175,0.0359056928385553,,,,,0.06213403269543448,1.0,,,0.04570062113683122,,,,,,0.028686907558894494,,0.034775160948172575,0.02728966704511491,0.0359056928385553,,,,,0.03106701634771724,,,1.0,,,,,,2.0,,1.0,28.0,1.0,,,,,2.0,,,1.0,,,,,,2.0,,1.0,21.0,1.0,,,,,2.0
佐渡市議会議員選挙（2012年04月08日投票）,佐渡市議会議員選挙,新潟県,佐渡市,20120408.0,2012.0,4.0,8.0,20120401.0,76.06,24.0,26.0,1.0833333333333333,52401.0,,,-2673.0,任期満了,81.68,,,,佐渡市議会議員選挙（2012年04月08日投票）,1.0,26.0,24.0,1.0833333333333333,0.0,0.0,0.0,0.038461538461538464,0.041666666666666664,0.6538461538461539,0.2692307692307692,0.07692307692307693,0.6666666666666666,0.2916666666666667,0.041666666666666664,0.626718359155302,0.30975630136359716,0.06352533948110069,0.036865785832664824,0.044250900194799596,0.031762669740550344,39133.99,4.0,60.03846153846154,9.133542447108683,36.0,55.5,61.0,68.0,77.0,59.25,9.070327079732754,36.0,54.5,61.0,65.0,77.0,,,2004.0,,,,,,2633.31,,1395.0,33101.68,,,,,,,39133.99,,,0.05120868074019542,,,,,,0.06728958636724751,,0.035646761293698905,0.8458549715988583,,,,,,,1.0,,,0.05120868074019542,,,,,,0.033644793183623754,,0.035646761293698905,0.03844795325449356,,,,,,,,,1.0,,,,,,2.0,,1.0,22.0,,,,,,,,,1.0,,,,,,2.0,,1.0,20.0,,,,,,
佐渡市議会議員選挙（2016年04月10日投票）,佐渡市議会議員選挙,新潟県,佐渡市,20160410.0,2016.0,4.0,10.0,20160403.0,75.05,24.0,25.0,1.0416666666666667,48977.0,,,-3424.0,任期満了,76.06,,,,佐渡市議会議員選挙（2016年04月10日投票）,1.0,25.0,22.0,1.1363636363636365,0.0,0.0,0.0,0.12,0.13636363636363635,0.72,0.2,0.08,0.6818181818181818,0.22727272727272727,0.09090909090909091,0.6818332596196374,0.24986178681999116,0.06830495356037151,0.0378796255344243,0.04997235736399823,0.03415247678018576,36176.0,0.0,55.8,12.204917041913886,27.0,51.0,59.0,65.0,72.0,54.36363636363637,12.219750981488403,27.0,48.0,56.5,64.5,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
