,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_地域政党いわて,得票数_幸福実現党,得票数_政党こどもの涙ゼロ,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_青年自由,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_地域政党いわて,得票率_幸福実現党,得票率_政党こどもの涙ゼロ,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_青年自由,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党いわて,一人あたり得票率_幸福実現党,一人あたり得票率_政党こどもの涙ゼロ,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,一人あたり得票率_青年自由,立候補者数_公明党,立候補者数_国民民主党,立候補者数_地域政党いわて,立候補者数_幸福実現党,立候補者数_政党こどもの涙ゼロ,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,立候補者数_青年自由,当選者数_公明党,当選者数_国民民主党,当選者数_地域政党いわて,当選者数_幸福実現党,当選者数_政党こどもの涙ゼロ,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党,当選者数_青年自由
久慈市議会議員再選挙（2010年03月14日投票）,久慈市議会議員再選挙,岩手県,久慈市,20100314.0,2010.0,3.0,14.0,20100307.0,70.58,1.0,2.0,2.0,30957.0,,,,選挙犯罪による当選無効,,,,,久慈市議会議員再選挙（2010年03月14日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,19942.0,1.0,56.0,5.0,51.0,53.5,56.0,58.5,61.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,,,,,,,,19942.0,,,,,19942.0,,,,,,,,1.0,,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,
久慈市議会議員選挙（2003年04月27日投票）,久慈市議会議員選挙,岩手県,久慈市,20030427.0,2003.0,4.0,27.0,20030420.0,85.07,25.0,27.0,1.08,29040.0,,,,任期満了,,,,,久慈市議会議員選挙（2003年04月27日投票）,1.0,27.0,25.0,1.08,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.18518518518518517,0.037037037037037035,0.76,0.2,0.04,0.7692213215426186,0.17264390403668223,0.05813477442069925,0.036629586740124696,0.03452878080733644,0.05813477442069925,24426.0,4.0,57.148148148148145,8.140905872352079,39.0,51.5,57.0,63.5,71.0,57.44,8.294962326617282,39.0,52.0,57.0,64.0,71.0,971.0,,,,,2281.0,,20116.0,1058.0,,,,24426.0,0.039752722508802095,,,,,0.09338409891099649,,0.8235486776385819,0.04331450094161959,,,,1.0,0.039752722508802095,,,,,0.04669204945549824,,0.03580646424515573,0.04331450094161959,,,,1.0,,,,,2.0,,23.0,1.0,,,,1.0,,,,,2.0,,21.0,1.0,,,
久慈市議会議員選挙（2007年04月22日投票）,久慈市議会議員選挙,岩手県,久慈市,20070422.0,2007.0,4.0,22.0,20070415.0,78.27,26.0,32.0,1.2307692307692308,31244.0,,,2204.0,任期満了,85.07,,,,久慈市議会議員選挙（2007年04月22日投票）,1.0,32.0,26.0,1.2307692307692308,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.03125,,,24284.0,5.0,58.4375,6.64707407435783,43.0,54.5,58.0,61.5,75.0,58.23076923076923,6.823644933429258,43.0,53.75,57.5,61.0,75.0,914.0,,,,,1768.0,700.0,19970.0,932.0,,,,24284.0,0.03763795091418218,,,,,0.0728051391862955,0.028825564157469938,0.8223521660352495,0.03837917970680283,,,,1.0,0.03763795091418218,,,,,0.03640256959314775,0.028825564157469938,0.030457487630935167,0.03837917970680283,,,,1.0,,,,,2.0,1.0,27.0,1.0,,,,1.0,,,,,2.0,1.0,21.0,1.0,,,
久慈市議会議員選挙（2011年08月07日投票）,久慈市議会議員選挙,岩手県,久慈市,20110807.0,2011.0,8.0,7.0,20110731.0,70.46,24.0,27.0,1.125,30608.0,,,-636.0,任期満了,78.27,,,,久慈市議会議員選挙（2011年08月07日投票）,1.0,27.0,24.0,1.125,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.037037037037037035,0.07407407407407407,0.9166666666666666,0.0,0.08333333333333333,0.9099864606190765,0.016387319669452356,0.07362621971147112,0.03791610252579485,0.016387319669452356,0.03681310985573556,21419.0,4.0,61.74074074074074,5.860050515473032,47.0,58.0,61.0,64.5,74.0,61.5,5.830951894845301,47.0,58.5,61.0,64.25,74.0,914.0,,,,,1902.0,,17754.0,849.0,,,,21419.0,0.04267239366917223,,,,,0.08879966384985294,,0.828890237639479,0.03963770484149587,,,,1.0,0.04267239366917223,,,,,0.04439983192492647,,0.036038705984325174,0.03963770484149587,,,,1.0,,,,,2.0,,23.0,1.0,,,,1.0,,,,,2.0,,20.0,1.0,,,
久慈市議会議員選挙（2015年07月26日投票）,久慈市議会議員選挙,岩手県,久慈市,20150726.0,2015.0,7.0,26.0,20150719.0,69.72,24.0,28.0,1.1666666666666667,,,,,任期満了,70.46,,,,久慈市議会議員選挙（2015年07月26日投票）,1.0,28.0,24.0,1.1666666666666667,0.0,0.0,0.0,0.07142857142857142,0.041666666666666664,0.6428571428571429,0.2857142857142857,0.07142857142857142,0.7083333333333334,0.20833333333333334,0.08333333333333333,0.680676305298045,0.25856189058071954,0.06076180412123541,0.03781535029433583,0.03232023632258994,0.030380902060617707,20819.0,4.0,63.0,6.923046397979103,42.0,59.0,63.5,67.0,78.0,62.666666666666664,7.009913614937696,42.0,59.0,64.0,67.0,78.0,788.0,,,,,1859.0,,17123.0,1049.0,,,,20819.0,0.03785004082808972,,,,,0.08929343388251117,,0.8224698592631731,0.050386666026226046,,,,1.0,0.03785004082808972,,,,,0.04464671694125558,,0.03426957746929888,0.050386666026226046,,,,1.0,,,,,2.0,,24.0,1.0,,,,1.0,,,,,2.0,,20.0,1.0,,,
九戸村議会議員選挙（2007年06月10日投票）,九戸村議会議員選挙,岩手県,九戸村,20070610.0,2007.0,6.0,10.0,20070605.0,87.51,14.0,20.0,1.4285714285714286,5819.0,,,,任期満了,,,,,九戸村議会議員選挙（2007年06月10日投票）,1.0,20.0,14.0,1.4285714285714286,0.0,0.0,0.0,0.1,0.07142857142857142,0.7,0.3,0.0,0.7142857142857143,0.2857142857142857,0.0,0.6996351804377835,0.30036481956221656,,0.04997394145984168,0.05006080326036943,,5071.0,2.0,61.55,7.179658766264591,49.0,57.75,60.0,65.75,77.0,60.57142857142857,7.4422950157892025,49.0,57.25,59.0,64.25,77.0,,,,,,545.0,,4526.0,,,,,5071.0,,,,,,0.10747387103135476,,0.8925261289686452,,,,,1.0,,,,,,0.05373693551567738,,0.04958478494270251,,,,,,,,,,2.0,,18.0,,,,,,,,,,2.0,,12.0,,,,
九戸村議会議員選挙（2011年06月12日投票）,九戸村議会議員選挙,岩手県,九戸村,20110612.0,2011.0,6.0,12.0,20110607.0,無投票,14.0,14.0,1.0,5606.0,,,-213.0,任期満了,87.51,,,,九戸村議会議員選挙（2011年06月12日投票）,1.0,14.0,14.0,1.0,1.0,1.0,0.0,0.07142857142857142,0.07142857142857142,0.9285714285714286,0.07142857142857142,0.0,0.9285714285714286,0.07142857142857142,0.0,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,12.0,,,,,,,,,,2.0,,12.0,,,,
九戸村議会議員選挙（2015年06月14日投票）,九戸村議会議員選挙,岩手県,九戸村,20150614.0,2015.0,6.0,14.0,20150609.0,84.44,12.0,18.0,1.5,,,,,任期満了,,,,,九戸村議会議員選挙（2015年06月14日投票）,1.0,18.0,12.0,1.5,0.0,0.0,0.0,0.1111111111111111,0.16666666666666666,0.6111111111111112,0.3333333333333333,0.05555555555555555,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.6046616881647432,0.31251414347137363,0.08282416836388323,0.054969244378613016,0.05208569057856227,0.08282416836388323,4419.0,2.0,64.16666666666667,9.148466781075639,45.0,58.75,65.0,69.25,85.0,62.583333333333336,9.196542224602076,45.0,57.75,61.5,66.25,85.0,,,,,,447.0,,3972.0,,,,,4419.0,,,,,,0.1011541072640869,,0.8988458927359131,,,,,1.0,,,,,,0.05057705363204345,,0.05617786829599457,,,,,,,,,,2.0,,16.0,,,,,,,,,,1.0,,11.0,,,,
九戸村議会議員選挙（2019年06月09日投票）,九戸村議会議員選挙,岩手県,九戸村,20190609.0,2019.0,6.0,9.0,20190604.0,81.13,12.0,15.0,1.25,4988.0,,,,任期満了,84.44,,,,九戸村議会議員選挙（2019年06月09日投票）,1.0,15.0,12.0,1.25,0.0,0.0,0.0,0.13333333333333333,0.16666666666666666,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.7095013644257008,0.14859836268915902,0.14190027288514018,0.06450012403870008,0.07429918134457951,0.07095013644257009,4031.0,2.0,66.46666666666667,9.30137385312275,49.0,61.0,66.0,70.5,89.0,67.0,8.755950357709132,55.0,61.0,65.5,70.25,89.0,,,,,,281.0,,3750.0,,,,,4031.0,,,,,,0.06970974944182586,,0.9302902505581742,,,,,1.0,,,,,,0.06970974944182586,,0.06644930361129815,,,,,,,,,,1.0,,14.0,,,,,,,,,,1.0,,11.0,,,,
二戸市議会議員選挙（2007年04月22日投票）,二戸市議会議員選挙,岩手県,二戸市,20070422.0,2007.0,4.0,22.0,20070415.0,73.82,24.0,29.0,1.2083333333333333,25813.0,,,,任期満了,,,,,二戸市議会議員選挙（2007年04月22日投票）,1.0,29.0,24.0,1.2083333333333333,0.0,0.0,0.0,0.034482758620689655,0.041666666666666664,0.896551724137931,0.0,0.10344827586206896,0.9166666666666666,0.0,0.08333333333333333,0.8896385924125542,,0.11036140758744584,0.03421686893894439,,0.036787135862481946,18926.0,4.0,59.206896551724135,7.203348408875089,48.0,54.0,58.0,63.0,78.0,58.791666666666664,6.48703300609934,48.0,54.0,58.0,62.25,73.0,1327.8,,,,,1889.81,,15045.39,663.0,,,,18926.0,0.07015745535242524,,,,,0.09985258374722604,,0.7949587868540632,0.035031174046285536,,,,1.0,0.07015745535242524,,,,,0.04992629187361302,,0.031798351474162524,0.035031174046285536,,,,1.0,,,,,2.0,,25.0,1.0,,,,1.0,,,,,2.0,,20.0,1.0,,,
二戸市議会議員選挙（2011年07月31日投票）,二戸市議会議員選挙,岩手県,二戸市,20110731.0,2011.0,7.0,31.0,20110724.0,66.44,22.0,23.0,1.0454545454545454,25000.0,,,-813.0,任期満了,73.82,,,,二戸市議会議員選挙（2011年07月31日投票）,1.0,23.0,22.0,1.0454545454545454,0.0,0.0,0.0,0.043478260869565216,0.045454545454545456,0.7391304347826086,0.21739130434782608,0.043478260869565216,0.7727272727272727,0.18181818181818182,0.045454545454545456,0.7570827605202457,0.19953916100122673,0.04337807847852755,0.04453428003060269,0.039907832200245345,0.04337807847852755,16482.98,4.0,,,,,,,,,,,,,,,1334.28,,,,,1965.7,,12597.0,586.0,,,,16482.980000000003,0.08094895461864297,,,,,0.11925634806327494,,0.7642428735580579,0.03555182376002397,,,,1.0,0.08094895461864297,,,,,0.05962817403163747,,0.04022330913463462,0.03555182376002397,,,,1.0,,,,,2.0,,19.0,1.0,,,,1.0,,,,,2.0,,18.0,1.0,,,
二戸市議会議員選挙（2015年07月26日投票）,二戸市議会議員選挙,岩手県,二戸市,20150726.0,2015.0,7.0,26.0,20150719.0,65.65,18.0,23.0,1.2777777777777777,,,,,任期満了,66.44,,,,二戸市議会議員選挙（2015年07月26日投票）,1.0,23.0,18.0,1.2777777777777777,0.0,0.0,0.0,0.043478260869565216,0.05555555555555555,0.9130434782608695,0.08695652173913043,0.0,0.9444444444444444,0.05555555555555555,0.0,0.924683503630872,0.07531649636912793,,0.044032547791946285,0.03765824818456397,,15561.0,4.0,62.78260869565217,9.50037308987815,34.0,59.0,63.0,68.0,81.0,61.888888888888886,9.585225256084309,34.0,58.5,62.0,65.75,81.0,1205.0,,,,,1994.22,,11820.779999999999,541.0,,,,15560.999999999998,0.0774371827003406,,,,,0.128155002891845,,0.7596414112203586,0.03476640318745582,,,,1.0,0.0774371827003406,,,,,0.0640775014459225,,0.03998112690633466,0.03476640318745582,,,,1.0,,,,,2.0,,19.0,1.0,,,,1.0,,,,,2.0,,14.0,1.0,,,
二戸市議会議員選挙（2019年07月21日投票）,二戸市議会議員選挙,岩手県,二戸市,20190721.0,2019.0,7.0,21.0,20190714.0,無投票,18.0,18.0,1.0,,,,,任期満了/小笠原清晃議員は2020年11月18日辞職しました。,65.65,,,,二戸市議会議員選挙（2019年07月21日投票）,1.0,18.0,18.0,1.0,1.0,1.0,0.0,0.05555555555555555,0.05555555555555555,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.1111111111111111,,,,,,,0.0,3.0,63.0,9.758187445536299,41.0,56.5,65.5,69.0,78.0,63.0,9.758187445536299,41.0,56.5,65.5,69.0,78.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,15.0,,,,,1.0,,,,,2.0,,15.0,,,,
住田町議会議員補欠選挙（2009年07月26日投票）,住田町議会議員補欠選挙,岩手県,住田町,20090726.0,2009.0,7.0,26.0,20090721.0,無投票,1.0,1.0,1.0,5604.0,,,,その他,,,,,住田町議会議員補欠選挙（2009年07月26日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,
住田町議会議員補欠選挙（2017年07月23日投票）,住田町議会議員補欠選挙,岩手県,住田町,20170723.0,2017.0,7.0,23.0,20170718.0,無投票,1.0,1.0,1.0,,,,,その他,,,,,住田町議会議員補欠選挙（2017年07月23日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,0.0,57.0,0.0,57.0,57.0,57.0,57.0,57.0,57.0,0.0,57.0,57.0,57.0,57.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
