,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_　,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_減税日本,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_　,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_減税日本,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_　,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_　,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_減税日本,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,当選者数_　,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_減税日本,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党
下呂市議会議員選挙（2008年04月13日投票）,下呂市議会議員選挙,岐阜県,下呂市,20080413.0,2008.0,4.0,13.0,20080406.0,,0.0,26.0,,30766.0,,,,任期満了,,,,,下呂市議会議員選挙（2008年04月13日投票）,5.0,26.0,21.0,1.2380952380952381,0.5384615384615384,0.4,0.4,0.11538461538461539,0.09523809523809523,0.7692307692307693,0.19230769230769232,0.038461538461538464,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.8093415869442881,0.19065841305571188,0.0,0.08992684299380979,0.06355280435190395,,8885.0,2.0,59.76923076923077,7.438505289824398,42.0,56.0,58.5,61.0,78.0,59.76190476190476,7.702224551293526,42.0,56.0,59.0,61.0,78.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,22.0,,,,,,,,,4.0,,,,17.0,,,,
下呂市議会議員選挙（2012年04月15日投票）,下呂市議会議員選挙,岐阜県,下呂市,20120415.0,2012.0,4.0,15.0,20120408.0,84.1,16.0,23.0,1.4375,29706.0,,,-1060.0,任期満了,,,,,下呂市議会議員選挙（2012年04月15日投票）,1.0,23.0,16.0,1.4375,0.0,0.0,0.0,0.13043478260869565,0.0625,0.782608695652174,0.17391304347826086,0.043478260869565216,0.75,0.1875,0.0625,0.7640050265515423,0.19574202440309701,0.04025294904536057,0.04244472369730791,0.048935506100774254,0.04025294904536057,24669.0,3.0,62.52173913043478,7.306159195693497,46.0,59.5,62.0,64.5,82.0,60.9375,6.8233857981210475,46.0,58.0,61.0,63.0,76.0,,1488.0,,,3471.46,,,,19709.54,,,,,24669.0,,0.06031861850905995,,,0.14072155336657344,,,,0.7989598281243666,,,,,1.0,,0.06031861850905995,,,0.03518038834164336,,,,0.04438665711802037,,,,,,1.0,,,4.0,,,,18.0,,,,,,1.0,,,2.0,,,,13.0,,,,
下呂市議会議員選挙（2016年04月10日投票）,下呂市議会議員選挙,岐阜県,下呂市,20160410.0,2016.0,4.0,10.0,20160403.0,79.73,14.0,16.0,1.1428571428571428,28185.0,,,-1521.0,任期満了,84.1,,,,下呂市議会議員選挙（2016年04月10日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.125,0.14285714285714285,0.75,0.1875,0.0625,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.7655193775768174,0.18472216766251306,0.049758454760669514,0.06379328146473479,0.06157405588750436,0.049758454760669514,22146.99,0.0,62.5,9.034655499796326,42.0,58.5,63.5,66.0,86.0,62.642857142857146,9.49892582541493,42.0,59.75,63.5,66.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下呂市議会議員選挙（2020年04月12日投票）,下呂市議会議員選挙,岐阜県,下呂市,20200412.0,2020.0,4.0,12.0,20200405.0,75.42,14.0,15.0,1.0714285714285714,,,,,任期満了,79.73,,,,下呂市議会議員選挙（2020年04月12日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.13333333333333333,0.14285714285714285,0.6,0.4,0.0,0.6428571428571429,0.35714285714285715,0.0,0.6125908099415455,0.3874091900584545,,0.06806564554906061,0.06456819834307574,,19973.997,3.0,60.93333333333333,7.252279335185287,46.0,56.5,61.0,67.0,71.0,60.92857142857143,7.5067996387492935,46.0,56.25,62.0,67.5,71.0,,1227.889,,,2421.364,,,,16324.743999999999,,,,,19973.997,,0.061474375909839174,,,0.12122581173913263,,,,0.8172998123510281,,,,,1.0,,0.061474375909839174,,,0.060612905869566316,,,,0.068108317695919,,,,,,1.0,,,2.0,,,,12.0,,,,,,1.0,,,2.0,,,,11.0,,,,
中津川市議会議員増員選挙（2005年02月27日投票）,中津川市議会議員増員選挙,岐阜県,中津川市,20050227.0,2005.0,2.0,27.0,20050220.0,,0.0,23.0,,24155.0,,,,その他,,,,,中津川市議会議員増員選挙（2005年02月27日投票）,7.0,23.0,13.0,1.7692307692307692,0.043478260869565216,0.14285714285714285,0.14285714285714285,0.043478260869565216,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.045454545454545456,,19902.0,2.0,58.95652173913044,6.830101284305762,43.0,53.5,59.0,65.0,72.0,57.38461538461539,6.856086140048367,43.0,53.0,56.0,62.0,67.0,,,,,2806.0,,,,,,,,,2806.0,,,,,1.0,,,,,,,,,1.0,,,,,0.25,,,,,,,,,,,,,4.0,,,,19.0,,,,,,,,,1.0,,,,12.0,,,,
中津川市議会議員選挙（2003年04月27日投票）,中津川市議会議員選挙,岐阜県,中津川市,20030427.0,2003.0,4.0,27.0,20030420.0,80.52,22.0,25.0,1.1363636363636365,43617.0,,,,任期満了,,,,,中津川市議会議員選挙（2003年04月27日投票）,1.0,25.0,22.0,1.1363636363636365,0.0,0.0,0.0,0.08,0.045454545454545456,0.64,0.28,0.08,0.6818181818181818,0.22727272727272727,0.09090909090909091,0.6763034132962593,0.24021855244736381,0.08347803425637694,0.04226896333101621,0.03431693606390911,0.04173901712818847,34841.979999999996,3.0,54.64,7.18264575208885,44.0,49.0,55.0,57.0,70.0,54.63636363636363,7.25850882848696,44.0,49.25,54.0,56.75,70.0,,3054.2799999999997,,,4157.02,,,,27630.68,,,,,34841.98,,0.08766091938517843,,,0.11931067063352886,,,,0.7930284099812926,,,,,1.0,,0.04383045969258922,,,0.03977022354450962,,,,0.03965142049906463,,,,,,2.0,,,3.0,,,,20.0,,,,,,2.0,,,3.0,,,,17.0,,,,
中津川市議会議員選挙（2007年04月22日投票）,中津川市議会議員選挙,岐阜県,中津川市,20070422.0,2007.0,4.0,22.0,20070415.0,61.73,0.0,34.0,,68079.0,,,24462.0,任期満了,80.52,,,,中津川市議会議員選挙（2007年04月22日投票）,8.0,34.0,30.0,1.1333333333333333,0.17647058823529413,0.625,0.625,0.08823529411764706,0.06666666666666667,0.7352941176470589,0.17647058823529413,0.08823529411764706,0.8,0.13333333333333333,0.06666666666666667,0.7106628793478389,0.21234561135176463,0.07699150930039644,0.03740330943935994,0.03539093522529411,0.02566383643346548,41601.990000000005,3.0,56.35294117647059,8.028926940760465,36.0,53.0,56.0,60.75,74.0,56.43333333333333,8.159588769594269,36.0,53.0,56.0,60.75,74.0,,3256.84,,,6181.37,,,,,,,,,9438.21,,0.3450696689308672,,,0.6549303310691329,,,,,,,,,1.0,,0.1725348344654336,,,0.13098606621382658,,,,,,,,,,2.0,,,5.0,,,,27.0,,,,,,2.0,,,3.0,,,,25.0,,,,
中津川市議会議員選挙（2011年04月24日投票）,中津川市議会議員選挙,岐阜県,中津川市,20110424.0,2011.0,4.0,24.0,20110417.0,74.61,24.0,28.0,1.1666666666666667,66835.0,,,-1244.0,任期満了,61.73,,,,中津川市議会議員選挙（2011年04月24日投票）,1.0,28.0,24.0,1.1666666666666667,0.0,0.0,0.0,0.07142857142857142,0.041666666666666664,0.8214285714285714,0.17857142857142858,0.0,0.7916666666666666,0.20833333333333334,0.0,0.780510624028845,0.21948937597115498,,0.033935244522993256,0.043897875194230995,,49444.990000000005,3.0,,,,,,,,58.458333333333336,7.499884258366184,40.0,54.25,60.0,62.25,78.0,,3378.4700000000003,,,3141.0299999999997,,,,42925.49,,,,,49444.99,,0.06832785283200583,,,0.06352574851365123,,,,0.868146398654343,,,,,1.0,,0.03416392641600292,,,0.02117524950455041,,,,0.037745495593667085,,,,,,2.0,,,3.0,,,,23.0,,,,,,2.0,,,0.0,,,,22.0,,,,
中津川市議会議員選挙（2015年04月26日投票）,中津川市議会議員選挙,岐阜県,中津川市,20150426.0,2015.0,4.0,26.0,20150419.0,70.17,21.0,26.0,1.238095238095238,,,,,任期満了,74.61,,,,中津川市議会議員選挙（2015年04月26日投票）,1.0,26.0,21.0,1.2380952380952381,0.0,0.0,0.0,0.11538461538461539,0.09523809523809523,0.6923076923076923,0.2692307692307692,0.038461538461538464,0.7142857142857143,0.2857142857142857,0.0,0.6881581378976548,0.28559554714656576,0.02624631495577947,0.03823100766098082,0.04079936387808082,0.02624631495577947,45454.0,3.0,60.96153846153846,7.439400147606863,44.0,54.25,61.5,65.75,82.0,59.666666666666664,6.304445395594425,44.0,54.0,61.0,65.0,69.0,,3129.54,,,2839.0,,,,39485.46,,,,,45454.0,,0.0688507062084745,,,0.06245874950499406,,,,0.8686905442865315,,,,,1.0,,0.03442535310423725,,,0.03122937475249703,,,,0.03948593383120597,,,,,,2.0,,,2.0,,,,22.0,,,,,,2.0,,,1.0,,,,18.0,,,,
中津川市議会議員選挙（2019年04月21日投票）,中津川市議会議員選挙,岐阜県,中津川市,20190421.0,2019.0,4.0,21.0,20190414.0,63.4,21.0,22.0,1.0476190476190477,64543.0,,,,任期満了,70.17,,,,中津川市議会議員選挙（2019年04月21日投票）,1.0,22.0,21.0,1.0476190476190477,0.0,0.0,0.0,,,,,,,,,,,,,,,40557.998,3.0,,,,,,,,,,,,,,,,3522.0,,,3743.3010000000004,,,,33292.697,,,,,40557.998,,0.08683860579114383,,,0.09229501416711941,,,,0.8208663800417367,,,,,1.0,,0.043419302895571915,,,0.046147507083559705,,,,0.045603687780096484,,,,,,2.0,,,2.0,,,,18.0,,,,,,2.0,,,2.0,,,,17.0,,,,
八百津町議会議員選挙（1999年08月29日投票）,八百津町議会議員選挙,岐阜県,八百津町,19990829.0,1999.0,8.0,29.0,19990824.0,89.07,15.0,17.0,1.1333333333333333,11359.0,,,,任期満了,,,,,八百津町議会議員選挙（1999年08月29日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.4117647058823529,0.0,0.5625,0.4375,0.0,0.56163973668462,0.43836026331538,,0.056163973668462,0.06262289475934,,10026.0,2.0,61.8235294117647,5.962976892929029,45.0,58.0,63.0,66.0,69.0,61.6875,6.120853188077623,45.0,57.75,62.5,66.5,69.0,,,,,704.0,,,,9322.0,,,,,10026.0,,,,,0.07021743466985837,,,,0.9297825653301416,,,,,1.0,,,,,0.07021743466985837,,,,0.05811141033313385,,,,,,,,,1.0,,,,16.0,,,,,,,,,1.0,,,,15.0,,,,
八百津町議会議員選挙（2003年08月24日投票）,八百津町議会議員選挙,岐阜県,八百津町,20030824.0,2003.0,8.0,24.0,20030819.0,無投票,15.0,15.0,1.0,11196.0,,,-163.0,任期満了,89.07,,,,八百津町議会議員選挙（2003年08月24日投票）,1.0,15.0,15.0,1.0,1.0,1.0,0.0,0.06666666666666667,0.06666666666666667,0.8,0.13333333333333333,0.06666666666666667,0.8,0.13333333333333333,0.06666666666666667,,,,,,,0.0,2.0,64.66666666666667,6.518350166176169,49.0,61.0,66.0,69.5,73.0,64.66666666666667,6.518350166176169,49.0,61.0,66.0,69.5,73.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,14.0,,,,,,,,,1.0,,,,14.0,,,,
八百津町議会議員選挙（2007年08月26日投票）,八百津町議会議員選挙,岐阜県,八百津町,20070826.0,2007.0,8.0,26.0,20070821.0,80.31,10.0,13.0,1.3,10846.0,,,-350.0,任期満了,,,,,八百津町議会議員選挙（2007年08月26日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.07692307692307693,0.1,0.8461538461538461,0.15384615384615385,0.0,0.8,0.2,0.0,0.7902552204176334,0.2097447795823666,,0.07184138367433031,0.1048723897911833,,8620.0,2.0,64.61538461538461,8.138592408428655,46.0,60.0,65.0,71.0,76.0,62.2,7.678541528180987,46.0,59.25,64.5,65.75,73.0,,,,,730.0,,,,7890.0,,,,,8620.0,,,,,0.08468677494199536,,,,0.9153132250580046,,,,,1.0,,,,,0.08468677494199536,,,,0.07627610208816706,,,,,,,,,1.0,,,,12.0,,,,,,,,,1.0,,,,9.0,,,,
八百津町議会議員選挙（2011年08月28日投票）,八百津町議会議員選挙,岐阜県,八百津町,20110828.0,2011.0,8.0,28.0,20110823.0,75.25,10.0,12.0,1.2,10391.0,,,-455.0,任期満了,80.31,,,,八百津町議会議員選挙（2011年08月28日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.5,0.5,0.0,0.42006228912535687,0.5799377108746432,,0.08401245782507137,0.08284824441066331,,7706.0,2.0,,,,,,,,,,,,,,,,,,,622.0,,,,7084.0,,,,,7706.0,,,,,0.08071632494160394,,,,0.919283675058396,,,,,1.0,,,,,0.08071632494160394,,,,0.08357124318712691,,,,,,,,,1.0,,,,11.0,,,,,,,,,1.0,,,,9.0,,,,
八百津町議会議員選挙（2015年08月30日投票）,八百津町議会議員選挙,岐阜県,八百津町,20150830.0,2015.0,8.0,30.0,20150825.0,68.52,10.0,11.0,1.1,9858.0,,,-533.0,任期満了,75.25,,,,八百津町議会議員選挙（2015年08月30日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.8,0.1,0.1,0.6759634128055181,0.16839106312790522,0.1556455240665767,0.08449542660068976,0.08419553156395261,0.1556455240665767,6669.0,2.0,59.27272727272727,11.322470892320192,39.0,51.5,60.0,66.0,79.0,59.2,11.872657663724665,39.0,50.25,60.0,67.5,79.0,,,,,640.0,,,,6029.0,,,,,6669.0,,,,,0.09596641175588544,,,,0.9040335882441145,,,,,1.0,,,,,0.09596641175588544,,,,0.09040335882441144,,,,,,,,,1.0,,,,10.0,,,,,,,,,1.0,,,,9.0,,,,
八百津町議会議員選挙（2019年08月25日投票）,八百津町議会議員選挙,岐阜県,八百津町,20190825.0,2019.0,8.0,25.0,20190820.0,68.69,10.0,12.0,1.2,,,,,任期満了,68.52,,,,八百津町議会議員選挙（2019年08月25日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.08333333333333333,0.1,0.5833333333333334,0.4166666666666667,0.0,0.6,0.4,0.0,0.6168517456388535,0.3831482543611465,,0.08812167794840764,0.07662965087222931,,6396.999,2.0,63.5,9.647970425604202,50.0,56.75,63.0,68.75,83.0,63.4,10.55651457631732,50.0,54.25,61.0,70.25,83.0,,,,,589.0,,,,5807.999,,,,,6396.999,,,,,0.09207442427300677,,,,0.9079255757269933,,,,,1.0,,,,,0.09207442427300677,,,,0.08253868870245394,,,,,,,,,1.0,,,,11.0,,,,,,,,,1.0,,,,9.0,,,,
北方町議会議員選挙（2007年09月23日投票）,北方町議会議員選挙,岐阜県,北方町,20070923.0,2007.0,9.0,23.0,20070918.0,57.51,10.0,13.0,1.3,13683.0,,,,任期満了,,,,,北方町議会議員選挙（2007年09月23日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.15384615384615385,0.2,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.7,0.2,0.1,0.6554921714735664,0.23660788260485885,0.10789994592157473,0.0819365214341958,0.05915197065121471,0.10789994592157473,7784.99,3.0,58.46153846153846,6.777966391357135,48.0,52.0,59.0,66.0,67.0,58.7,7.029224708315989,48.0,52.5,58.5,66.0,67.0,,1093.0,,,770.0,,,,5921.99,,,,,7784.99,,0.14039838201462046,,,0.0989082837614435,,,,0.760693334223936,,,,,1.0,,0.14039838201462046,,,0.0989082837614435,,,,0.06915393947490328,,,,,,1.0,,,1.0,,,,11.0,,,,,,1.0,,,1.0,,,,8.0,,,,
