,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_みどり京都,得票数_みんなの党,得票数_京都党,得票数_公明党,得票数_北近畿の明日をつくる会,得票数_向日市・生活者ネットワーク,得票数_国民新党,得票数_国民民主党,得票数_地域政党ふくちやま,得票数_地域政党京都久御山党,得票数_地域政党京都党,得票数_地域政党京都宇治党,得票数_宇治維新21（片岡維新）,得票数_宇治維新の会,得票数_市民ネットワーク・きょうと,得票数_幸福実現党,得票数_政事公団太平会,得票数_新社会党,得票数_日本共産党,得票数_日本第一党,得票数_日本維新の会,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_みどり京都,得票率_みんなの党,得票率_京都党,得票率_公明党,得票率_北近畿の明日をつくる会,得票率_向日市・生活者ネットワーク,得票率_国民新党,得票率_国民民主党,得票率_地域政党ふくちやま,得票率_地域政党京都久御山党,得票率_地域政党京都党,得票率_地域政党京都宇治党,得票率_宇治維新21（片岡維新）,得票率_宇治維新の会,得票率_市民ネットワーク・きょうと,得票率_幸福実現党,得票率_政事公団太平会,得票率_新社会党,得票率_日本共産党,得票率_日本第一党,得票率_日本維新の会,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_みどり京都,一人あたり得票率_みんなの党,一人あたり得票率_京都党,一人あたり得票率_公明党,一人あたり得票率_北近畿の明日をつくる会,一人あたり得票率_向日市・生活者ネットワーク,一人あたり得票率_国民新党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党ふくちやま,一人あたり得票率_地域政党京都久御山党,一人あたり得票率_地域政党京都党,一人あたり得票率_地域政党京都宇治党,一人あたり得票率_宇治維新21（片岡維新）,一人あたり得票率_宇治維新の会,一人あたり得票率_市民ネットワーク・きょうと,一人あたり得票率_幸福実現党,一人あたり得票率_政事公団太平会,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本第一党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_みどり京都,立候補者数_みんなの党,立候補者数_京都党,立候補者数_公明党,立候補者数_北近畿の明日をつくる会,立候補者数_向日市・生活者ネットワーク,立候補者数_国民新党,立候補者数_国民民主党,立候補者数_地域政党ふくちやま,立候補者数_地域政党京都久御山党,立候補者数_地域政党京都党,立候補者数_地域政党京都宇治党,立候補者数_宇治維新21（片岡維新）,立候補者数_宇治維新の会,立候補者数_市民ネットワーク・きょうと,立候補者数_幸福実現党,立候補者数_政事公団太平会,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本第一党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_みどり京都,当選者数_みんなの党,当選者数_京都党,当選者数_公明党,当選者数_北近畿の明日をつくる会,当選者数_向日市・生活者ネットワーク,当選者数_国民新党,当選者数_国民民主党,当選者数_地域政党ふくちやま,当選者数_地域政党京都久御山党,当選者数_地域政党京都党,当選者数_地域政党京都宇治党,当選者数_宇治維新21（片岡維新）,当選者数_宇治維新の会,当選者数_市民ネットワーク・きょうと,当選者数_幸福実現党,当選者数_政事公団太平会,当選者数_新社会党,当選者数_日本共産党,当選者数_日本第一党,当選者数_日本維新の会,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由党,当選者数_自由民主党
久御山町議会議員選挙（2015年04月26日投票）,久御山町議会議員選挙,京都府,久御山町,20150426.0,2015.0,4.0,26.0,20150421.0,55.79,14.0,16.0,1.1428571428571428,,,,,任期満了,56.69,,,,久御山町議会議員選挙（2015年04月26日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.1875,0.21428571428571427,0.5625,0.4375,0.0,0.6428571428571429,0.35714285714285715,0.0,0.6536833192209992,0.34631668077900085,,0.07263147991344436,0.04947381153985726,,7086.0,3.0,52.5,13.019216566291536,31.0,41.5,57.5,65.0,68.0,55.42857142857143,11.178514376851219,32.0,47.25,59.0,65.0,68.0,,,,,1041.0,,,,,,,,,,,,,,,777.0,,,,5268.0,,,,,,7086.0,,,,,0.14690939881456394,,,,,,,,,,,,,,,0.1096528365791702,,,,0.7434377646062659,,,,,,1.0,,,,,0.07345469940728197,,,,,,,,,,,,,,,0.0548264182895851,,,,0.061953147050522156,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,12.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,10.0,,,,,
久御山町議会議員選挙（2019年04月21日投票）,久御山町議会議員選挙,京都府,久御山町,20190421.0,2019.0,4.0,21.0,20190416.0,50.86,14.0,15.0,1.0714285714285714,12912.0,,,,任期満了,55.79,,,,久御山町議会議員選挙（2019年04月21日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.2,0.21428571428571427,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.8156519065190652,0.10439729397293973,0.07995079950799508,0.07415017331991501,0.052198646986469865,0.03997539975399754,6504.0,5.0,60.666666666666664,10.38374798530002,35.0,54.5,63.0,69.0,74.0,59.714285714285715,10.09546271088843,35.0,53.25,63.0,68.25,71.0,,,,,1008.0,,,,,,255.0,,,,,,,,,674.0,,,,4236.0,,331.0,,,,6504.0,,,,,0.15498154981549817,,,,,,0.03920664206642067,,,,,,,,,0.10362853628536285,,,,0.6512915129151291,,0.050891758917589174,,,,1.0,,,,,0.07749077490774908,,,,,,0.03920664206642067,,,,,,,,,0.051814268142681426,,,,0.07236572365723656,,0.050891758917589174,,,,,,,,2.0,,,,,,1.0,,,,,,,,,2.0,,,,9.0,,1.0,,,,,,,,2.0,,,,,,1.0,,,,,,,,,2.0,,,,8.0,,1.0,,,
亀岡市議会議員選挙（2007年01月21日投票）,亀岡市議会議員選挙,京都府,亀岡市,20070121.0,2007.0,1.0,21.0,20070114.0,41.98,28.0,32.0,1.1428571428571428,74413.0,,,,任期満了,,,,,亀岡市議会議員選挙（2007年01月21日投票）,1.0,32.0,26.0,1.2307692307692308,0.0,0.0,0.0,0.1875,0.19230769230769232,0.5625,0.34375,0.09375,0.6153846153846154,0.34615384615384615,0.038461538461538464,0.589820843858172,0.35025774160351764,0.05992141453831041,0.03276782465878733,0.03184161287304706,0.01997380484610347,42756.0,4.0,55.03125,8.005796240068817,30.0,50.5,57.0,59.25,71.0,55.42307692307692,8.49059695701018,30.0,51.5,57.5,59.75,71.0,,,,,5102.0,,,,,,,,,,,,,,,6368.8,,,2564.0,28721.199999999997,,,,,,42756.0,,,,,0.11932828141079614,,,,,,,,,,,,,,,0.1489568715501918,,,0.059968191598839926,0.6717466554401721,,,,,,1.0,,,,,0.039776093803598714,,,,,,,,,,,,,,,0.02979137431003836,,,0.029984095799419963,0.030533938883644186,,,,,,,,,,3.0,,,,,,,,,,,,,,,5.0,,,2.0,22.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,5.0,,,2.0,16.0,,,,,
亀岡市議会議員選挙（2011年01月23日投票）,亀岡市議会議員選挙,京都府,亀岡市,20110123.0,2011.0,1.0,23.0,20110116.0,51.92,26.0,29.0,1.1153846153846154,74194.0,,,-219.0,任期満了,41.98,,,,亀岡市議会議員選挙（2011年01月23日投票）,1.0,29.0,26.0,1.1153846153846154,0.0,0.0,0.0,0.2413793103448276,0.23076923076923078,0.6551724137931034,0.2413793103448276,0.10344827586206896,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.6607606898180959,0.2607291912749035,0.07851011890700055,0.03477687841147873,0.037247027324986214,0.026170039635666848,38097.0,5.0,,,,,,,,,,,,,,,,,,,5119.0,,,,,,,,,,,,,,,5819.0,,,1390.0,24128.0,,,,,1641.0,38097.0,,,,,0.13436753550148306,,,,,,,,,,,,,,,0.1527416856970365,,,0.03648581253117043,0.6333307084547339,,,,,0.04307425781557603,1.0,,,,,0.04478917850049435,,,,,,,,,,,,,,,0.0305483371394073,,,0.03648581253117043,0.033333195181828104,,,,,0.04307425781557603,,,,,3.0,,,,,,,,,,,,,,,5.0,,,1.0,19.0,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,5.0,,,1.0,16.0,,,,,1.0
亀岡市議会議員選挙（2015年01月25日投票）,亀岡市議会議員選挙,京都府,亀岡市,20150125.0,2015.0,1.0,25.0,20150118.0,47.97,24.0,27.0,1.125,73398.0,,,-796.0,任期満了,51.92,,,,亀岡市議会議員選挙（2015年01月25日投票）,1.0,27.0,24.0,1.125,0.0,0.0,0.0,0.18518518518518517,0.16666666666666666,0.7037037037037037,0.2222222222222222,0.07407407407407407,0.7083333333333334,0.25,0.041666666666666664,0.6986175380105194,0.2583993906820337,0.0429830713074469,0.03676934410581681,0.04306656511367229,0.02149153565372345,34793.0,4.0,,,,,,,,,,,,,,,,,,,4634.0,,,,,,,,,,,,,,,5857.0,,,,22386.0,,,,,1916.0,34793.0,,,,,0.13318771017158623,,,,,,,,,,,,,,,0.168338458885408,,,,0.6434052826718017,,,,,0.05506854827120398,1.0,,,,,0.04439590339052874,,,,,,,,,,,,,,,0.042084614721352,,,,0.03386343593009483,,,,,0.05506854827120398,,,,,3.0,,,,,,,,,,,,,,,4.0,,,,19.0,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,4.0,,,,16.0,,,,,1.0
亀岡市議会議員選挙（2019年01月27日投票）,亀岡市議会議員選挙,京都府,亀岡市,20190127.0,2019.0,1.0,27.0,20190120.0,47.27,24.0,28.0,1.1666666666666667,,,,,任期満了,47.97,,,,亀岡市議会議員選挙（2019年01月27日投票）,1.0,28.0,24.0,1.1666666666666667,0.0,0.0,0.0,0.21428571428571427,0.16666666666666666,0.6785714285714286,0.25,0.07142857142857142,0.7083333333333334,0.2916666666666667,0.0,0.6830940896146916,0.2883419538559888,0.028563956529319465,0.0359523205060364,0.041191707693712686,0.014281978264659732,34414.0,4.0,59.714285714285715,10.02089653409009,27.0,55.75,61.0,67.0,72.0,60.125,9.93022532473458,27.0,55.75,61.0,67.0,72.0,,,,,4406.0,,,,,,,,,,,,,,,4846.0,,1112.0,,24050.0,,,,,,34414.0,,,,,0.1280292904050677,,,,,,,,,,,,,,,0.14081478468065323,,0.032312430987388854,,0.6988434939268903,,,,,,1.0,,,,,0.042676430135022564,,,,,,,,,,,,,,,0.03520369617016331,,0.032312430987388854,,0.034942174696344516,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,1.0,,20.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,1.0,,16.0,,,,,
井手町議会議員補欠選挙（2019年08月11日投票）,井手町議会議員補欠選挙,京都府,井手町,20190811.0,2019.0,8.0,11.0,20190806.0,無投票,1.0,1.0,1.0,,,,,その他/村田忠文議員の死去に伴う欠員,,,,,井手町議会議員補欠選挙（2019年08月11日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,55.0,0.0,55.0,55.0,55.0,55.0,55.0,55.0,0.0,55.0,55.0,55.0,55.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
井手町議会議員選挙（2006年04月09日投票）,井手町議会議員選挙,京都府,井手町,20060409.0,2006.0,4.0,9.0,20060404.0,82.57,12.0,15.0,1.25,6983.0,,,,任期満了,,,,,井手町議会議員選挙（2006年04月09日投票）,1.0,15.0,12.0,1.25,0.0,0.0,0.0,0.0,0.0,0.8,0.13333333333333333,0.06666666666666667,0.8333333333333334,0.16666666666666666,0.0,0.8269737998944963,0.16458589766133286,0.008440302444170916,0.06891448332454135,0.08229294883066643,0.008440302444170916,5687.0,4.0,53.733333333333334,8.330399483551528,42.0,46.5,52.0,60.5,67.0,52.75,8.535465228484425,42.0,45.5,50.5,59.25,67.0,,,,,463.0,,,,,,,,,,,,,,,453.0,,,294.0,4477.0,,,,,,5687.0,,,,,0.08141375065939863,,,,,,,,,,,,,,,0.07965535431686302,,,0.05169685247054686,0.7872340425531915,,,,,,1.0,,,,,0.08141375065939863,,,,,,,,,,,,,,,0.07965535431686302,,,0.05169685247054686,0.06560283687943262,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,12.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,9.0,,,,,
井手町議会議員選挙（2010年04月11日投票）,井手町議会議員選挙,京都府,井手町,20100411.0,2010.0,4.0,11.0,20100406.0,,12.0,13.0,1.0833333333333333,6766.0,,,-217.0,任期満了,82.57,,,,井手町議会議員選挙（2010年04月11日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.15384615384615385,0.16666666666666666,0.7692307692307693,0.15384615384615385,0.07692307692307693,0.8333333333333334,0.16666666666666666,0.0,0.8422094634725796,0.13383488418135023,0.023955652346070087,0.08422094634725796,0.06691744209067511,0.023955652346070087,5051.0,4.0,,,,,,,,,,,,,,,,,,,601.0,,,,,,,,,,,,,,,624.0,,,245.0,3581.0,,,,,,5051.0,,,,,0.1189863393387448,,,,,,,,,,,,,,,0.12353989309047714,,,0.04850524648584439,0.7089685210849337,,,,,,1.0,,,,,0.1189863393387448,,,,,,,,,,,,,,,0.06176994654523857,,,0.04850524648584439,0.07877428012054818,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,1.0,9.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,1.0,8.0,,,,,
井手町議会議員選挙（2014年04月06日投票）,井手町議会議員選挙,京都府,井手町,20140406.0,2014.0,4.0,6.0,20140401.0,,10.0,12.0,1.2,,,,,任期満了,,,,,井手町議会議員選挙（2014年04月06日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.16666666666666666,0.1,0.75,0.16666666666666666,0.08333333333333333,0.9,0.1,0.0,0.833407193763758,0.15526801507180132,0.01132479116444067,0.09260079930708423,0.07763400753590066,0.01132479116444067,4679.998,3.0,57.583333333333336,7.952550254827413,40.0,53.25,58.5,63.25,71.0,57.2,8.657944328765344,40.0,51.75,56.5,63.75,71.0,,,,,632.0,,,,,,,,,,,,,,,725.6489999999999,,,,3322.349,,,,,,4679.998,,,,,0.13504279275333025,,,,,,,,,,,,,,,0.1550532713902869,,,,0.7099039358563829,,,,,,1.0,,,,,0.13504279275333025,,,,,,,,,,,,,,,0.07752663569514345,,,,0.07887821509515365,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,9.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,8.0,,,,,
井手町議会議員選挙（2018年04月08日投票）,井手町議会議員選挙,京都府,井手町,20180408.0,2018.0,4.0,8.0,20180403.0,68.18,10.0,11.0,1.1,,,,,任期満了,,,,,井手町議会議員選挙（2018年04月08日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.09090909090909091,0.1,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.9,0.1,0.0,0.8636258077392471,0.11808291689810534,0.01829127536264769,0.09595842308213857,0.11808291689810534,0.01829127536264769,4318.999,3.0,58.90909090909091,8.91836252249507,42.0,54.5,62.0,65.5,70.0,58.4,9.2,42.0,53.75,60.5,66.0,70.0,,,,,638.0,,,,,,,,,,,,,,,518.836,,,,3162.163,,,,,,4318.999,,,,,0.14771941368821803,,,,,,,,,,,,,,,0.1201287613171478,,,,0.7321518249946342,,,,,,1.0,,,,,0.14771941368821803,,,,,,,,,,,,,,,0.1201287613171478,,,,0.08135020277718158,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,9.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,8.0,,,,,
京丹後市議会議員選挙（2008年04月27日投票）,京丹後市議会議員選挙,京都府,京丹後市,20080427.0,2008.0,4.0,27.0,20080420.0,78.45,24.0,27.0,1.125,50277.0,,,,任期満了,,,,,京丹後市議会議員選挙（2008年04月27日投票）,1.0,27.0,24.0,1.125,0.0,0.0,0.0,0.07407407407407407,0.08333333333333333,0.5555555555555556,0.4444444444444444,0.0,0.5833333333333334,0.4166666666666667,0.0,0.5624118422072386,0.43758815779276145,,0.03749412281381591,0.036465679816063454,,38708.99999999999,4.0,57.111111111111114,7.19739321808962,40.0,52.5,56.0,61.0,76.0,56.916666666666664,7.421346837932377,40.0,52.75,56.0,61.0,76.0,,,,,3225.76,,,,,,,,,,,,,,,5657.87,,,,28034.37,,,,,1791.0,38709.0,,,,,0.08333359167118759,,,,,,,,,,,,,,,0.1461641995401586,,,,0.7242338990932341,,,,,0.04626830969541967,1.0,,,,,0.041666795835593795,,,,,,,,,,,,,,,0.03654104988503965,,,,0.036211694954661706,,,,,0.04626830969541967,,,,,2.0,,,,,,,,,,,,,,,4.0,,,,20.0,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,4.0,,,,17.0,,,,,1.0
京丹後市議会議員選挙（2012年04月22日投票）,京丹後市議会議員選挙,京都府,京丹後市,20120422.0,2012.0,4.0,22.0,20120415.0,74.21,22.0,24.0,1.0909090909090908,48782.0,,,-1495.0,任期満了,78.45,,,,京丹後市議会議員選挙（2012年04月22日投票）,1.0,24.0,22.0,1.0909090909090908,0.0,0.0,0.0,0.08333333333333333,0.09090909090909091,0.5833333333333334,0.4166666666666667,0.0,0.6363636363636364,0.36363636363636365,0.0,0.6478503202041663,0.35214967979583367,,0.04627502287172617,0.035214967979583366,,35378.990000000005,3.0,58.916666666666664,5.7439581784302325,41.0,56.0,59.5,62.0,70.0,58.36363636363637,5.685271677728935,41.0,56.0,59.0,61.0,70.0,,,,,2762.12,,,,,,,,,,,,,,,6172.0,,,,26444.87,,,,,,35378.99,,,,,0.0780723248459043,,,,,,,,,,,,,,,0.1744538213216375,,,,0.7474738538324582,,,,,,1.0,,,,,0.0780723248459043,,,,,,,,,,,,,,,0.043613455330409376,,,,0.03934072914907675,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,19.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,17.0,,,,,
京丹後市議会議員選挙（2016年04月24日投票）,京丹後市議会議員選挙,京都府,京丹後市,20160424.0,2016.0,4.0,24.0,20160417.0,72.65,22.0,26.0,1.181818181818182,46850.0,,,-1932.0,任期満了,74.21,,,,京丹後市議会議員選挙（2016年04月24日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.11538461538461539,0.13636363636363635,0.6153846153846154,0.34615384615384615,0.038461538461538464,0.5909090909090909,0.36363636363636365,0.045454545454545456,0.5821734753567184,0.37655296269594835,0.04127356194733338,0.0363858422097949,0.04183921807732759,0.04127356194733338,33386.99,0.0,59.30769230769231,9.674586974961498,31.0,57.0,62.5,65.0,75.0,58.77272727272727,10.224444053265053,31.0,56.25,63.0,65.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
京丹後市議会議員選挙（2020年04月26日投票）,京丹後市議会議員選挙,京都府,京丹後市,20200426.0,2020.0,4.0,26.0,20200419.0,68.3,20.0,27.0,1.35,,,,,任期満了,72.65,,,,京丹後市議会議員選挙（2020年04月26日投票）,1.0,27.0,20.0,1.35,0.0,0.0,0.0,0.14814814814814814,0.15,0.5925925925925926,0.37037037037037035,0.037037037037037035,0.7,0.3,0.0,0.6313966200952849,0.35816967738403077,0.010433702520684408,0.0394622887559553,0.03581696773840308,0.010433702520684408,30573.998,7.0,56.22222222222222,12.58845247846093,26.0,46.5,60.0,66.0,79.0,56.65,13.502870065286121,26.0,47.75,60.5,67.25,79.0,123.0,,,,2032.579,,,,,,,,,,,,,,,4272.42,,2148.0,,20011.999,,727.0,,,1259.0,30573.998,0.004023026363774865,,,,0.0664806414915053,,,,,,,,,,,,,,,0.13974031135869114,,0.07025577747470252,,0.6545430859254979,,0.02377837533710835,,,0.04117878204871996,1.0,0.004023026363774865,,,,0.0664806414915053,,,,,,,,,,,,,,,0.034935077839672785,,0.07025577747470252,,0.036363504773638776,,0.02377837533710835,,,0.04117878204871996,1.0,,,,1.0,,,,,,,,,,,,,,,4.0,,1.0,,18.0,,1.0,,,1.0,0.0,,,,1.0,,,,,,,,,,,,,,,3.0,,1.0,,14.0,,0.0,,,1.0
京丹波町議会議員選挙（2005年11月20日投票）,京丹波町議会議員選挙,京都府,京丹波町,20051120.0,2005.0,11.0,20.0,20051115.0,81.02,18.0,24.0,1.3333333333333333,14556.0,,,,その他,,,,,京丹波町議会議員選挙（2005年11月20日投票）,1.0,24.0,18.0,1.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.041666666666666664,,11578.0,2.0,60.708333333333336,5.689750775639377,52.0,56.75,59.5,65.25,73.0,60.611111111111114,6.065740670070161,52.0,57.0,58.5,65.75,73.0,,,,,,,,,,,,,,,,,,,,1790.0,,,,9788.0,,,,,,11578.0,,,,,,,,,,,,,,,,,,,,0.15460355847296597,,,,0.8453964415270341,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.05153451949098866,,,,0.040256973406049244,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,15.0,,,,,
京丹波町議会議員選挙（2009年11月15日投票）,京丹波町議会議員選挙,京都府,京丹波町,20091115.0,2009.0,11.0,15.0,20091110.0,78.87,16.0,21.0,1.3125,14006.0,,,-550.0,任期満了,81.02,,,,京丹波町議会議員選挙（2009年11月15日投票）,1.0,21.0,16.0,1.3125,0.0,0.0,0.0,0.14285714285714285,0.1875,0.47619047619047616,0.5238095238095238,0.0,0.5625,0.4375,0.0,0.49820359281437127,0.5017964071856288,,0.049820359281437125,0.045617855198693526,,10855.0,4.0,59.95238095238095,7.537058858455841,33.0,58.0,61.0,63.0,72.0,59.8125,8.59664723889494,33.0,57.5,61.5,64.25,72.0,,,,,1429.0,,,,,,,,,,,,,,,1720.0,,,354.0,7352.0,,,,,,10855.0,,,,,0.13164440350069093,,,,,,,,,,,,,,,0.15845232611699678,,,0.03261169967756794,0.6772915707047443,,,,,,1.0,,,,,0.06582220175034546,,,,,,,,,,,,,,,0.05281744203899893,,,0.03261169967756794,0.04515277138031629,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,1.0,15.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,0.0,11.0,,,,,
京丹波町議会議員選挙（2013年11月10日投票）,京丹波町議会議員選挙,京都府,京丹波町,20131110.0,2013.0,11.0,10.0,20131105.0,,16.0,18.0,1.125,,,,,任期満了,78.87,,,,京丹波町議会議員選挙（2013年11月10日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.2222222222222222,0.1875,0.7222222222222222,0.2777777777777778,0.0,0.8125,0.1875,0.0,0.8137638617090672,0.1862361382909328,,0.06259722013146671,0.03724722765818656,,9198.0,3.0,62.22222222222222,9.86326267607651,37.0,60.25,64.5,67.75,74.0,62.1875,10.447599903805658,37.0,60.0,65.0,68.75,74.0,,,,,1507.0,,,,,,,,,,,,,,,1608.0,,,,6083.0,,,,,,9198.0,,,,,0.16383996520982821,,,,,,,,,,,,,,,0.17482061317677755,,,,0.6613394216133942,,,,,,1.0,,,,,0.08191998260491411,,,,,,,,,,,,,,,0.05827353772559252,,,,0.050872263201030325,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,13.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,11.0,,,,,
京丹波町議会議員選挙（2017年11月05日投票）,京丹波町議会議員選挙,京都府,京丹波町,20171105.0,2017.0,11.0,5.0,20171031.0,,16.0,17.0,1.0625,12728.0,,,,任期満了,,,,,京丹波町議会議員選挙（2017年11月05日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.23529411764705882,0.25,0.6470588235294118,0.35294117647058826,0.0,0.6875,0.3125,0.0,0.6884698275862069,0.3115301724137931,,0.06258816614420062,0.05192169540229885,,9280.0,0.0,66.6470588235294,8.15973742708016,41.0,64.0,67.0,70.0,78.0,66.875,8.358192089202067,41.0,64.75,68.0,70.5,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
京田辺市議会議員選挙（1999年04月25日投票）,京田辺市議会議員選挙,京都府,京田辺市,19990425.0,1999.0,4.0,25.0,19990418.0,64.3,21.0,26.0,1.238095238095238,41360.0,,,,任期満了,,,,,京田辺市議会議員選挙（1999年04月25日投票）,1.0,26.0,21.0,1.2380952380952381,0.0,0.0,0.0,0.07692307692307693,0.09523809523809523,0.6923076923076923,0.2692307692307692,0.038461538461538464,0.7142857142857143,0.23809523809523808,0.047619047619047616,0.6597442259973277,0.3059744225997328,0.03428135140293949,0.03665245699985154,0.043710631799961826,0.03428135140293949,26195.0,5.0,57.65384615384615,9.918678214096518,26.0,51.75,57.0,64.75,76.0,56.857142857142854,10.204040816244898,26.0,51.0,56.0,64.0,76.0,,,,,2317.0,,,,,,,,,,,,,,,4605.33,,,3713.0,14946.4,613.27,,,,,26195.000000000004,,,,,0.08845199465546859,,,,,,,,,,,,,,,0.17580950563084555,,,0.1417446077495705,0.5705821721702614,0.023411719793853786,,,,,1.0,,,,,0.044225997327734294,,,,,,,,,,,,,,,0.03516190112616911,,,0.07087230387478526,0.03566138576064134,0.023411719793853786,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,2.0,16.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,1.0,13.0,0.0,,,,
