,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_NHK受信料を支払わない方法を教える党,得票数_いなべ市民の会,得票数_三重ヤマネコの会,得票数_三重民主連合,得票数_公明党,得票数_地域政党草の根運動いが,得票数_幸福実現党,得票数_日本共産,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自民、市民クラブ,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_NHK受信料を支払わない方法を教える党,得票率_いなべ市民の会,得票率_三重ヤマネコの会,得票率_三重民主連合,得票率_公明党,得票率_地域政党草の根運動いが,得票率_幸福実現党,得票率_日本共産,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自民、市民クラブ,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_NHK受信料を支払わない方法を教える党,一人あたり得票率_いなべ市民の会,一人あたり得票率_三重ヤマネコの会,一人あたり得票率_三重民主連合,一人あたり得票率_公明党,一人あたり得票率_地域政党草の根運動いが,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自民、市民クラブ,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_NHK受信料を支払わない方法を教える党,立候補者数_いなべ市民の会,立候補者数_三重ヤマネコの会,立候補者数_三重民主連合,立候補者数_公明党,立候補者数_地域政党草の根運動いが,立候補者数_幸福実現党,立候補者数_日本共産,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自民、市民クラブ,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_NHK受信料を支払わない方法を教える党,当選者数_いなべ市民の会,当選者数_三重ヤマネコの会,当選者数_三重民主連合,当選者数_公明党,当選者数_地域政党草の根運動いが,当選者数_幸福実現党,当選者数_日本共産,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自民、市民クラブ,当選者数_自由民主党
亀山市議会議員選挙（2010年10月24日投票）,亀山市議会議員選挙,三重県,亀山市,20101024.0,2010.0,10.0,24.0,20101017.0,62.82,22.0,26.0,1.181818181818182,38656.0,,,1124.0,任期満了,69.27,,,,亀山市議会議員選挙（2010年10月24日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.11538461538461539,0.13636363636363635,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.038461538461538464,,,24081.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亀山市議会議員選挙（2014年10月26日投票）,亀山市議会議員選挙,三重県,亀山市,20141026.0,2014.0,10.0,26.0,20141019.0,52.35,18.0,19.0,1.0555555555555556,,,,,任期満了,62.82,,,,亀山市議会議員選挙（2014年10月26日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.15789473684210525,0.16666666666666666,0.8947368421052632,0.10526315789473684,0.0,0.9444444444444444,0.05555555555555555,0.0,0.9085204874518444,0.0914795125481556,,0.05344238161481438,0.0457397562740778,,20080.999,4.0,57.63157894736842,11.310035256661457,28.0,51.5,62.0,66.5,72.0,57.166666666666664,11.4418821295566,28.0,50.75,60.0,66.5,72.0,,,,,,2744.0,,,,2287.0,,,13940.999,,,,,1109.0,20080.999,,,,,,0.1366465881503206,,,,0.11388875623169943,,,0.6942383195178686,,,,,0.05522633610011136,1.0,,,,,,0.0683232940751603,,,,0.056944378115849716,,,0.049588451394133475,,,,,0.05522633610011136,,,,,,2.0,,,,2.0,,,14.0,,,,,1.0,,,,,,2.0,,,,2.0,,,13.0,,,,,1.0
亀山市議会議員選挙（2018年10月28日投票）,亀山市議会議員選挙,三重県,亀山市,20181028.0,2018.0,10.0,28.0,20181021.0,55.8,18.0,23.0,1.2777777777777777,,,,,任期満了,52.35,,,,亀山市議会議員選挙（2018年10月28日投票）,1.0,23.0,18.0,1.2777777777777777,0.0,0.0,0.0,0.17391304347826086,0.2222222222222222,0.7391304347826086,0.21739130434782608,0.043478260869565216,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.6525745269958468,0.26957591139824644,0.07784956160590678,0.03838673688210864,0.05391518227964929,0.07784956160590678,21670.0,3.0,57.608695652173914,12.994109469577838,30.0,49.5,59.0,69.0,73.0,56.44444444444444,13.614625396659212,30.0,48.25,58.5,68.75,73.0,,,,,,2468.29,,,,1845.0,,,17356.71,,,,,,21670.0,,,,,,0.11390355329949238,,,,0.0851407475772958,,,0.8009556991232117,,,,,,1.0,,,,,,0.05695177664974619,,,,0.0425703737886479,,,0.042155563111747986,,,,,,,,,,,2.0,,,,2.0,,,19.0,,,,,,,,,,,2.0,,,,2.0,,,14.0,,,,,
伊勢市議会議員選挙（2005年11月27日投票）,伊勢市議会議員選挙,三重県,伊勢市,20051127.0,2005.0,11.0,27.0,20051120.0,7.99,34.0,43.0,1.2647058823529411,1009293.0,,,,その他,,,,,伊勢市議会議員選挙（2005年11月27日投票）,1.0,43.0,34.0,1.2647058823529411,0.0,0.0,0.0,0.09302325581395349,0.08823529411764706,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.023255813953488372,,79397.0,4.0,54.69767441860465,9.52483872468222,29.0,49.5,56.0,60.0,79.0,54.911764705882355,9.407030059103242,29.0,50.25,56.0,60.75,79.0,,,,,,6524.0,,,,3087.0,,,65744.0,,,,,4042.0,79397.0,,,,,,0.08216935148683199,,,,0.03888056223786793,,,0.8280413617642984,,,,,0.050908724511001674,1.0,,,,,,0.027389783828943998,,,,0.019440281118933964,,,0.02300114893789718,,,,,0.025454362255500837,,,,,,3.0,,,,2.0,,,36.0,,,,,2.0,,,,,,3.0,,,,1.0,,,28.0,,,,,2.0
伊勢市議会議員選挙（2009年11月15日投票）,伊勢市議会議員選挙,三重県,伊勢市,20091115.0,2009.0,11.0,15.0,20091108.0,66.89,28.0,33.0,1.1785714285714286,108288.0,,,-901005.0,任期満了,7.99,,,,伊勢市議会議員選挙（2009年11月15日投票）,1.0,33.0,28.0,1.1785714285714286,0.0,0.0,0.0,0.09090909090909091,0.07142857142857142,0.7272727272727273,0.2727272727272727,0.0,0.7857142857142857,0.21428571428571427,0.0,0.7477369486867409,0.25226305131325927,,0.03115570619528087,0.028029227923695475,,71143.98999999999,4.0,56.21212121212121,9.669563544277619,26.0,50.0,58.0,63.0,69.0,55.714285714285715,10.37461580306589,26.0,49.0,57.5,63.25,69.0,,,,,,5776.0,,,,3824.0,,,59026.99,,,,,2517.0,71143.98999999999,,,,,,0.08118746221571212,,,,0.05375014811511135,,,0.8296834349605638,,,,,0.03537895470861278,1.0,,,,,,0.04059373110785606,,,,0.026875074057555674,,,0.029631551248591566,,,,,0.03537895470861278,,,,,,2.0,,,,2.0,,,28.0,,,,,1.0,,,,,,2.0,,,,1.0,,,24.0,,,,,1.0
伊勢市議会議員選挙（2013年10月27日投票）,伊勢市議会議員選挙,三重県,伊勢市,20131027.0,2013.0,10.0,27.0,20131020.0,61.2,28.0,30.0,1.0714285714285714,,,,,任期満了,66.89,,,,伊勢市議会議員選挙（2013年10月27日投票）,1.0,30.0,28.0,1.0714285714285714,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.8,0.2,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8135912652056757,0.18640873479432427,,0.033899636050236485,0.031068122465720712,,64203.0,4.0,59.166666666666664,10.20811224250378,30.0,53.0,59.0,66.75,73.0,59.142857142857146,10.422209409697727,30.0,53.0,59.0,67.25,73.0,,,,,,5938.0,,,,3884.0,,,48533.0,,,,,5848.0,64203.0,,,,,,0.09248788997398875,,,,0.0604956154696821,,,0.7559304082363753,,,,,0.0910860863199539,1.0,,,,,,0.04624394498699438,,,,0.03024780773484105,,,0.03286653948853806,,,,,0.030362028773317964,,,,,,2.0,,,,2.0,,,23.0,,,,,3.0,,,,,,2.0,,,,2.0,,,22.0,,,,,2.0
伊勢市議会議員選挙（2017年10月29日投票）,伊勢市議会議員選挙,三重県,伊勢市,20171029.0,2017.0,10.0,29.0,20171022.0,,26.0,30.0,1.1538461538461535,107512.0,,,,任期満了,61.2,,,,伊勢市議会議員選挙（2017年10月29日投票）,1.0,30.0,26.0,1.1538461538461537,0.0,0.0,0.0,0.06666666666666667,0.07692307692307693,0.7333333333333333,0.26666666666666666,0.0,0.8461538461538461,0.15384615384615385,0.0,0.7991431625897949,0.20085683741020513,,0.03632468920862704,0.02510710467627564,,54224.990000000005,0.0,58.166666666666664,10.985090906415943,34.0,51.5,58.5,66.75,76.0,60.15384615384615,10.354086178495713,34.0,56.25,61.0,67.75,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊賀市議会議員選挙（2009年03月22日投票）,伊賀市議会議員選挙,三重県,伊賀市,20090322.0,2009.0,3.0,22.0,20090315.0,68.22,24.0,32.0,1.3333333333333333,78814.0,,,,任期満了,,,,,伊賀市議会議員選挙（2009年03月22日投票）,1.0,32.0,28.0,1.1428571428571428,0.0,0.0,0.0,0.1875,0.21428571428571427,0.625,0.34375,0.03125,0.6428571428571429,0.32142857142857145,0.03571428571428571,0.5808549359457422,0.37871552373775436,0.04042954031650339,0.029042746797287113,0.03442868397615949,0.04042954031650339,53080.0,6.0,56.53125,9.526228185252545,25.0,52.5,58.5,62.0,73.0,56.714285714285715,9.949361583456866,25.0,53.0,59.5,62.0,73.0,,,,,,7151.219999999999,,,,3712.0,,1414.0,37113.78,2925.0,,,,764.0,53080.0,,,,,,0.1347253202712886,,,,0.06993217784476262,,0.026639035418236624,0.699204596834966,0.05510550113036925,,,,0.01439336850037679,1.0,,,,,,0.04490844009042954,,,,0.03496608892238131,,0.026639035418236624,0.029133524868123584,0.05510550113036925,,,,0.01439336850037679,,,,,,3.0,,,,2.0,,1.0,24.0,1.0,,,,1.0,,,,,,3.0,,,,2.0,,1.0,21.0,1.0,,,,0.0
伊賀市議会議員選挙（2013年03月24日投票）,伊賀市議会議員選挙,三重県,伊賀市,20130324.0,2013.0,3.0,24.0,20130317.0,66.29,24.0,34.0,1.4166666666666667,76826.0,,,-1988.0,任期満了,68.22,,,,伊賀市議会議員選挙（2013年03月24日投票）,1.0,34.0,24.0,1.4166666666666667,0.0,0.0,0.0,0.17647058823529413,0.16666666666666666,0.6470588235294118,0.3235294117647059,0.029411764705882353,0.6666666666666666,0.2916666666666667,0.041666666666666664,0.6360403671182804,0.32748619333306844,0.03647343954865112,0.028910925778103655,0.02977147212118804,0.03647343954865112,50338.0,4.0,56.588235294117645,11.175386944370265,29.0,53.0,58.0,65.0,77.0,55.041666666666664,11.252700293213577,29.0,51.5,57.5,64.25,72.0,,,,,,6241.0,,,,2733.0,,,38550.0,2814.0,,,,,50338.0,,,,,,0.12398188247447256,,,,0.054292979458858116,,,0.7658230362747824,0.055902101791886843,,,,,1.0,,,,,,0.04132729415815752,,,,0.027146489729429058,,,0.02735082272409937,0.055902101791886843,,,,,,,,,,3.0,,,,2.0,,,28.0,1.0,,,,,,,,,,3.0,,,,1.0,,,19.0,1.0,,,,
伊賀市議会議員選挙（2017年03月26日投票）,伊賀市議会議員選挙,三重県,伊賀市,20170326.0,2017.0,3.0,26.0,20170319.0,59.66,24.0,30.0,1.25,75733.0,,,-1093.0,任期満了,66.29,,,,伊賀市議会議員選挙（2017年03月26日投票）,1.0,30.0,24.0,1.25,0.0,0.0,0.0,0.2,0.25,0.5666666666666667,0.36666666666666664,0.06666666666666667,0.625,0.3333333333333333,0.041666666666666664,0.5930264331646844,0.30679833093993375,0.10017523589538183,0.03488390783321673,0.027890757358175797,0.05008761794769091,44511.999,4.0,55.2,11.69159242076687,32.0,47.75,58.5,64.25,70.0,55.041666666666664,12.194531447424382,32.0,46.5,56.0,67.25,70.0,,,,,,5834.0,,,,2566.0,1953.0,,34158.999,,,,,,44511.999,,,,,,0.1310657829588826,,,,0.05764737728359492,0.043875809756376026,,0.7674110300011464,,,,,,1.0,,,,,,0.04368859431962754,,,,0.02882368864179746,0.043875809756376026,,0.0319754595833811,,,,,,,,,,,3.0,,,,2.0,1.0,,24.0,,,,,,,,,,,3.0,,,,1.0,1.0,,19.0,,,,,
伊賀市議会議員選挙（2021年03月28日投票）,伊賀市議会議員選挙,三重県,伊賀市,20210328.0,2021.0,3.0,28.0,20210321.0,56.58,22.0,28.0,1.2727272727272727,71987.0,34703.0,37284.0,-3746.0,任期満了,59.66,,,,伊賀市議会議員選挙（2021年03月28日投票）,1.0,28.0,22.0,1.2727272727272727,0.0,0.0,0.0,0.21428571428571427,0.22727272727272727,0.6071428571428571,0.35714285714285715,0.03571428571428571,0.6363636363636364,0.3181818181818182,0.045454545454545456,0.6575967677573823,0.3073373902633679,0.0350658419792498,0.038682162809257785,0.030733739026336793,0.0350658419792498,40096.0,6.0,55.42857142857143,10.698559887829267,36.0,47.0,58.0,62.75,73.0,54.45454545454545,10.928392016491523,36.0,44.25,58.0,61.75,73.0,,350.0,,,,5964.0,4825.0,,,2580.0,1541.0,,24836.0,,,,,,40096.0,,0.008729050279329608,,,,0.14874301675977653,0.12033619313647247,,,0.06434557063048683,0.03843276137270551,,0.619413407821229,,,,,,1.0,,0.008729050279329608,,,,0.049581005586592175,0.06016809656823623,,,0.03217278531524342,0.03843276137270551,,0.03260070567480153,,,,,,,1.0,,,,3.0,2.0,,,2.0,1.0,,19.0,,,,,,,0.0,,,,3.0,2.0,,,2.0,1.0,,14.0,,,,,
